piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Alcalá de Henares--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845613000,0,0,0,0,,piece--0-0,Alcalá de Henares,1,-3.41786,40.523,-3.41274,40.5179,-3.4153,40.5204
Alcalá de Henares--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845622000,0,0,0,0,,piece--0-1,Alcalá de Henares,1,-3.41786,40.5179,-3.41274,40.5127,-3.4153,40.5153
Alcalá de Henares--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845630000,0,0,0,0,,piece--0-10,Alcalá de Henares,1,-3.41786,40.4717,-3.41274,40.4666,-3.4153,40.4692
Alcalá de Henares--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845636000,0,0,0,0,,piece--0-2,Alcalá de Henares,1,-3.41786,40.5127,-3.41274,40.5076,-3.4153,40.5102
Alcalá de Henares--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845644000,0,0,0,0,,piece--0-3,Alcalá de Henares,1,-3.41786,40.5076,-3.41274,40.5025,-3.4153,40.505
Alcalá de Henares--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845655000,0,0,0,0,,piece--0-4,Alcalá de Henares,1,-3.41786,40.5025,-3.41274,40.4974,-3.4153,40.4999
Alcalá de Henares--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845661000,0,0,0,0,,piece--0-5,Alcalá de Henares,1,-3.41786,40.4974,-3.41274,40.4922,-3.4153,40.4948
Alcalá de Henares--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845672000,0,0,0,0,,piece--0-6,Alcalá de Henares,1,-3.41786,40.4922,-3.41274,40.4871,-3.4153,40.4897
Alcalá de Henares--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845677000,0,0,0,0,,piece--0-7,Alcalá de Henares,1,-3.41786,40.4871,-3.41274,40.482,-3.4153,40.4845
Alcalá de Henares--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543845689000,0,0,0,0,,piece--0-8,Alcalá de Henares,1,-3.41786,40.482,-3.41274,40.4769,-3.4153,40.4794
