piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Alcobendas--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166735000,0,0,0,0,,piece--0-0,Alcobendas,1,-3.66555,40.5578,-3.66052,40.5528,-3.66304,40.5553,,
Alcobendas--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166752000,0,0,1,1,,piece--0-1,Alcobendas,1,-3.66555,40.5528,-3.66052,40.5478,-3.66304,40.5503,,
Alcobendas--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166766000,0,0,0,0,,piece--0-2,Alcobendas,1,-3.66555,40.5478,-3.66052,40.5428,-3.66304,40.5453,,
Alcobendas--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166779000,0,0,0,0,,piece--0-3,Alcobendas,1,-3.66555,40.5428,-3.66052,40.5377,-3.66304,40.5403,,
Alcobendas--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166797000,0,0,0,0,,piece--0-4,Alcobendas,1,-3.66555,40.5377,-3.66052,40.5327,-3.66304,40.5352,,
Alcobendas--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166812000,0,0,0,0,,piece--0-5,Alcobendas,1,-3.66555,40.5327,-3.66052,40.5277,-3.66304,40.5302,,
Alcobendas--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166830000,0,0,0,0,,piece--0-6,Alcobendas,1,-3.66555,40.5277,-3.66052,40.5227,-3.66304,40.5252,,
Alcobendas--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166846000,0,0,0,0,,piece--0-7,Alcobendas,1,-3.66555,40.5227,-3.66052,40.5176,-3.66304,40.5201,,
Alcobendas--piece--0-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166863000,0,0,0,0,,piece--0-8,Alcobendas,1,-3.66555,40.5176,-3.66052,40.5126,-3.66304,40.5151,,
Alcobendas--piece--0-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166876000,0,0,0,0,,piece--0-9,Alcobendas,1,-3.66555,40.5126,-3.66052,40.5076,-3.66304,40.5101,,
Alcobendas--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166892000,0,0,0,4,,piece--1-0,Alcobendas,1,-3.66052,40.5578,-3.65549,40.5528,-3.658,40.5553,,
Alcobendas--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166911000,0,0,0,0,,piece--1-1,Alcobendas,1,-3.66052,40.5528,-3.65549,40.5478,-3.658,40.5503,,
Alcobendas--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166924000,0,0,0,0,,piece--1-2,Alcobendas,1,-3.66052,40.5478,-3.65549,40.5428,-3.658,40.5453,,
Alcobendas--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166944000,0,0,0,0,,piece--1-3,Alcobendas,1,-3.66052,40.5428,-3.65549,40.5377,-3.658,40.5403,,
Alcobendas--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166964000,0,0,0,0,,piece--1-4,Alcobendas,1,-3.66052,40.5377,-3.65549,40.5327,-3.658,40.5352,,
Alcobendas--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166978000,0,0,0,0,,piece--1-5,Alcobendas,1,-3.66052,40.5327,-3.65549,40.5277,-3.658,40.5302,,
Alcobendas--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544166993000,0,0,0,0,,piece--1-6,Alcobendas,1,-3.66052,40.5277,-3.65549,40.5227,-3.658,40.5252,,
Alcobendas--piece--1-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167008000,0,0,0,0,,piece--1-7,Alcobendas,1,-3.66052,40.5227,-3.65549,40.5176,-3.658,40.5201,,
Alcobendas--piece--1-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167026000,0,0,0,0,,piece--1-8,Alcobendas,1,-3.66052,40.5176,-3.65549,40.5126,-3.658,40.5151,,
Alcobendas--piece--1-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167039000,0,0,0,0,,piece--1-9,Alcobendas,1,-3.66052,40.5126,-3.65549,40.5076,-3.658,40.5101,,
Alcobendas--piece--10-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167051000,0,0,0,0,,piece--10-0,Alcobendas,1,-3.61523,40.5578,-3.61019,40.5528,-3.61271,40.5553,,
Alcobendas--piece--10-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167064000,0,0,0,0,,piece--10-1,Alcobendas,1,-3.61523,40.5528,-3.61019,40.5478,-3.61271,40.5503,,
Alcobendas--piece--10-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167081000,0,0,2,1,,piece--10-2,Alcobendas,1,-3.61523,40.5478,-3.61019,40.5428,-3.61271,40.5453,,
Alcobendas--piece--10-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167096000,0,0,0,0,,piece--10-3,Alcobendas,1,-3.61523,40.5428,-3.61019,40.5377,-3.61271,40.5403,,
Alcobendas--piece--10-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167109000,0,0,0,0,,piece--10-4,Alcobendas,1,-3.61523,40.5377,-3.61019,40.5327,-3.61271,40.5352,,
Alcobendas--piece--10-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167131000,0,0,0,0,,piece--10-5,Alcobendas,1,-3.61523,40.5327,-3.61019,40.5277,-3.61271,40.5302,,
Alcobendas--piece--10-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167148000,0,0,0,0,,piece--10-6,Alcobendas,1,-3.61523,40.5277,-3.61019,40.5227,-3.61271,40.5252,,
Alcobendas--piece--10-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167166000,0,0,0,0,,piece--10-7,Alcobendas,1,-3.61523,40.5227,-3.61019,40.5176,-3.61271,40.5201,,
Alcobendas--piece--10-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167183000,0,0,0,0,,piece--10-8,Alcobendas,1,-3.61523,40.5176,-3.61019,40.5126,-3.61271,40.5151,,
Alcobendas--piece--10-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167204000,0,0,0,0,,piece--10-9,Alcobendas,1,-3.61523,40.5126,-3.61019,40.5076,-3.61271,40.5101,,
Alcobendas--piece--11-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167220000,0,0,0,0,,piece--11-0,Alcobendas,1,-3.61019,40.5578,-3.60516,40.5528,-3.60768,40.5553,,
Alcobendas--piece--11-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167238000,0,0,0,0,,piece--11-1,Alcobendas,1,-3.61019,40.5528,-3.60516,40.5478,-3.60768,40.5503,,
Alcobendas--piece--11-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167251000,0,0,0,0,,piece--11-2,Alcobendas,1,-3.61019,40.5478,-3.60516,40.5428,-3.60768,40.5453,,
Alcobendas--piece--11-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167264000,0,0,0,0,,piece--11-3,Alcobendas,1,-3.61019,40.5428,-3.60516,40.5377,-3.60768,40.5403,,
Alcobendas--piece--11-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167287000,0,0,0,0,,piece--11-4,Alcobendas,1,-3.61019,40.5377,-3.60516,40.5327,-3.60768,40.5352,,
Alcobendas--piece--11-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167299000,0,0,0,0,,piece--11-5,Alcobendas,1,-3.61019,40.5327,-3.60516,40.5277,-3.60768,40.5302,,
Alcobendas--piece--11-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167319000,0,0,0,0,,piece--11-6,Alcobendas,1,-3.61019,40.5277,-3.60516,40.5227,-3.60768,40.5252,,
Alcobendas--piece--11-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167336000,0,0,0,0,,piece--11-7,Alcobendas,1,-3.61019,40.5227,-3.60516,40.5176,-3.60768,40.5201,,
Alcobendas--piece--11-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167349000,0,0,0,0,,piece--11-8,Alcobendas,1,-3.61019,40.5176,-3.60516,40.5126,-3.60768,40.5151,,
Alcobendas--piece--11-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167363000,0,0,0,0,,piece--11-9,Alcobendas,1,-3.61019,40.5126,-3.60516,40.5076,-3.60768,40.5101,,
Alcobendas--piece--12-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167379000,0,0,0,0,,piece--12-0,Alcobendas,1,-3.60516,40.5578,-3.60013,40.5528,-3.60264,40.5553,,
Alcobendas--piece--12-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167395000,0,0,0,0,,piece--12-1,Alcobendas,1,-3.60516,40.5528,-3.60013,40.5478,-3.60264,40.5503,,
Alcobendas--piece--12-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167411000,0,0,0,0,,piece--12-2,Alcobendas,1,-3.60516,40.5478,-3.60013,40.5428,-3.60264,40.5453,,
Alcobendas--piece--12-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167423000,0,0,0,0,,piece--12-3,Alcobendas,1,-3.60516,40.5428,-3.60013,40.5377,-3.60264,40.5403,,
Alcobendas--piece--12-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544167439000,0,0,0,0,,piece--12-4,Alcobendas,1,-3.60516,40.5377,-3.60013,40.5327,-3.60264,40.5352,,
