piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Alcobendas--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847482000,0,0,0,0,,piece--0-0,Alcobendas,1,-3.66555,40.5578,-3.66052,40.5528,-3.66304,40.5553
Alcobendas--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847498000,3486.37,4,15.8333,1,,piece--0-1,Alcobendas,1,-3.66555,40.5528,-3.66052,40.5478,-3.66304,40.5503
Alcobendas--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847513000,0,0,0,0,,piece--0-2,Alcobendas,1,-3.66555,40.5478,-3.66052,40.5428,-3.66304,40.5453
Alcobendas--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847525000,3340.27,6,0,0,,piece--0-3,Alcobendas,1,-3.66555,40.5428,-3.66052,40.5377,-3.66304,40.5403
Alcobendas--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847534000,0,0,0,0,,piece--0-4,Alcobendas,1,-3.66555,40.5377,-3.66052,40.5327,-3.66304,40.5352
Alcobendas--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847539000,0,0,0,0,,piece--0-5,Alcobendas,1,-3.66555,40.5327,-3.66052,40.5277,-3.66304,40.5302
Alcobendas--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847544000,0,0,0,0,,piece--0-6,Alcobendas,1,-3.66555,40.5277,-3.66052,40.5227,-3.66304,40.5252
Alcobendas--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847549000,0,0,0,0,,piece--0-7,Alcobendas,1,-3.66555,40.5227,-3.66052,40.5176,-3.66304,40.5201
Alcobendas--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847559000,0,0,0,0,,piece--0-8,Alcobendas,1,-3.66555,40.5176,-3.66052,40.5126,-3.66304,40.5151
Alcobendas--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847567000,3108.11,1,0,0,,piece--0-9,Alcobendas,1,-3.66555,40.5126,-3.66052,40.5076,-3.66304,40.5101
Alcobendas--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847576000,3536.31,10,0,0,,piece--1-0,Alcobendas,1,-3.66052,40.5578,-3.65549,40.5528,-3.658,40.5553
Alcobendas--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847585000,3638.71,12,0,0,,piece--1-1,Alcobendas,1,-3.66052,40.5528,-3.65549,40.5478,-3.658,40.5503
Alcobendas--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847590000,3290.11,7,10.7407,1,,piece--1-2,Alcobendas,1,-3.66052,40.5478,-3.65549,40.5428,-3.658,40.5453
Alcobendas--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847599000,3416.5,7,0,0,,piece--1-3,Alcobendas,1,-3.66052,40.5428,-3.65549,40.5377,-3.658,40.5403
Alcobendas--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847604000,0,0,0,0,,piece--1-4,Alcobendas,1,-3.66052,40.5377,-3.65549,40.5327,-3.658,40.5352
Alcobendas--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847610000,0,0,0,0,,piece--1-5,Alcobendas,1,-3.66052,40.5327,-3.65549,40.5277,-3.658,40.5302
Alcobendas--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847618000,0,0,0,0,,piece--1-6,Alcobendas,1,-3.66052,40.5277,-3.65549,40.5227,-3.658,40.5252
Alcobendas--piece--1-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847623000,3943.66,1,0,0,,piece--1-7,Alcobendas,1,-3.66052,40.5227,-3.65549,40.5176,-3.658,40.5201
Alcobendas--piece--1-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847637000,0,0,0,0,,piece--1-8,Alcobendas,1,-3.66052,40.5176,-3.65549,40.5126,-3.658,40.5151
Alcobendas--piece--1-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543847646000,0,0,0,0,,piece--1-9,Alcobendas,1,-3.66052,40.5126,-3.65549,40.5076,-3.658,40.5101
