piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Alcobendas--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544166046000,0,0,0,0,,piece--0-0,Alcobendas,1,-3.66555,40.5578,-3.66052,40.5528,-3.66304,40.5553,,
Alcobendas--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167808000,3486.37,4,15.8333,1,,piece--0-1,Alcobendas,1,-3.66555,40.5528,-3.66052,40.5478,-3.66304,40.5503,,
Alcobendas--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167817000,0,0,13.587,1,,piece--0-2,Alcobendas,1,-3.66555,40.5478,-3.66052,40.5428,-3.66304,40.5453,,
Alcobendas--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167823000,3351.59,2,0,0,,piece--0-3,Alcobendas,1,-3.66555,40.5428,-3.66052,40.5377,-3.66304,40.5403,,
Alcobendas--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167835000,0,0,0,0,,piece--0-4,Alcobendas,1,-3.66555,40.5377,-3.66052,40.5327,-3.66304,40.5352,,
Alcobendas--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167845000,0,0,0,0,,piece--0-5,Alcobendas,1,-3.66555,40.5327,-3.66052,40.5277,-3.66304,40.5302,,
Alcobendas--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167858000,0,0,0,0,,piece--0-6,Alcobendas,1,-3.66555,40.5277,-3.66052,40.5227,-3.66304,40.5252,,
Alcobendas--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167866000,0,0,0,0,,piece--0-7,Alcobendas,1,-3.66555,40.5227,-3.66052,40.5176,-3.66304,40.5201,,
Alcobendas--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167875000,0,0,0,0,,piece--0-8,Alcobendas,1,-3.66555,40.5176,-3.66052,40.5126,-3.66304,40.5151,,
Alcobendas--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167883000,0,0,0,0,,piece--0-9,Alcobendas,1,-3.66555,40.5126,-3.66052,40.5076,-3.66304,40.5101,,
Alcobendas--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167895000,3589,5,0,0,,piece--1-0,Alcobendas,1,-3.66052,40.5578,-3.65549,40.5528,-3.658,40.5553,,
Alcobendas--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167900000,3635.54,15,0,0,,piece--1-1,Alcobendas,1,-3.66052,40.5528,-3.65549,40.5478,-3.658,40.5503,,
Alcobendas--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167906000,3073.62,6,10.7407,1,,piece--1-2,Alcobendas,1,-3.66052,40.5478,-3.65549,40.5428,-3.658,40.5453,,
Alcobendas--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167915000,3418.46,13,0,0,,piece--1-3,Alcobendas,1,-3.66052,40.5428,-3.65549,40.5377,-3.658,40.5403,,
Alcobendas--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167923000,0,0,0,0,,piece--1-4,Alcobendas,1,-3.66052,40.5377,-3.65549,40.5327,-3.658,40.5352,,
Alcobendas--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167929000,0,0,0,0,,piece--1-5,Alcobendas,1,-3.66052,40.5327,-3.65549,40.5277,-3.658,40.5302,,
Alcobendas--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167940000,0,0,0,0,,piece--1-6,Alcobendas,1,-3.66052,40.5277,-3.65549,40.5227,-3.658,40.5252,,
Alcobendas--piece--1-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167950000,3943.66,1,20,1,,piece--1-7,Alcobendas,1,-3.66052,40.5227,-3.65549,40.5176,-3.658,40.5201,,
Alcobendas--piece--1-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167961000,0,0,0,0,,piece--1-8,Alcobendas,1,-3.66052,40.5176,-3.65549,40.5126,-3.658,40.5151,,
Alcobendas--piece--1-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167973000,0,0,0,0,,piece--1-9,Alcobendas,1,-3.66052,40.5126,-3.65549,40.5076,-3.658,40.5101,,
Alcobendas--piece--10-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167984000,0,0,0,0,,piece--10-0,Alcobendas,1,-3.61523,40.5578,-3.61019,40.5528,-3.61271,40.5553,,
Alcobendas--piece--10-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544167995000,0,0,10.1514,4,,piece--10-1,Alcobendas,1,-3.61523,40.5528,-3.61019,40.5478,-3.61271,40.5503,,
Alcobendas--piece--10-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168004000,2.14286,1,0,0,,piece--10-2,Alcobendas,1,-3.61523,40.5478,-3.61019,40.5428,-3.61271,40.5453,,
Alcobendas--piece--10-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168015000,2691.12,4,13.427,2,,piece--10-3,Alcobendas,1,-3.61523,40.5428,-3.61019,40.5377,-3.61271,40.5403,,
Alcobendas--piece--10-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168027000,0,0,0,0,,piece--10-4,Alcobendas,1,-3.61523,40.5377,-3.61019,40.5327,-3.61271,40.5352,,
Alcobendas--piece--10-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168035000,3.71525,1,0,0,,piece--10-5,Alcobendas,1,-3.61523,40.5327,-3.61019,40.5277,-3.61271,40.5302,,
Alcobendas--piece--10-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168044000,157.195,10,10.3526,2,,piece--10-6,Alcobendas,1,-3.61523,40.5277,-3.61019,40.5227,-3.61271,40.5252,,
Alcobendas--piece--10-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168057000,5.41135,15,18.0769,3,,piece--10-7,Alcobendas,1,-3.61523,40.5227,-3.61019,40.5176,-3.61271,40.5201,,
Alcobendas--piece--10-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168063000,3.96157,12,0,0,,piece--10-8,Alcobendas,1,-3.61523,40.5176,-3.61019,40.5126,-3.61271,40.5151,,
Alcobendas--piece--10-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168073000,4.54954,15,0,0,,piece--10-9,Alcobendas,1,-3.61523,40.5126,-3.61019,40.5076,-3.61271,40.5101,,
Alcobendas--piece--11-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168083000,0,0,0,0,,piece--11-0,Alcobendas,1,-3.61019,40.5578,-3.60516,40.5528,-3.60768,40.5553,,
Alcobendas--piece--11-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168089000,3081.65,2,12.8571,1,,piece--11-1,Alcobendas,1,-3.61019,40.5528,-3.60516,40.5478,-3.60768,40.5503,,
Alcobendas--piece--11-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168097000,0,0,0,0,,piece--11-2,Alcobendas,1,-3.61019,40.5478,-3.60516,40.5428,-3.60768,40.5453,,
Alcobendas--piece--11-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168103000,0,0,0,0,,piece--11-3,Alcobendas,1,-3.61019,40.5428,-3.60516,40.5377,-3.60768,40.5403,,
Alcobendas--piece--11-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168115000,0,0,0,0,,piece--11-4,Alcobendas,1,-3.61019,40.5377,-3.60516,40.5327,-3.60768,40.5352,,
Alcobendas--piece--11-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168120000,0,0,0,0,,piece--11-5,Alcobendas,1,-3.61019,40.5327,-3.60516,40.5277,-3.60768,40.5302,,
Alcobendas--piece--11-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168129000,4.32195,9,21.545,3,,piece--11-6,Alcobendas,1,-3.61019,40.5277,-3.60516,40.5227,-3.60768,40.5252,,
