piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Alcorcón--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168880000,0,0,0,0,,piece--0-0,Alcorcón,1,-3.86149,40.3638,-3.85623,40.3583,-3.85886,40.3611,,
Alcorcón--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168891000,0,0,0,0,,piece--0-1,Alcorcón,1,-3.86149,40.3583,-3.85623,40.3528,-3.85886,40.3556,,
Alcorcón--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168909000,0,0,0,0,,piece--0-2,Alcorcón,1,-3.86149,40.3528,-3.85623,40.3473,-3.85886,40.35,,
Alcorcón--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168924000,0,0,0,0,,piece--0-3,Alcorcón,1,-3.86149,40.3473,-3.85623,40.3418,-3.85886,40.3445,,
Alcorcón--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168941000,0,0,0,0,,piece--0-4,Alcorcón,1,-3.86149,40.3418,-3.85623,40.3362,-3.85886,40.339,,
Alcorcón--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168955000,0,0,0,0,,piece--0-5,Alcorcón,1,-3.86149,40.3362,-3.85623,40.3307,-3.85886,40.3335,,
Alcorcón--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168971000,0,0,0,3,,piece--0-6,Alcorcón,1,-3.86149,40.3307,-3.85623,40.3252,-3.85886,40.3279,,
Alcorcón--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168985000,0,0,0,0,,piece--1-0,Alcorcón,1,-3.85623,40.3638,-3.85097,40.3583,-3.8536,40.3611,,
Alcorcón--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544168999000,0,0,0,0,,piece--1-1,Alcorcón,1,-3.85623,40.3583,-3.85097,40.3528,-3.8536,40.3556,,
Alcorcón--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544169013000,0,0,0,0,,piece--1-2,Alcorcón,1,-3.85623,40.3528,-3.85097,40.3473,-3.8536,40.35,,
