piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Alcorcón--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848579000,0,0,0,0,,piece--0-0,Alcorcón,1,-3.86149,40.3638,-3.85623,40.3583,-3.85886,40.3611
Alcorcón--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848584000,0,0,0,0,,piece--0-1,Alcorcón,1,-3.86149,40.3583,-3.85623,40.3528,-3.85886,40.3556
Alcorcón--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848595000,0,0,0,0,,piece--0-2,Alcorcón,1,-3.86149,40.3528,-3.85623,40.3473,-3.85886,40.35
Alcorcón--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848600000,0,0,0,0,,piece--0-3,Alcorcón,1,-3.86149,40.3473,-3.85623,40.3418,-3.85886,40.3445
Alcorcón--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848609000,2198.79,5,0,0,,piece--0-4,Alcorcón,1,-3.86149,40.3418,-3.85623,40.3362,-3.85886,40.339
Alcorcón--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848622000,1760.21,15,9.04255,1,,piece--0-5,Alcorcón,1,-3.86149,40.3362,-3.85623,40.3307,-3.85886,40.3335
Alcorcón--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848629000,1584.39,23,0,0,,piece--0-6,Alcorcón,1,-3.86149,40.3307,-3.85623,40.3252,-3.85886,40.3279
Alcorcón--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848634000,0,0,0,0,,piece--1-0,Alcorcón,1,-3.85623,40.3638,-3.85097,40.3583,-3.8536,40.3611
Alcorcón--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848643000,0,0,0,0,,piece--1-1,Alcorcón,1,-3.85623,40.3583,-3.85097,40.3528,-3.8536,40.3556
Alcorcón--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848648000,0,0,0,0,,piece--1-2,Alcorcón,1,-3.85623,40.3528,-3.85097,40.3473,-3.8536,40.35
Alcorcón--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848654000,0,0,0,0,,piece--1-3,Alcorcón,1,-3.85623,40.3473,-3.85097,40.3418,-3.8536,40.3445
Alcorcón--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848661000,2491.83,18,9.53152,6,,piece--1-4,Alcorcón,1,-3.85623,40.3418,-3.85097,40.3362,-3.8536,40.339
Alcorcón--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848673000,2208.55,12,8.08823,1,,piece--1-5,Alcorcón,1,-3.85623,40.3362,-3.85097,40.3307,-3.8536,40.3335
Alcorcón--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848680000,1836.58,21,8.77778,1,,piece--1-6,Alcorcón,1,-3.85623,40.3307,-3.85097,40.3252,-3.8536,40.3279
Alcorcón--piece--10-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848688000,0,0,0,0,,piece--10-0,Alcorcón,1,-3.80891,40.3638,-3.80365,40.3583,-3.80628,40.3611
Alcorcón--piece--10-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848696000,2116.2,7,9.24279,2,,piece--10-1,Alcorcón,1,-3.80891,40.3583,-3.80365,40.3528,-3.80628,40.3556
Alcorcón--piece--10-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848708000,2806.29,12,9.95166,4,,piece--10-2,Alcorcón,1,-3.80891,40.3528,-3.80365,40.3473,-3.80628,40.35
Alcorcón--piece--10-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848716000,2729.73,5,11.7647,2,,piece--10-3,Alcorcón,1,-3.80891,40.3473,-3.80365,40.3418,-3.80628,40.3445
Alcorcón--piece--10-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543848727000,0,0,0,0,,piece--10-4,Alcorcón,1,-3.80891,40.3418,-3.80365,40.3362,-3.80628,40.339
