piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Alcorcón--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168927000,0,0,0,0,,piece--0-0,Alcorcón,1,-3.86149,40.3638,-3.85623,40.3583,-3.85886,40.3611,,
Alcorcón--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168937000,0,0,0,0,,piece--0-1,Alcorcón,1,-3.86149,40.3583,-3.85623,40.3528,-3.85886,40.3556,,
Alcorcón--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168945000,0,0,0,0,,piece--0-2,Alcorcón,1,-3.86149,40.3528,-3.85623,40.3473,-3.85886,40.35,,
Alcorcón--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168956000,0,0,0,0,,piece--0-3,Alcorcón,1,-3.86149,40.3473,-3.85623,40.3418,-3.85886,40.3445,,
Alcorcón--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168967000,1932.51,2,0,0,,piece--0-4,Alcorcón,1,-3.86149,40.3418,-3.85623,40.3362,-3.85886,40.339,,
Alcorcón--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168979000,1816.91,14,9.04255,1,,piece--0-5,Alcorcón,1,-3.86149,40.3362,-3.85623,40.3307,-3.85886,40.3335,,
Alcorcón--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168992000,1609.14,26,9.375,1,,piece--0-6,Alcorcón,1,-3.86149,40.3307,-3.85623,40.3252,-3.85886,40.3279,,
Alcorcón--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544168997000,0,0,0,0,,piece--1-0,Alcorcón,1,-3.85623,40.3638,-3.85097,40.3583,-3.8536,40.3611,,
Alcorcón--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169003000,0,0,0,0,,piece--1-1,Alcorcón,1,-3.85623,40.3583,-3.85097,40.3528,-3.8536,40.3556,,
Alcorcón--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169013000,0,0,0,0,,piece--1-2,Alcorcón,1,-3.85623,40.3528,-3.85097,40.3473,-3.8536,40.35,,
Alcorcón--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169021000,0,0,0,0,,piece--1-3,Alcorcón,1,-3.85623,40.3473,-3.85097,40.3418,-3.8536,40.3445,,
Alcorcón--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169027000,2572,14,9.53152,6,,piece--1-4,Alcorcón,1,-3.85623,40.3418,-3.85097,40.3362,-3.8536,40.339,,
Alcorcón--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169036000,2288.57,17,9,1,,piece--1-5,Alcorcón,1,-3.85623,40.3362,-3.85097,40.3307,-3.8536,40.3335,,
