piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Algete--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170407000,0,0,0,0,,piece--0-0,Algete,1,-3.50944,40.6024,-3.50513,40.5991,-3.50729,40.6008,,
Algete--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170423000,0,0,0,0,,piece--0-1,Algete,1,-3.50944,40.5991,-3.50513,40.5958,-3.50729,40.5974,,
Algete--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170446000,0,0,0,0,,piece--0-2,Algete,1,-3.50944,40.5958,-3.50513,40.5924,-3.50729,40.5941,,
Algete--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170461000,0,0,0,0,,piece--0-3,Algete,1,-3.50944,40.5924,-3.50513,40.5891,-3.50729,40.5908,,
Algete--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170482000,0,0,0,0,,piece--1-0,Algete,1,-3.50513,40.6024,-3.50082,40.5991,-3.50297,40.6008,,
Algete--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170496000,0,0,0,0,,piece--1-1,Algete,1,-3.50513,40.5991,-3.50082,40.5958,-3.50297,40.5974,,
Algete--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170511000,0,0,8,1,,piece--1-2,Algete,1,-3.50513,40.5958,-3.50082,40.5924,-3.50297,40.5941,,
Algete--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170527000,0,0,0,0,,piece--1-3,Algete,1,-3.50513,40.5924,-3.50082,40.5891,-3.50297,40.5908,,
Algete--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170542000,0,0,0,0,,piece--2-0,Algete,1,-3.50082,40.6024,-3.4965,40.5991,-3.49866,40.6008,,
Algete--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170558000,0,0,0,0,,piece--2-1,Algete,1,-3.50082,40.5991,-3.4965,40.5958,-3.49866,40.5974,,
Algete--piece--2-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170574000,0,0,0,0,,piece--2-2,Algete,1,-3.50082,40.5958,-3.4965,40.5924,-3.49866,40.5941,,
Algete--piece--2-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170587000,0,0,8,1,,piece--2-3,Algete,1,-3.50082,40.5924,-3.4965,40.5891,-3.49866,40.5908,,
Algete--piece--3-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170608000,0,0,0,0,,piece--3-0,Algete,1,-3.4965,40.6024,-3.49219,40.5991,-3.49435,40.6008,,
Algete--piece--3-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170624000,0,0,2,1,,piece--3-1,Algete,1,-3.4965,40.5991,-3.49219,40.5958,-3.49435,40.5974,,
Algete--piece--3-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170642000,0,0,0,0,,piece--3-2,Algete,1,-3.4965,40.5958,-3.49219,40.5924,-3.49435,40.5941,,
Algete--piece--3-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170657000,0,0,0,0,,piece--3-3,Algete,1,-3.4965,40.5924,-3.49219,40.5891,-3.49435,40.5908,,
