piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Algete--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849384000,1388.89,1,0,0,,piece--0-0,Algete,1,-3.50944,40.6024,-3.50513,40.5991,-3.50729,40.6008
Algete--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849392000,1334.79,6,0,0,,piece--0-1,Algete,1,-3.50944,40.5991,-3.50513,40.5958,-3.50729,40.5974
Algete--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849400000,0,0,0,0,,piece--0-2,Algete,1,-3.50944,40.5958,-3.50513,40.5924,-3.50729,40.5941
Algete--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849412000,0,0,0,0,,piece--0-3,Algete,1,-3.50944,40.5924,-3.50513,40.5891,-3.50729,40.5908
Algete--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849420000,1765.62,2,0,0,,piece--1-0,Algete,1,-3.50513,40.6024,-3.50082,40.5991,-3.50297,40.6008
Algete--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849432000,1595.12,8,0,0,,piece--1-1,Algete,1,-3.50513,40.5991,-3.50082,40.5958,-3.50297,40.5974
Algete--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849443000,0,0,0,0,,piece--1-2,Algete,1,-3.50513,40.5958,-3.50082,40.5924,-3.50297,40.5941
Algete--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849448000,1362.73,1,0,0,,piece--1-3,Algete,1,-3.50513,40.5924,-3.50082,40.5891,-3.50297,40.5908
Algete--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849453000,1647.22,8,0,0,,piece--2-0,Algete,1,-3.50082,40.6024,-3.4965,40.5991,-3.49866,40.6008
Algete--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849460000,1666.28,28,9.09091,1,,piece--2-1,Algete,1,-3.50082,40.5991,-3.4965,40.5958,-3.49866,40.5974
Algete--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849469000,1841.89,11,7.63328,2,,piece--2-2,Algete,1,-3.50082,40.5958,-3.4965,40.5924,-3.49866,40.5941
Algete--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849478000,1783.72,3,0,0,,piece--2-3,Algete,1,-3.50082,40.5924,-3.4965,40.5891,-3.49866,40.5908
Algete--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849490000,1651.04,1,0,0,,piece--3-0,Algete,1,-3.4965,40.6024,-3.49219,40.5991,-3.49435,40.6008
Algete--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849495000,1450.88,3,0,0,,piece--3-1,Algete,1,-3.4965,40.5991,-3.49219,40.5958,-3.49435,40.5974
Algete--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849502000,1610,26,7.87879,1,,piece--3-2,Algete,1,-3.4965,40.5958,-3.49219,40.5924,-3.49435,40.5941
Algete--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849515000,1624.26,17,0,0,,piece--3-3,Algete,1,-3.4965,40.5924,-3.49219,40.5891,-3.49435,40.5908
