piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Algete--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169678000,1382.98,1,0,0,,piece--0-0,Algete,1,-3.50944,40.6024,-3.50513,40.5991,-3.50729,40.6008,,
Algete--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169687000,1334.79,6,0,0,,piece--0-1,Algete,1,-3.50944,40.5991,-3.50513,40.5958,-3.50729,40.5974,,
Algete--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169695000,0,0,0,0,,piece--0-2,Algete,1,-3.50944,40.5958,-3.50513,40.5924,-3.50729,40.5941,,
Algete--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169704000,0,0,0,0,,piece--0-3,Algete,1,-3.50944,40.5924,-3.50513,40.5891,-3.50729,40.5908,,
Algete--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169714000,1750,1,0,0,,piece--1-0,Algete,1,-3.50513,40.6024,-3.50082,40.5991,-3.50297,40.6008,,
Algete--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169726000,1672.51,7,0,0,,piece--1-1,Algete,1,-3.50513,40.5991,-3.50082,40.5958,-3.50297,40.5974,,
Algete--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169731000,1053.33,1,0,0,,piece--1-2,Algete,1,-3.50513,40.5958,-3.50082,40.5924,-3.50297,40.5941,,
Algete--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169739000,1362.73,1,0,0,,piece--1-3,Algete,1,-3.50513,40.5924,-3.50082,40.5891,-3.50297,40.5908,,
Algete--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169748000,1647.22,8,0,0,,piece--2-0,Algete,1,-3.50082,40.6024,-3.4965,40.5991,-3.49866,40.6008,,
Algete--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169758000,1675.34,28,9.09091,1,,piece--2-1,Algete,1,-3.50082,40.5991,-3.4965,40.5958,-3.49866,40.5974,,
Algete--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169767000,1807.34,12,7.45179,2,,piece--2-2,Algete,1,-3.50082,40.5958,-3.4965,40.5924,-3.49866,40.5941,,
Algete--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169776000,1763.24,4,0,0,,piece--2-3,Algete,1,-3.50082,40.5924,-3.4965,40.5891,-3.49866,40.5908,,
Algete--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169785000,1651.04,1,0,0,,piece--3-0,Algete,1,-3.4965,40.6024,-3.49219,40.5991,-3.49435,40.6008,,
Algete--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169794000,1450.88,3,0,0,,piece--3-1,Algete,1,-3.4965,40.5991,-3.49219,40.5958,-3.49435,40.5974,,
Algete--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169803000,1585.01,24,0,0,,piece--3-2,Algete,1,-3.4965,40.5958,-3.49219,40.5924,-3.49435,40.5941,,
Algete--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169809000,1612.55,18,0,0,,piece--3-3,Algete,1,-3.4965,40.5924,-3.49219,40.5891,-3.49435,40.5908,,
