piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Aranjuez--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170675000,0,0,0,0,,piece--0-0,Aranjuez,1,-3.63008,40.0392,-3.62466,40.0343,-3.62737,40.0368,,
Aranjuez--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170692000,0,0,0,0,,piece--0-1,Aranjuez,1,-3.63008,40.0343,-3.62466,40.0295,-3.62737,40.0319,,
Aranjuez--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170707000,0,0,0,0,,piece--0-2,Aranjuez,1,-3.63008,40.0295,-3.62466,40.0247,-3.62737,40.0271,,
Aranjuez--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170721000,0,0,0,0,,piece--0-3,Aranjuez,1,-3.63008,40.0247,-3.62466,40.0198,-3.62737,40.0222,,
Aranjuez--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170734000,0,0,0,0,,piece--1-0,Aranjuez,1,-3.62466,40.0392,-3.61923,40.0343,-3.62194,40.0368,,
Aranjuez--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170749000,0,0,0,0,,piece--1-1,Aranjuez,1,-3.62466,40.0343,-3.61923,40.0295,-3.62194,40.0319,,
Aranjuez--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170771000,0,0,0,0,,piece--1-2,Aranjuez,1,-3.62466,40.0295,-3.61923,40.0247,-3.62194,40.0271,,
Aranjuez--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170792000,0,0,0,0,,piece--1-3,Aranjuez,1,-3.62466,40.0247,-3.61923,40.0198,-3.62194,40.0222,,
Aranjuez--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170809000,0,0,0,0,,piece--2-0,Aranjuez,1,-3.61923,40.0392,-3.61381,40.0343,-3.61652,40.0368,,
Aranjuez--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170822000,0,0,0,0,,piece--2-1,Aranjuez,1,-3.61923,40.0343,-3.61381,40.0295,-3.61652,40.0319,,
Aranjuez--piece--2-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170840000,0,0,0,0,,piece--2-2,Aranjuez,1,-3.61923,40.0295,-3.61381,40.0247,-3.61652,40.0271,,
Aranjuez--piece--2-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170855000,0,0,0,0,,piece--2-3,Aranjuez,1,-3.61923,40.0247,-3.61381,40.0198,-3.61652,40.0222,,
Aranjuez--piece--3-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170874000,0,0,0,0,,piece--3-0,Aranjuez,1,-3.61381,40.0392,-3.60838,40.0343,-3.61109,40.0368,,
Aranjuez--piece--3-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170890000,0,0,0,1,,piece--3-1,Aranjuez,1,-3.61381,40.0343,-3.60838,40.0295,-3.61109,40.0319,,
Aranjuez--piece--3-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170907000,0,0,0,2,,piece--3-2,Aranjuez,1,-3.61381,40.0295,-3.60838,40.0247,-3.61109,40.0271,,
Aranjuez--piece--3-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170926000,0,0,0,0,,piece--3-3,Aranjuez,1,-3.61381,40.0247,-3.60838,40.0198,-3.61109,40.0222,,
Aranjuez--piece--4-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170945000,0,0,0,0,,piece--4-0,Aranjuez,1,-3.60838,40.0392,-3.60296,40.0343,-3.60567,40.0368,,
Aranjuez--piece--4-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170961000,0,0,4,2,,piece--4-1,Aranjuez,1,-3.60838,40.0343,-3.60296,40.0295,-3.60567,40.0319,,
Aranjuez--piece--4-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170977000,0,0,1,4,,piece--4-2,Aranjuez,1,-3.60838,40.0295,-3.60296,40.0247,-3.60567,40.0271,,
Aranjuez--piece--4-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544170999000,0,0,0,0,,piece--4-3,Aranjuez,1,-3.60838,40.0247,-3.60296,40.0198,-3.60567,40.0222,,
Aranjuez--piece--5-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171015000,0,0,0,2,,piece--5-0,Aranjuez,1,-3.60296,40.0392,-3.59753,40.0343,-3.60024,40.0368,,
Aranjuez--piece--5-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171038000,0,0,0,0,,piece--5-1,Aranjuez,1,-3.60296,40.0343,-3.59753,40.0295,-3.60024,40.0319,,
Aranjuez--piece--5-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171053000,0,0,0,2,,piece--5-2,Aranjuez,1,-3.60296,40.0295,-3.59753,40.0247,-3.60024,40.0271,,
Aranjuez--piece--5-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171070000,0,0,0,0,,piece--5-3,Aranjuez,1,-3.60296,40.0247,-3.59753,40.0198,-3.60024,40.0222,,
Aranjuez--piece--6-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171088000,0,0,0,3,,piece--6-0,Aranjuez,1,-3.59753,40.0392,-3.5921,40.0343,-3.59482,40.0368,,
Aranjuez--piece--6-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171108000,0,0,0,0,,piece--6-1,Aranjuez,1,-3.59753,40.0343,-3.5921,40.0295,-3.59482,40.0319,,
Aranjuez--piece--6-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171121000,0,0,0,0,,piece--6-2,Aranjuez,1,-3.59753,40.0295,-3.5921,40.0247,-3.59482,40.0271,,
Aranjuez--piece--6-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171140000,0,0,0,0,,piece--6-3,Aranjuez,1,-3.59753,40.0247,-3.5921,40.0198,-3.59482,40.0222,,
Aranjuez--piece--7-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171157000,0,0,0,0,,piece--7-0,Aranjuez,1,-3.5921,40.0392,-3.58668,40.0343,-3.58939,40.0368,,
Aranjuez--piece--7-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171175000,0,0,4,1,,piece--7-1,Aranjuez,1,-3.5921,40.0343,-3.58668,40.0295,-3.58939,40.0319,,
