piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Aranjuez--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169817000,0,0,0,0,,piece--0-0,Aranjuez,1,-3.63008,40.0392,-3.62466,40.0343,-3.62737,40.0368,,
Aranjuez--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169826000,0,0,0,0,,piece--0-1,Aranjuez,1,-3.63008,40.0343,-3.62466,40.0295,-3.62737,40.0319,,
Aranjuez--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169831000,0,0,0,0,,piece--0-2,Aranjuez,1,-3.63008,40.0295,-3.62466,40.0247,-3.62737,40.0271,,
Aranjuez--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169839000,0,0,0,0,,piece--0-3,Aranjuez,1,-3.63008,40.0247,-3.62466,40.0198,-3.62737,40.0222,,
Aranjuez--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169845000,0,0,0,0,,piece--1-0,Aranjuez,1,-3.62466,40.0392,-3.61923,40.0343,-3.62194,40.0368,,
Aranjuez--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169850000,1986.67,1,0,0,,piece--1-1,Aranjuez,1,-3.62466,40.0343,-3.61923,40.0295,-3.62194,40.0319,,
Aranjuez--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169859000,1462.1,2,0,0,,piece--1-2,Aranjuez,1,-3.62466,40.0295,-3.61923,40.0247,-3.62194,40.0271,,
Aranjuez--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169864000,1510.89,4,0,0,,piece--1-3,Aranjuez,1,-3.62466,40.0247,-3.61923,40.0198,-3.62194,40.0222,,
Aranjuez--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169872000,0,0,0,0,,piece--2-0,Aranjuez,1,-3.61923,40.0392,-3.61381,40.0343,-3.61652,40.0368,,
Aranjuez--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169883000,2072.07,1,0,0,,piece--2-1,Aranjuez,1,-3.61923,40.0343,-3.61381,40.0295,-3.61652,40.0319,,
Aranjuez--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169892000,1645.47,7,0,0,,piece--2-2,Aranjuez,1,-3.61923,40.0295,-3.61381,40.0247,-3.61652,40.0271,,
Aranjuez--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169904000,1430.08,10,0,0,,piece--2-3,Aranjuez,1,-3.61923,40.0247,-3.61381,40.0198,-3.61652,40.0222,,
Aranjuez--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169912000,1566.04,1,0,0,,piece--3-0,Aranjuez,1,-3.61381,40.0392,-3.60838,40.0343,-3.61109,40.0368,,
Aranjuez--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169918000,1053.76,5,6.31579,1,,piece--3-1,Aranjuez,1,-3.61381,40.0343,-3.60838,40.0295,-3.61109,40.0319,,
Aranjuez--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169926000,1839.14,3,0,0,,piece--3-2,Aranjuez,1,-3.61381,40.0295,-3.60838,40.0247,-3.61109,40.0271,,
Aranjuez--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169935000,1426.25,7,0,0,,piece--3-3,Aranjuez,1,-3.61381,40.0247,-3.60838,40.0198,-3.61109,40.0222,,
Aranjuez--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169943000,1277.14,8,7.74545,2,,piece--4-0,Aranjuez,1,-3.60838,40.0392,-3.60296,40.0343,-3.60567,40.0368,,
Aranjuez--piece--4-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169951000,1493.68,23,8.05316,3,,piece--4-1,Aranjuez,1,-3.60838,40.0343,-3.60296,40.0295,-3.60567,40.0319,,
Aranjuez--piece--4-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169958000,1659.79,30,8.9979,6,,piece--4-2,Aranjuez,1,-3.60838,40.0295,-3.60296,40.0247,-3.60567,40.0271,,
Aranjuez--piece--4-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544169966000,1268.74,4,0,0,,piece--4-3,Aranjuez,1,-3.60838,40.0247,-3.60296,40.0198,-3.60567,40.0222,,
