piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Arganda del Rey--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171339000,0,0,0,0,,piece--0-0,Arganda del Rey,1,-3.5198,40.3523,-3.5148,40.3471,-3.5173,40.3497,,
Arganda del Rey--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171351000,0,0,0,0,,piece--0-1,Arganda del Rey,1,-3.5198,40.3471,-3.5148,40.3419,-3.5173,40.3445,,
Arganda del Rey--piece--0-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171366000,0,0,0,0,,piece--0-10,Arganda del Rey,1,-3.5198,40.3003,-3.5148,40.2951,-3.5173,40.2977,,
Arganda del Rey--piece--0-11--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171379000,0,0,0,0,,piece--0-11,Arganda del Rey,1,-3.5198,40.2951,-3.5148,40.2899,-3.5173,40.2925,,
Arganda del Rey--piece--0-12--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171391000,0,0,0,0,,piece--0-12,Arganda del Rey,1,-3.5198,40.2899,-3.5148,40.2847,-3.5173,40.2873,,
Arganda del Rey--piece--0-13--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171409000,0,0,0,0,,piece--0-13,Arganda del Rey,1,-3.5198,40.2847,-3.5148,40.2796,-3.5173,40.2822,,
Arganda del Rey--piece--0-14--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171422000,0,0,0,0,,piece--0-14,Arganda del Rey,1,-3.5198,40.2796,-3.5148,40.2744,-3.5173,40.277,,
Arganda del Rey--piece--0-15--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171436000,0,0,0,0,,piece--0-15,Arganda del Rey,1,-3.5198,40.2744,-3.5148,40.2692,-3.5173,40.2718,,
Arganda del Rey--piece--0-16--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171457000,0,0,0,0,,piece--0-16,Arganda del Rey,1,-3.5198,40.2692,-3.5148,40.264,-3.5173,40.2666,,
Arganda del Rey--piece--0-17--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171471000,0,0,0,0,,piece--0-17,Arganda del Rey,1,-3.5198,40.264,-3.5148,40.2588,-3.5173,40.2614,,
Arganda del Rey--piece--0-18--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171487000,0,0,0,0,,piece--0-18,Arganda del Rey,1,-3.5198,40.2588,-3.5148,40.2536,-3.5173,40.2562,,
Arganda del Rey--piece--0-19--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171501000,0,0,0,0,,piece--0-19,Arganda del Rey,1,-3.5198,40.2536,-3.5148,40.2484,-3.5173,40.251,,
Arganda del Rey--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171517000,0,0,2,1,,piece--0-2,Arganda del Rey,1,-3.5198,40.3419,-3.5148,40.3367,-3.5173,40.3393,,
Arganda del Rey--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171531000,0,0,2,1,,piece--0-3,Arganda del Rey,1,-3.5198,40.3367,-3.5148,40.3315,-3.5173,40.3341,,
Arganda del Rey--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171550000,0,0,0,0,,piece--0-4,Arganda del Rey,1,-3.5198,40.3315,-3.5148,40.3263,-3.5173,40.3289,,
Arganda del Rey--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171572000,0,0,0,1,,piece--0-5,Arganda del Rey,1,-3.5198,40.3263,-3.5148,40.3211,-3.5173,40.3237,,
Arganda del Rey--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171595000,0,0,0,0,,piece--0-6,Arganda del Rey,1,-3.5198,40.3211,-3.5148,40.3159,-3.5173,40.3185,,
Arganda del Rey--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544171615000,0,0,0,0,,piece--0-7,Arganda del Rey,1,-3.5198,40.3159,-3.5148,40.3107,-3.5173,40.3133,,
