piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Arganda del Rey--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849861000,2078.91,16,8.82353,1,,piece--0-0,Arganda del Rey,1,-3.5198,40.3523,-3.5148,40.3471,-3.5173,40.3497
Arganda del Rey--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849870000,1820.94,11,7.77273,2,,piece--0-1,Arganda del Rey,1,-3.5198,40.3471,-3.5148,40.3419,-3.5173,40.3445
Arganda del Rey--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849881000,0,0,0,0,,piece--0-10,Arganda del Rey,1,-3.5198,40.3003,-3.5148,40.2951,-3.5173,40.2977
Arganda del Rey--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849891000,0,0,0,0,,piece--0-11,Arganda del Rey,1,-3.5198,40.2951,-3.5148,40.2899,-3.5173,40.2925
Arganda del Rey--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849896000,0,0,0,0,,piece--0-12,Arganda del Rey,1,-3.5198,40.2899,-3.5148,40.2847,-3.5173,40.2873
Arganda del Rey--piece--0-13--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849902000,0,0,0,0,,piece--0-13,Arganda del Rey,1,-3.5198,40.2847,-3.5148,40.2796,-3.5173,40.2822
Arganda del Rey--piece--0-14--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849907000,0,0,0,0,,piece--0-14,Arganda del Rey,1,-3.5198,40.2796,-3.5148,40.2744,-3.5173,40.277
Arganda del Rey--piece--0-15--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849918000,0,0,0,0,,piece--0-15,Arganda del Rey,1,-3.5198,40.2744,-3.5148,40.2692,-3.5173,40.2718
Arganda del Rey--piece--0-16--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849924000,0,0,0,0,,piece--0-16,Arganda del Rey,1,-3.5198,40.2692,-3.5148,40.264,-3.5173,40.2666
Arganda del Rey--piece--0-17--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849931000,0,0,0,0,,piece--0-17,Arganda del Rey,1,-3.5198,40.264,-3.5148,40.2588,-3.5173,40.2614
Arganda del Rey--piece--0-18--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849937000,0,0,0,0,,piece--0-18,Arganda del Rey,1,-3.5198,40.2588,-3.5148,40.2536,-3.5173,40.2562
Arganda del Rey--piece--0-19--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849947000,0,0,0,0,,piece--0-19,Arganda del Rey,1,-3.5198,40.2536,-3.5148,40.2484,-3.5173,40.251
Arganda del Rey--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543849956000,1782.34,26,8.52632,2,,piece--0-2,Arganda del Rey,1,-3.5198,40.3419,-3.5148,40.3367,-3.5173,40.3393
