piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Arroyomolinos--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180552000,0,0,0,0,,piece--0-0,Arroyomolinos,1,-3.93246,40.295,-3.92698,40.2899,-3.92972,40.2925,,
Arroyomolinos--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180564000,0,0,0,0,,piece--0-1,Arroyomolinos,1,-3.93246,40.2899,-3.92698,40.2847,-3.92972,40.2873,,
Arroyomolinos--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180580000,0,0,0,0,,piece--0-2,Arroyomolinos,1,-3.93246,40.2847,-3.92698,40.2796,-3.92972,40.2821,,
Arroyomolinos--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180603000,0,0,0,0,,piece--0-3,Arroyomolinos,1,-3.93246,40.2796,-3.92698,40.2744,-3.92972,40.277,,
Arroyomolinos--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180617000,0,0,0,0,,piece--0-4,Arroyomolinos,1,-3.93246,40.2744,-3.92698,40.2692,-3.92972,40.2718,,
Arroyomolinos--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180638000,0,0,0,0,,piece--0-5,Arroyomolinos,1,-3.93246,40.2692,-3.92698,40.2641,-3.92972,40.2667,,
Arroyomolinos--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180656000,0,0,0,0,,piece--0-6,Arroyomolinos,1,-3.93246,40.2641,-3.92698,40.2589,-3.92972,40.2615,,
Arroyomolinos--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180683000,0,0,0,0,,piece--1-0,Arroyomolinos,1,-3.92698,40.295,-3.9215,40.2899,-3.92424,40.2925,,
Arroyomolinos--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180703000,0,0,0,0,,piece--1-1,Arroyomolinos,1,-3.92698,40.2899,-3.9215,40.2847,-3.92424,40.2873,,
Arroyomolinos--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180719000,0,0,0,0,,piece--1-2,Arroyomolinos,1,-3.92698,40.2847,-3.9215,40.2796,-3.92424,40.2821,,
Arroyomolinos--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180734000,0,0,0,0,,piece--1-3,Arroyomolinos,1,-3.92698,40.2796,-3.9215,40.2744,-3.92424,40.277,,
Arroyomolinos--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180751000,0,0,0,0,,piece--1-4,Arroyomolinos,1,-3.92698,40.2744,-3.9215,40.2692,-3.92424,40.2718,,
Arroyomolinos--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180765000,0,0,0,0,,piece--1-5,Arroyomolinos,1,-3.92698,40.2692,-3.9215,40.2641,-3.92424,40.2667,,
Arroyomolinos--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180786000,0,0,0,0,,piece--1-6,Arroyomolinos,1,-3.92698,40.2641,-3.9215,40.2589,-3.92424,40.2615,,
Arroyomolinos--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180801000,0,0,0,0,,piece--2-0,Arroyomolinos,1,-3.9215,40.295,-3.91602,40.2899,-3.91876,40.2925,,
Arroyomolinos--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180815000,0,0,0,0,,piece--2-1,Arroyomolinos,1,-3.9215,40.2899,-3.91602,40.2847,-3.91876,40.2873,,
Arroyomolinos--piece--2-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180828000,0,0,0,0,,piece--2-2,Arroyomolinos,1,-3.9215,40.2847,-3.91602,40.2796,-3.91876,40.2821,,
Arroyomolinos--piece--2-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180843000,0,0,0,0,,piece--2-3,Arroyomolinos,1,-3.9215,40.2796,-3.91602,40.2744,-3.91876,40.277,,
Arroyomolinos--piece--2-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180861000,0,0,0,1,,piece--2-4,Arroyomolinos,1,-3.9215,40.2744,-3.91602,40.2692,-3.91876,40.2718,,
Arroyomolinos--piece--2-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544180874000,0,0,0,0,,piece--2-5,Arroyomolinos,1,-3.9215,40.2692,-3.91602,40.2641,-3.91876,40.2667,,
