piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Arroyomolinos--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855683000,0,0,0,0,,piece--0-0,Arroyomolinos,1,-3.93246,40.295,-3.92698,40.2899,-3.92972,40.2925
Arroyomolinos--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855692000,0,0,0,0,,piece--0-1,Arroyomolinos,1,-3.93246,40.2899,-3.92698,40.2847,-3.92972,40.2873
Arroyomolinos--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855700000,1546.51,4,0,0,,piece--0-2,Arroyomolinos,1,-3.93246,40.2847,-3.92698,40.2796,-3.92972,40.2821
Arroyomolinos--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855707000,1770.32,14,4.64286,2,,piece--0-3,Arroyomolinos,1,-3.93246,40.2796,-3.92698,40.2744,-3.92972,40.277
Arroyomolinos--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855712000,1485.65,3,0,0,,piece--0-4,Arroyomolinos,1,-3.93246,40.2744,-3.92698,40.2692,-3.92972,40.2718
Arroyomolinos--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855735000,0,0,0,0,,piece--0-5,Arroyomolinos,1,-3.93246,40.2692,-3.92698,40.2641,-3.92972,40.2667
Arroyomolinos--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855741000,0,0,0,0,,piece--0-6,Arroyomolinos,1,-3.93246,40.2641,-3.92698,40.2589,-3.92972,40.2615
Arroyomolinos--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855749000,0,0,0,0,,piece--1-0,Arroyomolinos,1,-3.92698,40.295,-3.9215,40.2899,-3.92424,40.2925
Arroyomolinos--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855757000,1725.17,1,0,0,,piece--1-1,Arroyomolinos,1,-3.92698,40.2899,-3.9215,40.2847,-3.92424,40.2873
Arroyomolinos--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855766000,1375.34,5,0,0,,piece--1-2,Arroyomolinos,1,-3.92698,40.2847,-3.9215,40.2796,-3.92424,40.2821
Arroyomolinos--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855771000,1432.26,9,8.98876,1,,piece--1-3,Arroyomolinos,1,-3.92698,40.2796,-3.9215,40.2744,-3.92424,40.277
Arroyomolinos--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855784000,1542.25,23,6.12558,5,,piece--1-4,Arroyomolinos,1,-3.92698,40.2744,-3.9215,40.2692,-3.92424,40.2718
Arroyomolinos--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855799000,1252.04,15,0,0,,piece--1-5,Arroyomolinos,1,-3.92698,40.2692,-3.9215,40.2641,-3.92424,40.2667
Arroyomolinos--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855805000,1164.84,13,0,0,,piece--1-6,Arroyomolinos,1,-3.92698,40.2641,-3.9215,40.2589,-3.92424,40.2615
Arroyomolinos--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855813000,0,0,0,0,,piece--2-0,Arroyomolinos,1,-3.9215,40.295,-3.91602,40.2899,-3.91876,40.2925
Arroyomolinos--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855826000,2006.19,2,0,0,,piece--2-1,Arroyomolinos,1,-3.9215,40.2899,-3.91602,40.2847,-3.91876,40.2873
Arroyomolinos--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855835000,2040.33,17,0,0,,piece--2-2,Arroyomolinos,1,-3.9215,40.2847,-3.91602,40.2796,-3.91876,40.2821
Arroyomolinos--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855845000,2138.65,15,11.4215,2,,piece--2-3,Arroyomolinos,1,-3.9215,40.2796,-3.91602,40.2744,-3.91876,40.277
Arroyomolinos--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855854000,1741.55,15,6.77966,1,,piece--2-4,Arroyomolinos,1,-3.9215,40.2744,-3.91602,40.2692,-3.91876,40.2718
Arroyomolinos--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855864000,1494.47,29,10.0593,4,,piece--2-5,Arroyomolinos,1,-3.9215,40.2692,-3.91602,40.2641,-3.91876,40.2667
Arroyomolinos--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855876000,1349.43,5,0,0,,piece--2-6,Arroyomolinos,1,-3.9215,40.2641,-3.91602,40.2589,-3.91876,40.2615
Arroyomolinos--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855882000,1448.16,19,0,0,,piece--3-0,Arroyomolinos,1,-3.91602,40.295,-3.91054,40.2899,-3.91328,40.2925
Arroyomolinos--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855894000,1339.48,13,0,0,,piece--3-1,Arroyomolinos,1,-3.91602,40.2899,-3.91054,40.2847,-3.91328,40.2873
Arroyomolinos--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855899000,1624.6,9,6.81818,1,,piece--3-2,Arroyomolinos,1,-3.91602,40.2847,-3.91054,40.2796,-3.91328,40.2821
Arroyomolinos--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855905000,1544.41,13,3.81526,1,,piece--3-3,Arroyomolinos,1,-3.91602,40.2796,-3.91054,40.2744,-3.91328,40.277
Arroyomolinos--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855911000,1680.74,8,9.72222,1,,piece--3-4,Arroyomolinos,1,-3.91602,40.2744,-3.91054,40.2692,-3.91328,40.2718
Arroyomolinos--piece--3-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855919000,1116.63,9,3.62998,1,,piece--3-5,Arroyomolinos,1,-3.91602,40.2692,-3.91054,40.2641,-3.91328,40.2667
Arroyomolinos--piece--3-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855929000,1307.75,26,0,0,,piece--3-6,Arroyomolinos,1,-3.91602,40.2641,-3.91054,40.2589,-3.91328,40.2615
Arroyomolinos--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855934000,0,0,0,0,,piece--4-0,Arroyomolinos,1,-3.91054,40.295,-3.90506,40.2899,-3.9078,40.2925
Arroyomolinos--piece--4-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855946000,0,0,0,0,,piece--4-1,Arroyomolinos,1,-3.91054,40.2899,-3.90506,40.2847,-3.9078,40.2873
Arroyomolinos--piece--4-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855952000,0,0,0,0,,piece--4-2,Arroyomolinos,1,-3.91054,40.2847,-3.90506,40.2796,-3.9078,40.2821
Arroyomolinos--piece--4-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855958000,0,0,0,0,,piece--4-3,Arroyomolinos,1,-3.91054,40.2796,-3.90506,40.2744,-3.9078,40.277
Arroyomolinos--piece--4-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855972000,1554.72,9,7.27273,2,,piece--4-4,Arroyomolinos,1,-3.91054,40.2744,-3.90506,40.2692,-3.9078,40.2718
Arroyomolinos--piece--4-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855982000,1286.52,7,0,0,,piece--4-5,Arroyomolinos,1,-3.91054,40.2692,-3.90506,40.2641,-3.9078,40.2667
Arroyomolinos--piece--4-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855988000,1900,1,0,0,,piece--4-6,Arroyomolinos,1,-3.91054,40.2641,-3.90506,40.2589,-3.9078,40.2615
Arroyomolinos--piece--5-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855993000,0,0,0,0,,piece--5-0,Arroyomolinos,1,-3.90506,40.295,-3.89958,40.2899,-3.90232,40.2925
Arroyomolinos--piece--5-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543855998000,0,0,0,0,,piece--5-1,Arroyomolinos,1,-3.90506,40.2899,-3.89958,40.2847,-3.90232,40.2873
Arroyomolinos--piece--5-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543856017000,0,0,0,0,,piece--5-2,Arroyomolinos,1,-3.90506,40.2847,-3.89958,40.2796,-3.90232,40.2821
Arroyomolinos--piece--5-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543856022000,0,0,0,0,,piece--5-3,Arroyomolinos,1,-3.90506,40.2796,-3.89958,40.2744,-3.90232,40.277
Arroyomolinos--piece--5-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543856036000,1226.04,10,0,0,,piece--5-4,Arroyomolinos,1,-3.90506,40.2744,-3.89958,40.2692,-3.90232,40.2718
Arroyomolinos--piece--5-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543856044000,1441.67,6,0,0,,piece--5-5,Arroyomolinos,1,-3.90506,40.2692,-3.89958,40.2641,-3.90232,40.2667
Arroyomolinos--piece--5-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543856049000,0,0,0,0,,piece--5-6,Arroyomolinos,1,-3.90506,40.2641,-3.89958,40.2589,-3.90232,40.2615
