piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Boadilla del Monte--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118447000,0,0,0,0,,piece--0-0,Boadilla del Monte,0,-3.92587,40.4564,-3.92063,40.4511,-3.92325,40.4537,,
Boadilla del Monte--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118468000,0,0,0,0,,piece--0-1,Boadilla del Monte,0,-3.92587,40.4511,-3.92063,40.4458,-3.92325,40.4484,,
Boadilla del Monte--piece--0-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118484000,0,0,0,1,,piece--0-10,Boadilla del Monte,0,-3.92587,40.4034,-3.92063,40.3981,-3.92325,40.4007,,
Boadilla del Monte--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118498000,0,0,0,0,,piece--0-2,Boadilla del Monte,0,-3.92587,40.4458,-3.92063,40.4405,-3.92325,40.4431,,
Boadilla del Monte--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118525000,0,0,0,0,,piece--0-3,Boadilla del Monte,0,-3.92587,40.4405,-3.92063,40.4352,-3.92325,40.4378,,
Boadilla del Monte--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118541000,0,0,0,0,,piece--0-4,Boadilla del Monte,0,-3.92587,40.4352,-3.92063,40.4299,-3.92325,40.4325,,
Boadilla del Monte--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118556000,0,0,0,0,,piece--0-5,Boadilla del Monte,0,-3.92587,40.4299,-3.92063,40.4246,-3.92325,40.4272,,
Boadilla del Monte--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118574000,0,0,0,0,,piece--0-6,Boadilla del Monte,0,-3.92587,40.4246,-3.92063,40.4193,-3.92325,40.4219,,
Boadilla del Monte--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118589000,0,0,0,0,,piece--0-7,Boadilla del Monte,0,-3.92587,40.4193,-3.92063,40.414,-3.92325,40.4166,,
Boadilla del Monte--piece--0-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544118612000,0,0,0,0,,piece--0-8,Boadilla del Monte,0,-3.92587,40.414,-3.92063,40.4087,-3.92325,40.4113,,
