piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Boadilla del Monte--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175312000,0,0,0,0,,piece--0-0,Boadilla del Monte,1,-3.92587,40.4564,-3.92063,40.4511,-3.92325,40.4537,,
Boadilla del Monte--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175320000,0,0,0,0,,piece--0-1,Boadilla del Monte,1,-3.92587,40.4511,-3.92063,40.4458,-3.92325,40.4484,,
Boadilla del Monte--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175338000,2079.88,2,0,0,,piece--0-10,Boadilla del Monte,1,-3.92587,40.4034,-3.92063,40.3981,-3.92325,40.4007,,
Boadilla del Monte--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175345000,0,0,0,0,,piece--0-2,Boadilla del Monte,1,-3.92587,40.4458,-3.92063,40.4405,-3.92325,40.4431,,
Boadilla del Monte--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175351000,1561.91,4,3.9248,1,,piece--0-3,Boadilla del Monte,1,-3.92587,40.4405,-3.92063,40.4352,-3.92325,40.4378,,
Boadilla del Monte--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175356000,3.19303,1,11,1,,piece--0-4,Boadilla del Monte,1,-3.92587,40.4352,-3.92063,40.4299,-3.92325,40.4325,,
Boadilla del Monte--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175362000,2419.7,7,0,0,,piece--0-5,Boadilla del Monte,1,-3.92587,40.4299,-3.92063,40.4246,-3.92325,40.4272,,
Boadilla del Monte--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175370000,1819.33,2,0,0,,piece--0-6,Boadilla del Monte,1,-3.92587,40.4246,-3.92063,40.4193,-3.92325,40.4219,,
Boadilla del Monte--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175381000,2399.22,1,0,0,,piece--0-7,Boadilla del Monte,1,-3.92587,40.4193,-3.92063,40.414,-3.92325,40.4166,,
Boadilla del Monte--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175389000,0,0,0,0,,piece--0-8,Boadilla del Monte,1,-3.92587,40.414,-3.92063,40.4087,-3.92325,40.4113,,
Boadilla del Monte--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175397000,0,0,0,0,,piece--0-9,Boadilla del Monte,1,-3.92587,40.4087,-3.92063,40.4034,-3.92325,40.406,,
Boadilla del Monte--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175403000,2025,1,0,0,,piece--1-0,Boadilla del Monte,1,-3.92063,40.4564,-3.91539,40.4511,-3.91801,40.4537,,
Boadilla del Monte--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175412000,0,0,0,0,,piece--1-1,Boadilla del Monte,1,-3.92063,40.4511,-3.91539,40.4458,-3.91801,40.4484,,
Boadilla del Monte--piece--1-10--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175418000,1280.02,10,0,0,,piece--1-10,Boadilla del Monte,1,-3.92063,40.4034,-3.91539,40.3981,-3.91801,40.4007,,
Boadilla del Monte--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175423000,0,0,0,0,,piece--1-2,Boadilla del Monte,1,-3.92063,40.4458,-3.91539,40.4405,-3.91801,40.4431,,
Boadilla del Monte--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544175431000,1916.67,3,5.6,1,,piece--1-3,Boadilla del Monte,1,-3.92063,40.4405,-3.91539,40.4352,-3.91801,40.4378,,
