piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Ciempozuelos--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121184000,0,0,0,0,,piece--0-0,Ciempozuelos,0,-3.63616,40.1709,-3.63038,40.166,-3.63327,40.1684,,
Ciempozuelos--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121205000,0,0,0,0,,piece--0-1,Ciempozuelos,0,-3.63616,40.166,-3.63038,40.161,-3.63327,40.1635,,
Ciempozuelos--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121226000,0,0,0,0,,piece--0-2,Ciempozuelos,0,-3.63616,40.161,-3.63038,40.1561,-3.63327,40.1586,,
Ciempozuelos--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121245000,0,0,0,1,,piece--0-3,Ciempozuelos,0,-3.63616,40.1561,-3.63038,40.1512,-3.63327,40.1537,,
Ciempozuelos--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121266000,0,0,0,0,,piece--1-0,Ciempozuelos,0,-3.63038,40.1709,-3.6246,40.166,-3.62749,40.1684,,
Ciempozuelos--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121305000,0,0,0,0,,piece--1-1,Ciempozuelos,0,-3.63038,40.166,-3.6246,40.161,-3.62749,40.1635,,
Ciempozuelos--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121322000,0,0,0,4,,piece--1-2,Ciempozuelos,0,-3.63038,40.161,-3.6246,40.1561,-3.62749,40.1586,,
Ciempozuelos--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121347000,0,0,0,0,,piece--1-3,Ciempozuelos,0,-3.63038,40.1561,-3.6246,40.1512,-3.62749,40.1537,,
Ciempozuelos--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121362000,0,0,0,0,,piece--2-0,Ciempozuelos,0,-3.6246,40.1709,-3.61882,40.166,-3.62171,40.1684,,
Ciempozuelos--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121375000,0,0,0,3,,piece--2-1,Ciempozuelos,0,-3.6246,40.166,-3.61882,40.161,-3.62171,40.1635,,
