piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Ciempozuelos--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857413000,0,0,0,0,,piece--0-0,Ciempozuelos,1,-3.63616,40.1709,-3.63038,40.166,-3.63327,40.1684
Ciempozuelos--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857424000,0,0,0,0,,piece--0-1,Ciempozuelos,1,-3.63616,40.166,-3.63038,40.161,-3.63327,40.1635
Ciempozuelos--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857432000,0,0,0,0,,piece--0-2,Ciempozuelos,1,-3.63616,40.161,-3.63038,40.1561,-3.63327,40.1586
Ciempozuelos--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857438000,1191.23,21,0,0,,piece--0-3,Ciempozuelos,1,-3.63616,40.1561,-3.63038,40.1512,-3.63327,40.1537
Ciempozuelos--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857448000,0,0,0,0,,piece--1-0,Ciempozuelos,1,-3.63038,40.1709,-3.6246,40.166,-3.62749,40.1684
Ciempozuelos--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857461000,1555.71,8,0,0,,piece--1-1,Ciempozuelos,1,-3.63038,40.166,-3.6246,40.161,-3.62749,40.1635
Ciempozuelos--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857472000,1367.18,5,7.09459,1,,piece--1-2,Ciempozuelos,1,-3.63038,40.161,-3.6246,40.1561,-3.62749,40.1586
Ciempozuelos--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857483000,1201.5,29,0,0,,piece--1-3,Ciempozuelos,1,-3.63038,40.1561,-3.6246,40.1512,-3.62749,40.1537
Ciempozuelos--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857502000,0,0,0,0,,piece--2-0,Ciempozuelos,1,-3.6246,40.1709,-3.61882,40.166,-3.62171,40.1684
Ciempozuelos--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857531000,1341.27,30,0,0,,piece--2-1,Ciempozuelos,1,-3.6246,40.166,-3.61882,40.161,-3.62171,40.1635
Ciempozuelos--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857539000,1280.68,30,6.75661,7,,piece--2-2,Ciempozuelos,1,-3.6246,40.161,-3.61882,40.1561,-3.62171,40.1586
Ciempozuelos--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857545000,1296.85,23,7.35577,2,,piece--2-3,Ciempozuelos,1,-3.6246,40.1561,-3.61882,40.1512,-3.62171,40.1537
Ciempozuelos--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857553000,1857.14,1,0,0,,piece--3-0,Ciempozuelos,1,-3.61882,40.1709,-3.61303,40.166,-3.61592,40.1684
Ciempozuelos--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857565000,1579.68,8,0,0,,piece--3-1,Ciempozuelos,1,-3.61882,40.166,-3.61303,40.161,-3.61592,40.1635
Ciempozuelos--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857573000,1303.99,29,20.8333,2,,piece--3-2,Ciempozuelos,1,-3.61882,40.161,-3.61303,40.1561,-3.61592,40.1586
Ciempozuelos--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857582000,1089.67,9,0,0,,piece--3-3,Ciempozuelos,1,-3.61882,40.1561,-3.61303,40.1512,-3.61592,40.1537
Ciempozuelos--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857587000,0,0,0,0,,piece--4-0,Ciempozuelos,1,-3.61303,40.1709,-3.60725,40.166,-3.61014,40.1684
Ciempozuelos--piece--4-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857595000,0,0,0,0,,piece--4-1,Ciempozuelos,1,-3.61303,40.166,-3.60725,40.161,-3.61014,40.1635
Ciempozuelos--piece--4-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857601000,0,0,0,0,,piece--4-2,Ciempozuelos,1,-3.61303,40.161,-3.60725,40.1561,-3.61014,40.1586
Ciempozuelos--piece--4-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857606000,963.617,3,0,0,,piece--4-3,Ciempozuelos,1,-3.61303,40.1561,-3.60725,40.1512,-3.61014,40.1537
