piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Ciempozuelos--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176476000,0,0,0,0,,piece--0-0,Ciempozuelos,1,-3.63616,40.1709,-3.63038,40.166,-3.63327,40.1684,,
Ciempozuelos--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176484000,0,0,0,0,,piece--0-1,Ciempozuelos,1,-3.63616,40.166,-3.63038,40.161,-3.63327,40.1635,,
Ciempozuelos--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176491000,0,0,0,0,,piece--0-2,Ciempozuelos,1,-3.63616,40.161,-3.63038,40.1561,-3.63327,40.1586,,
Ciempozuelos--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176497000,1177.78,20,0,0,,piece--0-3,Ciempozuelos,1,-3.63616,40.1561,-3.63038,40.1512,-3.63327,40.1537,,
Ciempozuelos--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176505000,0,0,0,0,,piece--1-0,Ciempozuelos,1,-3.63038,40.1709,-3.6246,40.166,-3.62749,40.1684,,
Ciempozuelos--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176510000,1706.35,6,0,0,,piece--1-1,Ciempozuelos,1,-3.63038,40.166,-3.6246,40.161,-3.62749,40.1635,,
Ciempozuelos--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176516000,1453.95,5,7.09459,1,,piece--1-2,Ciempozuelos,1,-3.63038,40.161,-3.6246,40.1561,-3.62749,40.1586,,
Ciempozuelos--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176526000,1181.46,29,0,0,,piece--1-3,Ciempozuelos,1,-3.63038,40.1561,-3.6246,40.1512,-3.62749,40.1537,,
Ciempozuelos--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176531000,0,0,0,0,,piece--2-0,Ciempozuelos,1,-3.6246,40.1709,-3.61882,40.166,-3.62171,40.1684,,
Ciempozuelos--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176538000,1327.82,30,0,0,,piece--2-1,Ciempozuelos,1,-3.6246,40.166,-3.61882,40.161,-3.62171,40.1635,,
Ciempozuelos--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176546000,1232.8,30,6.97694,3,,piece--2-2,Ciempozuelos,1,-3.6246,40.161,-3.61882,40.1561,-3.62171,40.1586,,
