piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Collado Villalba--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121577000,0,0,0,0,,piece--0-0,Collado Villalba,0,-4.02967,40.6541,-4.02449,40.6487,-4.02708,40.6514,,
Collado Villalba--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121595000,0,0,0,0,,piece--0-1,Collado Villalba,0,-4.02967,40.6487,-4.02449,40.6433,-4.02708,40.646,,
Collado Villalba--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121616000,0,0,0,0,,piece--0-2,Collado Villalba,0,-4.02967,40.6433,-4.02449,40.6378,-4.02708,40.6405,,
Collado Villalba--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121635000,0,0,0,0,,piece--0-3,Collado Villalba,0,-4.02967,40.6378,-4.02449,40.6324,-4.02708,40.6351,,
Collado Villalba--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121661000,0,0,0,0,,piece--0-4,Collado Villalba,0,-4.02967,40.6324,-4.02449,40.627,-4.02708,40.6297,,
Collado Villalba--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121680000,0,0,0,0,,piece--0-5,Collado Villalba,0,-4.02967,40.627,-4.02449,40.6216,-4.02708,40.6243,,
Collado Villalba--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121697000,0,0,0,0,,piece--0-6,Collado Villalba,0,-4.02967,40.6216,-4.02449,40.6162,-4.02708,40.6189,,
Collado Villalba--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121720000,0,0,0,1,,piece--1-0,Collado Villalba,0,-4.02449,40.6541,-4.01932,40.6487,-4.0219,40.6514,,
Collado Villalba--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121745000,0,0,1,2,,piece--1-1,Collado Villalba,0,-4.02449,40.6487,-4.01932,40.6433,-4.0219,40.646,,
Collado Villalba--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544121760000,0,0,0,1,,piece--1-2,Collado Villalba,0,-4.02449,40.6433,-4.01932,40.6378,-4.0219,40.6405,,
