piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Collado Villalba--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176632000,0,0,0,0,,piece--0-0,Collado Villalba,1,-4.02967,40.6541,-4.02449,40.6487,-4.02708,40.6514,,
Collado Villalba--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176643000,1695,1,0,0,,piece--0-1,Collado Villalba,1,-4.02967,40.6487,-4.02449,40.6433,-4.02708,40.646,,
Collado Villalba--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176648000,3571.43,1,0,0,,piece--0-2,Collado Villalba,1,-4.02967,40.6433,-4.02449,40.6378,-4.02708,40.6405,,
Collado Villalba--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176658000,1106.39,2,0,0,,piece--0-3,Collado Villalba,1,-4.02967,40.6378,-4.02449,40.6324,-4.02708,40.6351,,
Collado Villalba--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176664000,1532.34,3,0,0,,piece--0-4,Collado Villalba,1,-4.02967,40.6324,-4.02449,40.627,-4.02708,40.6297,,
Collado Villalba--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176673000,1486.62,15,0,0,,piece--0-5,Collado Villalba,1,-4.02967,40.627,-4.02449,40.6216,-4.02708,40.6243,,
Collado Villalba--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176679000,1112.56,6,0,0,,piece--0-6,Collado Villalba,1,-4.02967,40.6216,-4.02449,40.6162,-4.02708,40.6189,,
Collado Villalba--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176684000,1530,1,0,0,,piece--1-0,Collado Villalba,1,-4.02449,40.6541,-4.01932,40.6487,-4.0219,40.6514,,
Collado Villalba--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176693000,1593.53,22,0,0,,piece--1-1,Collado Villalba,1,-4.02449,40.6487,-4.01932,40.6433,-4.0219,40.646,,
Collado Villalba--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176706000,1550.33,22,0,0,,piece--1-2,Collado Villalba,1,-4.02449,40.6433,-4.01932,40.6378,-4.0219,40.6405,,
Collado Villalba--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176711000,1485.29,6,0,0,,piece--1-3,Collado Villalba,1,-4.02449,40.6378,-4.01932,40.6324,-4.0219,40.6351,,
Collado Villalba--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176720000,1316.21,7,0,0,,piece--1-4,Collado Villalba,1,-4.02449,40.6324,-4.01932,40.627,-4.0219,40.6297,,
Collado Villalba--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176725000,0,0,0,0,,piece--1-5,Collado Villalba,1,-4.02449,40.627,-4.01932,40.6216,-4.0219,40.6243,,
Collado Villalba--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176731000,1832.3,11,11.5,2,,piece--1-6,Collado Villalba,1,-4.02449,40.6216,-4.01932,40.6162,-4.0219,40.6189,,
Collado Villalba--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176742000,1945.08,4,0,0,,piece--2-0,Collado Villalba,1,-4.01932,40.6541,-4.01414,40.6487,-4.01673,40.6514,,
Collado Villalba--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176750000,0,0,0,0,,piece--2-1,Collado Villalba,1,-4.01932,40.6487,-4.01414,40.6433,-4.01673,40.646,,
Collado Villalba--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176761000,1729.32,1,0,0,,piece--2-2,Collado Villalba,1,-4.01932,40.6433,-4.01414,40.6378,-4.01673,40.6405,,
Collado Villalba--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176767000,1844.89,16,0,0,,piece--2-3,Collado Villalba,1,-4.01932,40.6378,-4.01414,40.6324,-4.01673,40.6351,,
Collado Villalba--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176776000,1841.87,30,0,0,,piece--2-4,Collado Villalba,1,-4.01932,40.6324,-4.01414,40.627,-4.01673,40.6297,,
Collado Villalba--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176782000,1345.77,3,0,0,,piece--2-5,Collado Villalba,1,-4.01932,40.627,-4.01414,40.6216,-4.01673,40.6243,,
Collado Villalba--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176787000,1587.28,14,8.56404,3,,piece--2-6,Collado Villalba,1,-4.01932,40.6216,-4.01414,40.6162,-4.01673,40.6189,,
Collado Villalba--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176793000,1725.41,5,0,0,,piece--3-0,Collado Villalba,1,-4.01414,40.6541,-4.00896,40.6487,-4.01155,40.6514,,
Collado Villalba--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176813000,2350,1,0,0,,piece--3-1,Collado Villalba,1,-4.01414,40.6487,-4.00896,40.6433,-4.01155,40.646,,
Collado Villalba--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176826000,1658.26,15,9.24167,2,,piece--3-2,Collado Villalba,1,-4.01414,40.6433,-4.00896,40.6378,-4.01155,40.6405,,
Collado Villalba--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176832000,1503.13,12,9,3,,piece--3-3,Collado Villalba,1,-4.01414,40.6378,-4.00896,40.6324,-4.01155,40.6351,,
Collado Villalba--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544176842000,1547.71,28,8.33333,1,,piece--3-4,Collado Villalba,1,-4.01414,40.6324,-4.00896,40.627,-4.01155,40.6297,,
