piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Colmenar Viejo--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122734000,0,0,0,0,,piece--0-0,Colmenar Viejo,0,-3.79352,40.6763,-3.78827,40.6708,-3.7909,40.6735,,
Colmenar Viejo--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122749000,0,0,0,0,,piece--0-1,Colmenar Viejo,0,-3.79352,40.6708,-3.78827,40.6653,-3.7909,40.668,,
Colmenar Viejo--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122764000,0,0,0,0,,piece--0-2,Colmenar Viejo,0,-3.79352,40.6653,-3.78827,40.6598,-3.7909,40.6625,,
Colmenar Viejo--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122779000,0,0,0,0,,piece--0-3,Colmenar Viejo,0,-3.79352,40.6598,-3.78827,40.6543,-3.7909,40.657,,
Colmenar Viejo--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122796000,0,0,0,0,,piece--0-4,Colmenar Viejo,0,-3.79352,40.6543,-3.78827,40.6488,-3.7909,40.6515,,
Colmenar Viejo--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122815000,0,0,0,0,,piece--0-5,Colmenar Viejo,0,-3.79352,40.6488,-3.78827,40.6432,-3.7909,40.646,,
Colmenar Viejo--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122838000,0,0,0,0,,piece--0-6,Colmenar Viejo,0,-3.79352,40.6432,-3.78827,40.6377,-3.7909,40.6405,,
Colmenar Viejo--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122856000,0,0,0,0,,piece--1-0,Colmenar Viejo,0,-3.78827,40.6763,-3.78302,40.6708,-3.78565,40.6735,,
Colmenar Viejo--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122880000,0,0,0,0,,piece--1-1,Colmenar Viejo,0,-3.78827,40.6708,-3.78302,40.6653,-3.78565,40.668,,
Colmenar Viejo--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122895000,0,0,0,0,,piece--1-2,Colmenar Viejo,0,-3.78827,40.6653,-3.78302,40.6598,-3.78565,40.6625,,
Colmenar Viejo--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122910000,0,0,0,0,,piece--1-3,Colmenar Viejo,0,-3.78827,40.6598,-3.78302,40.6543,-3.78565,40.657,,
Colmenar Viejo--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122922000,0,0,0,0,,piece--1-4,Colmenar Viejo,0,-3.78827,40.6543,-3.78302,40.6488,-3.78565,40.6515,,
Colmenar Viejo--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122938000,0,0,0,0,,piece--1-5,Colmenar Viejo,0,-3.78827,40.6488,-3.78302,40.6432,-3.78565,40.646,,
Colmenar Viejo--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122951000,0,0,0,0,,piece--1-6,Colmenar Viejo,0,-3.78827,40.6432,-3.78302,40.6377,-3.78565,40.6405,,
Colmenar Viejo--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122963000,0,0,0,0,,piece--2-0,Colmenar Viejo,0,-3.78302,40.6763,-3.77777,40.6708,-3.7804,40.6735,,
Colmenar Viejo--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122978000,0,0,0,0,,piece--2-1,Colmenar Viejo,0,-3.78302,40.6708,-3.77777,40.6653,-3.7804,40.668,,
Colmenar Viejo--piece--2-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544122997000,0,0,0,0,,piece--2-2,Colmenar Viejo,0,-3.78302,40.6653,-3.77777,40.6598,-3.7804,40.6625,,
Colmenar Viejo--piece--2-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123014000,0,0,2,1,,piece--2-3,Colmenar Viejo,0,-3.78302,40.6598,-3.77777,40.6543,-3.7804,40.657,,
Colmenar Viejo--piece--2-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123033000,0,0,0,3,,piece--2-4,Colmenar Viejo,0,-3.78302,40.6543,-3.77777,40.6488,-3.7804,40.6515,,
Colmenar Viejo--piece--2-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123050000,0,0,0,0,,piece--2-5,Colmenar Viejo,0,-3.78302,40.6488,-3.77777,40.6432,-3.7804,40.646,,
Colmenar Viejo--piece--2-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123064000,0,0,0,0,,piece--2-6,Colmenar Viejo,0,-3.78302,40.6432,-3.77777,40.6377,-3.7804,40.6405,,
Colmenar Viejo--piece--3-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123090000,0,0,0,4,,piece--3-0,Colmenar Viejo,0,-3.77777,40.6763,-3.77252,40.6708,-3.77515,40.6735,,
Colmenar Viejo--piece--3-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123122000,0,0,0,0,,piece--3-1,Colmenar Viejo,0,-3.77777,40.6708,-3.77252,40.6653,-3.77515,40.668,,
Colmenar Viejo--piece--3-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123150000,0,0,0,0,,piece--3-2,Colmenar Viejo,0,-3.77777,40.6653,-3.77252,40.6598,-3.77515,40.6625,,
Colmenar Viejo--piece--3-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123165000,0,0,0,0,,piece--3-3,Colmenar Viejo,0,-3.77777,40.6598,-3.77252,40.6543,-3.77515,40.657,,
Colmenar Viejo--piece--3-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123180000,0,0,0,0,,piece--3-4,Colmenar Viejo,0,-3.77777,40.6543,-3.77252,40.6488,-3.77515,40.6515,,
Colmenar Viejo--piece--3-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123193000,0,0,0,0,,piece--3-5,Colmenar Viejo,0,-3.77777,40.6488,-3.77252,40.6432,-3.77515,40.646,,
Colmenar Viejo--piece--3-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123213000,0,0,0,0,,piece--3-6,Colmenar Viejo,0,-3.77777,40.6432,-3.77252,40.6377,-3.77515,40.6405,,
