piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Colmenar Viejo--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177163000,0,0,0,0,,piece--0-0,Colmenar Viejo,1,-3.79352,40.6763,-3.78827,40.6708,-3.7909,40.6735,,
Colmenar Viejo--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177168000,0,0,0,0,,piece--0-1,Colmenar Viejo,1,-3.79352,40.6708,-3.78827,40.6653,-3.7909,40.668,,
Colmenar Viejo--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177176000,0,0,0,0,,piece--0-2,Colmenar Viejo,1,-3.79352,40.6653,-3.78827,40.6598,-3.7909,40.6625,,
Colmenar Viejo--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177182000,0,0,0,0,,piece--0-3,Colmenar Viejo,1,-3.79352,40.6598,-3.78827,40.6543,-3.7909,40.657,,
Colmenar Viejo--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177193000,2312.14,4,9.60227,2,,piece--0-4,Colmenar Viejo,1,-3.79352,40.6543,-3.78827,40.6488,-3.7909,40.6515,,
Colmenar Viejo--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177201000,2309.09,1,0,0,,piece--0-5,Colmenar Viejo,1,-3.79352,40.6488,-3.78827,40.6432,-3.7909,40.646,,
Colmenar Viejo--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177209000,0,0,0,0,,piece--0-6,Colmenar Viejo,1,-3.79352,40.6432,-3.78827,40.6377,-3.7909,40.6405,,
Colmenar Viejo--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177215000,1372.97,2,0,0,,piece--1-0,Colmenar Viejo,1,-3.78827,40.6763,-3.78302,40.6708,-3.78565,40.6735,,
Colmenar Viejo--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177223000,1854.84,1,0,0,,piece--1-1,Colmenar Viejo,1,-3.78827,40.6708,-3.78302,40.6653,-3.78565,40.668,,
Colmenar Viejo--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177234000,0,0,10.7143,1,,piece--1-2,Colmenar Viejo,1,-3.78827,40.6653,-3.78302,40.6598,-3.78565,40.6625,,
Colmenar Viejo--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177243000,0,0,0,0,,piece--1-3,Colmenar Viejo,1,-3.78827,40.6598,-3.78302,40.6543,-3.78565,40.657,,
Colmenar Viejo--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177251000,0,0,0,0,,piece--1-4,Colmenar Viejo,1,-3.78827,40.6543,-3.78302,40.6488,-3.78565,40.6515,,
Colmenar Viejo--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177259000,1664.81,9,0,0,,piece--1-5,Colmenar Viejo,1,-3.78827,40.6488,-3.78302,40.6432,-3.78565,40.646,,
Colmenar Viejo--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177265000,0,0,0,0,,piece--1-6,Colmenar Viejo,1,-3.78827,40.6432,-3.78302,40.6377,-3.78565,40.6405,,
Colmenar Viejo--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177273000,983.714,5,0,0,,piece--2-0,Colmenar Viejo,1,-3.78302,40.6763,-3.77777,40.6708,-3.7804,40.6735,,
Colmenar Viejo--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177282000,1529.59,25,0,0,,piece--2-1,Colmenar Viejo,1,-3.78302,40.6708,-3.77777,40.6653,-3.7804,40.668,,
Colmenar Viejo--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177288000,1469.16,3,0,0,,piece--2-2,Colmenar Viejo,1,-3.78302,40.6653,-3.77777,40.6598,-3.7804,40.6625,,
