piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Coslada--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123731000,0,0,0,4,,piece--0-0,Coslada,0,-3.57953,40.4469,-3.57423,40.4417,-3.57688,40.4443,,
Coslada--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123764000,0,0,0,0,,piece--0-1,Coslada,0,-3.57953,40.4417,-3.57423,40.4365,-3.57688,40.4391,,
Coslada--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123787000,0,0,0,0,,piece--0-2,Coslada,0,-3.57953,40.4365,-3.57423,40.4313,-3.57688,40.4339,,
Coslada--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123823000,0,0,0,0,,piece--0-3,Coslada,0,-3.57953,40.4313,-3.57423,40.426,-3.57688,40.4286,,
Coslada--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123843000,0,0,0,0,,piece--0-4,Coslada,0,-3.57953,40.426,-3.57423,40.4208,-3.57688,40.4234,,
Coslada--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123863000,0,0,0,0,,piece--0-5,Coslada,0,-3.57953,40.4208,-3.57423,40.4156,-3.57688,40.4182,,
Coslada--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123879000,0,0,0,0,,piece--0-6,Coslada,0,-3.57953,40.4156,-3.57423,40.4104,-3.57688,40.413,,
Coslada--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123896000,0,0,0,3,,piece--1-0,Coslada,0,-3.57423,40.4469,-3.56893,40.4417,-3.57158,40.4443,,
Coslada--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123916000,0,0,0,0,,piece--1-1,Coslada,0,-3.57423,40.4417,-3.56893,40.4365,-3.57158,40.4391,,
Coslada--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123930000,0,0,0,0,,piece--1-2,Coslada,0,-3.57423,40.4365,-3.56893,40.4313,-3.57158,40.4339,,
Coslada--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123954000,0,0,0,0,,piece--1-3,Coslada,0,-3.57423,40.4313,-3.56893,40.426,-3.57158,40.4286,,
Coslada--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123972000,0,0,0,0,,piece--1-4,Coslada,0,-3.57423,40.426,-3.56893,40.4208,-3.57158,40.4234,,
Coslada--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544123988000,0,0,2,2,,piece--1-5,Coslada,0,-3.57423,40.4208,-3.56893,40.4156,-3.57158,40.4182,,
Coslada--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544124012000,0,0,0,0,,piece--1-6,Coslada,0,-3.57423,40.4156,-3.56893,40.4104,-3.57158,40.413,,
Coslada--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544124037000,0,0,0,0,,piece--2-0,Coslada,0,-3.56893,40.4469,-3.56362,40.4417,-3.56628,40.4443,,
Coslada--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544124057000,0,0,0,0,,piece--2-1,Coslada,0,-3.56893,40.4417,-3.56362,40.4365,-3.56628,40.4391,,
