piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Coslada--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858813000,3134.34,30,11.3082,30,,piece--0-0,Coslada,1,-3.57953,40.4469,-3.57423,40.4417,-3.57688,40.4443
Coslada--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858822000,2865.27,2,12.0621,2,,piece--0-1,Coslada,1,-3.57953,40.4417,-3.57423,40.4365,-3.57688,40.4391
Coslada--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858828000,0,0,0,0,,piece--0-2,Coslada,1,-3.57953,40.4365,-3.57423,40.4313,-3.57688,40.4339
Coslada--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858833000,0,0,0,0,,piece--0-3,Coslada,1,-3.57953,40.4313,-3.57423,40.426,-3.57688,40.4286
Coslada--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858842000,0,0,0,0,,piece--0-4,Coslada,1,-3.57953,40.426,-3.57423,40.4208,-3.57688,40.4234
Coslada--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858848000,0,0,0,0,,piece--0-5,Coslada,1,-3.57953,40.4208,-3.57423,40.4156,-3.57688,40.4182
Coslada--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858853000,2524.75,1,0,0,,piece--0-6,Coslada,1,-3.57953,40.4156,-3.57423,40.4104,-3.57688,40.413
Coslada--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858862000,2696.96,8,8.63636,1,,piece--1-0,Coslada,1,-3.57423,40.4469,-3.56893,40.4417,-3.57158,40.4443
Coslada--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858870000,0,0,0,0,,piece--1-1,Coslada,1,-3.57423,40.4417,-3.56893,40.4365,-3.57158,40.4391
Coslada--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858879000,0,0,0,0,,piece--1-2,Coslada,1,-3.57423,40.4365,-3.56893,40.4313,-3.57158,40.4339
Coslada--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858887000,2075,1,0,0,,piece--1-3,Coslada,1,-3.57423,40.4313,-3.56893,40.426,-3.57158,40.4286
Coslada--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858900000,2210.43,16,10,1,,piece--1-4,Coslada,1,-3.57423,40.426,-3.56893,40.4208,-3.57158,40.4234
Coslada--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858906000,2679.61,11,10.3553,4,,piece--1-5,Coslada,1,-3.57423,40.4208,-3.56893,40.4156,-3.57158,40.4182
Coslada--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858912000,0,0,0,0,,piece--1-6,Coslada,1,-3.57423,40.4156,-3.56893,40.4104,-3.57158,40.413
Coslada--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858918000,1788.49,5,7.24018,3,,piece--2-0,Coslada,1,-3.56893,40.4469,-3.56362,40.4417,-3.56628,40.4443
Coslada--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858923000,2080.42,1,0,0,,piece--2-1,Coslada,1,-3.56893,40.4417,-3.56362,40.4365,-3.56628,40.4391
Coslada--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858933000,0,0,0,0,,piece--2-2,Coslada,1,-3.56893,40.4365,-3.56362,40.4313,-3.56628,40.4339
Coslada--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858941000,1760.92,5,0,0,,piece--2-3,Coslada,1,-3.56893,40.4313,-3.56362,40.426,-3.56628,40.4286
Coslada--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858951000,1968.34,27,10.1702,3,,piece--2-4,Coslada,1,-3.56893,40.426,-3.56362,40.4208,-3.56628,40.4234
