piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Coslada--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177622000,3153.29,30,11.0654,30,,piece--0-0,Coslada,1,-3.57953,40.4469,-3.57423,40.4417,-3.57688,40.4443,,
Coslada--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177631000,2985.49,5,11.1422,3,,piece--0-1,Coslada,1,-3.57953,40.4417,-3.57423,40.4365,-3.57688,40.4391,,
Coslada--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177638000,0,0,0,0,,piece--0-2,Coslada,1,-3.57953,40.4365,-3.57423,40.4313,-3.57688,40.4339,,
Coslada--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177647000,0,0,0,0,,piece--0-3,Coslada,1,-3.57953,40.4313,-3.57423,40.426,-3.57688,40.4286,,
Coslada--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177658000,0,0,0,0,,piece--0-4,Coslada,1,-3.57953,40.426,-3.57423,40.4208,-3.57688,40.4234,,
Coslada--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177663000,2400,1,0,0,,piece--0-5,Coslada,1,-3.57953,40.4208,-3.57423,40.4156,-3.57688,40.4182,,
Coslada--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177669000,2524.75,1,0,0,,piece--0-6,Coslada,1,-3.57953,40.4156,-3.57423,40.4104,-3.57688,40.413,,
Coslada--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177675000,2861.34,8,8.63636,1,,piece--1-0,Coslada,1,-3.57423,40.4469,-3.56893,40.4417,-3.57158,40.4443,,
Coslada--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177680000,2583.33,1,0,0,,piece--1-1,Coslada,1,-3.57423,40.4417,-3.56893,40.4365,-3.57158,40.4391,,
Coslada--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177688000,0,0,0,0,,piece--1-2,Coslada,1,-3.57423,40.4365,-3.56893,40.4313,-3.57158,40.4339,,
Coslada--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177693000,0,0,0,0,,piece--1-3,Coslada,1,-3.57423,40.4313,-3.56893,40.426,-3.57158,40.4286,,
Coslada--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177701000,2200.75,17,10,1,,piece--1-4,Coslada,1,-3.57423,40.426,-3.56893,40.4208,-3.57158,40.4234,,
Coslada--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177706000,2691.57,10,0,0,,piece--1-5,Coslada,1,-3.57423,40.4208,-3.56893,40.4156,-3.57158,40.4182,,
Coslada--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177713000,0,0,0,0,,piece--1-6,Coslada,1,-3.57423,40.4156,-3.56893,40.4104,-3.57158,40.413,,
Coslada--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177721000,1788.49,5,7.57902,2,,piece--2-0,Coslada,1,-3.56893,40.4469,-3.56362,40.4417,-3.56628,40.4443,,
Coslada--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177727000,2080.42,1,0,0,,piece--2-1,Coslada,1,-3.56893,40.4417,-3.56362,40.4365,-3.56628,40.4391,,
Coslada--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177732000,0,0,0,0,,piece--2-2,Coslada,1,-3.56893,40.4365,-3.56362,40.4313,-3.56628,40.4339,,
Coslada--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177737000,1760.92,5,0,0,,piece--2-3,Coslada,1,-3.56893,40.4313,-3.56362,40.426,-3.56628,40.4286,,
Coslada--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177744000,1924.88,28,9.55357,2,,piece--2-4,Coslada,1,-3.56893,40.426,-3.56362,40.4208,-3.56628,40.4234,,
Coslada--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177750000,2701.01,7,0,0,,piece--2-5,Coslada,1,-3.56893,40.4208,-3.56362,40.4156,-3.56628,40.4182,,
Coslada--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177758000,0,0,0,0,,piece--2-6,Coslada,1,-3.56893,40.4156,-3.56362,40.4104,-3.56628,40.413,,
Coslada--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177767000,0,0,0,0,,piece--3-0,Coslada,1,-3.56362,40.4469,-3.55832,40.4417,-3.56097,40.4443,,
Coslada--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544177773000,0,0,0,0,,piece--3-1,Coslada,1,-3.56362,40.4417,-3.55832,40.4365,-3.56097,40.4391,,
