piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Fuenlabrada--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125123000,0,0,0,0,,piece--0-0,Fuenlabrada,0,-3.84404,40.321,-3.8387,40.3157,-3.84137,40.3183,,
Fuenlabrada--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125154000,0,0,0,0,,piece--0-1,Fuenlabrada,0,-3.84404,40.3157,-3.8387,40.3104,-3.84137,40.3131,,
Fuenlabrada--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125181000,0,0,0,0,,piece--0-2,Fuenlabrada,0,-3.84404,40.3104,-3.8387,40.3052,-3.84137,40.3078,,
Fuenlabrada--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125202000,0,0,0,0,,piece--0-3,Fuenlabrada,0,-3.84404,40.3052,-3.8387,40.2999,-3.84137,40.3026,,
Fuenlabrada--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125221000,0,0,0,0,,piece--0-4,Fuenlabrada,0,-3.84404,40.2999,-3.8387,40.2947,-3.84137,40.2973,,
Fuenlabrada--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125246000,0,0,1,4,,piece--0-5,Fuenlabrada,0,-3.84404,40.2947,-3.8387,40.2894,-3.84137,40.292,,
Fuenlabrada--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125274000,0,0,0,0,,piece--0-6,Fuenlabrada,0,-3.84404,40.2894,-3.8387,40.2842,-3.84137,40.2868,,
Fuenlabrada--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125292000,0,0,0,0,,piece--0-7,Fuenlabrada,0,-3.84404,40.2842,-3.8387,40.2789,-3.84137,40.2815,,
Fuenlabrada--piece--0-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125309000,0,0,0,0,,piece--0-8,Fuenlabrada,0,-3.84404,40.2789,-3.8387,40.2736,-3.84137,40.2763,,
Fuenlabrada--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125324000,0,0,0,0,,piece--1-0,Fuenlabrada,0,-3.8387,40.321,-3.83337,40.3157,-3.83604,40.3183,,
Fuenlabrada--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125340000,0,0,0,0,,piece--1-1,Fuenlabrada,0,-3.8387,40.3157,-3.83337,40.3104,-3.83604,40.3131,,
Fuenlabrada--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125360000,0,0,0,0,,piece--1-2,Fuenlabrada,0,-3.8387,40.3104,-3.83337,40.3052,-3.83604,40.3078,,
Fuenlabrada--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125375000,0,0,0,0,,piece--1-3,Fuenlabrada,0,-3.8387,40.3052,-3.83337,40.2999,-3.83604,40.3026,,
Fuenlabrada--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125391000,0,0,1,2,,piece--1-4,Fuenlabrada,0,-3.8387,40.2999,-3.83337,40.2947,-3.83604,40.2973,,
Fuenlabrada--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125411000,0,0,0,2,,piece--1-5,Fuenlabrada,0,-3.8387,40.2947,-3.83337,40.2894,-3.83604,40.292,,
Fuenlabrada--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125431000,0,0,0,0,,piece--1-6,Fuenlabrada,0,-3.8387,40.2894,-3.83337,40.2842,-3.83604,40.2868,,
Fuenlabrada--piece--1-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125450000,0,0,0,0,,piece--1-7,Fuenlabrada,0,-3.8387,40.2842,-3.83337,40.2789,-3.83604,40.2815,,
Fuenlabrada--piece--1-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125484000,0,0,0,0,,piece--1-8,Fuenlabrada,0,-3.8387,40.2789,-3.83337,40.2736,-3.83604,40.2763,,
Fuenlabrada--piece--10-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125501000,0,0,0,0,,piece--10-0,Fuenlabrada,0,-3.79071,40.321,-3.78537,40.3157,-3.78804,40.3183,,
Fuenlabrada--piece--10-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125515000,0,0,0,0,,piece--10-1,Fuenlabrada,0,-3.79071,40.3157,-3.78537,40.3104,-3.78804,40.3131,,
Fuenlabrada--piece--10-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125540000,0,0,0,0,,piece--10-2,Fuenlabrada,0,-3.79071,40.3104,-3.78537,40.3052,-3.78804,40.3078,,
Fuenlabrada--piece--10-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125559000,0,0,0,0,,piece--10-3,Fuenlabrada,0,-3.79071,40.3052,-3.78537,40.2999,-3.78804,40.3026,,
Fuenlabrada--piece--10-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125579000,0,0,0,0,,piece--10-4,Fuenlabrada,0,-3.79071,40.2999,-3.78537,40.2947,-3.78804,40.2973,,
Fuenlabrada--piece--10-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125600000,0,0,2,1,,piece--10-5,Fuenlabrada,0,-3.79071,40.2947,-3.78537,40.2894,-3.78804,40.292,,
Fuenlabrada--piece--10-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544125619000,0,0,0,1,,piece--10-6,Fuenlabrada,0,-3.79071,40.2894,-3.78537,40.2842,-3.78804,40.2868,,
