piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Fuenlabrada--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859495000,0,0,0,0,,piece--0-0,Fuenlabrada,1,-3.84404,40.321,-3.8387,40.3157,-3.84137,40.3183
Fuenlabrada--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859505000,1670.21,1,0,0,,piece--0-1,Fuenlabrada,1,-3.84404,40.3157,-3.8387,40.3104,-3.84137,40.3131
Fuenlabrada--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859518000,0,0,0,0,,piece--0-2,Fuenlabrada,1,-3.84404,40.3104,-3.8387,40.3052,-3.84137,40.3078
Fuenlabrada--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859527000,1747.77,5,0,0,,piece--0-3,Fuenlabrada,1,-3.84404,40.3052,-3.8387,40.2999,-3.84137,40.3026
Fuenlabrada--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859533000,1931.02,3,6.94444,1,,piece--0-4,Fuenlabrada,1,-3.84404,40.2999,-3.8387,40.2947,-3.84137,40.2973
Fuenlabrada--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859538000,1905.9,9,7.56436,4,,piece--0-5,Fuenlabrada,1,-3.84404,40.2947,-3.8387,40.2894,-3.84137,40.292
Fuenlabrada--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859547000,0,0,0,0,,piece--0-6,Fuenlabrada,1,-3.84404,40.2894,-3.8387,40.2842,-3.84137,40.2868
Fuenlabrada--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859554000,0,0,0,0,,piece--0-7,Fuenlabrada,1,-3.84404,40.2842,-3.8387,40.2789,-3.84137,40.2815
Fuenlabrada--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859563000,0,0,0,0,,piece--0-8,Fuenlabrada,1,-3.84404,40.2789,-3.8387,40.2736,-3.84137,40.2763
Fuenlabrada--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859571000,0,0,0,0,,piece--1-0,Fuenlabrada,1,-3.8387,40.321,-3.83337,40.3157,-3.83604,40.3183
Fuenlabrada--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859577000,1592.07,14,0,0,,piece--1-1,Fuenlabrada,1,-3.8387,40.3157,-3.83337,40.3104,-3.83604,40.3131
Fuenlabrada--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859586000,0,0,0,0,,piece--1-2,Fuenlabrada,1,-3.8387,40.3104,-3.83337,40.3052,-3.83604,40.3078
Fuenlabrada--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859593000,1484.79,6,0,0,,piece--1-3,Fuenlabrada,1,-3.8387,40.3052,-3.83337,40.2999,-3.83604,40.3026
Fuenlabrada--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859599000,1665.48,9,6.875,2,,piece--1-4,Fuenlabrada,1,-3.8387,40.2999,-3.83337,40.2947,-3.83604,40.2973
Fuenlabrada--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859613000,1697.71,11,7.97182,8,,piece--1-5,Fuenlabrada,1,-3.8387,40.2947,-3.83337,40.2894,-3.83604,40.292
Fuenlabrada--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859624000,0,0,0,0,,piece--1-6,Fuenlabrada,1,-3.8387,40.2894,-3.83337,40.2842,-3.83604,40.2868
Fuenlabrada--piece--1-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859634000,0,0,0,0,,piece--1-7,Fuenlabrada,1,-3.8387,40.2842,-3.83337,40.2789,-3.83604,40.2815
Fuenlabrada--piece--1-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859640000,0,0,0,0,,piece--1-8,Fuenlabrada,1,-3.8387,40.2789,-3.83337,40.2736,-3.83604,40.2763
Fuenlabrada--piece--10-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859646000,1661.09,7,0,0,,piece--10-0,Fuenlabrada,1,-3.79071,40.321,-3.78537,40.3157,-3.78804,40.3183
Fuenlabrada--piece--10-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859654000,2049.43,6,8.94737,1,,piece--10-1,Fuenlabrada,1,-3.79071,40.3157,-3.78537,40.3104,-3.78804,40.3131
Fuenlabrada--piece--10-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859665000,1700.02,3,0,0,,piece--10-2,Fuenlabrada,1,-3.79071,40.3104,-3.78537,40.3052,-3.78804,40.3078
Fuenlabrada--piece--10-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543859670000,0,0,0,0,,piece--10-3,Fuenlabrada,1,-3.79071,40.3052,-3.78537,40.2999,-3.78804,40.3026
