piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Fuenlabrada--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178150000,0,0,0,0,,piece--0-0,Fuenlabrada,1,-3.84404,40.321,-3.8387,40.3157,-3.84137,40.3183,,
Fuenlabrada--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178158000,1670.21,1,0,0,,piece--0-1,Fuenlabrada,1,-3.84404,40.3157,-3.8387,40.3104,-3.84137,40.3131,,
Fuenlabrada--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178163000,0,0,0,0,,piece--0-2,Fuenlabrada,1,-3.84404,40.3104,-3.8387,40.3052,-3.84137,40.3078,,
Fuenlabrada--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178169000,1678.9,6,0,0,,piece--0-3,Fuenlabrada,1,-3.84404,40.3052,-3.8387,40.2999,-3.84137,40.3026,,
Fuenlabrada--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178177000,2100.99,5,0,0,,piece--0-4,Fuenlabrada,1,-3.84404,40.2999,-3.8387,40.2947,-3.84137,40.2973,,
Fuenlabrada--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178186000,1893.79,11,7.69905,7,,piece--0-5,Fuenlabrada,1,-3.84404,40.2947,-3.8387,40.2894,-3.84137,40.292,,
Fuenlabrada--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178194000,0,0,0,0,,piece--0-6,Fuenlabrada,1,-3.84404,40.2894,-3.8387,40.2842,-3.84137,40.2868,,
Fuenlabrada--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178202000,0,0,0,0,,piece--0-7,Fuenlabrada,1,-3.84404,40.2842,-3.8387,40.2789,-3.84137,40.2815,,
Fuenlabrada--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178208000,0,0,0,0,,piece--0-8,Fuenlabrada,1,-3.84404,40.2789,-3.8387,40.2736,-3.84137,40.2763,,
Fuenlabrada--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178214000,0,0,0,0,,piece--1-0,Fuenlabrada,1,-3.8387,40.321,-3.83337,40.3157,-3.83604,40.3183,,
