piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Galapagar--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127306000,0,0,0,0,,piece--0-0,Galapagar,0,-4.01612,40.5881,-4.01085,40.583,-4.01348,40.5855,,
Galapagar--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127328000,0,0,0,0,,piece--0-1,Galapagar,0,-4.01612,40.583,-4.01085,40.5778,-4.01348,40.5804,,
Galapagar--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127343000,0,0,0,0,,piece--0-2,Galapagar,0,-4.01612,40.5778,-4.01085,40.5726,-4.01348,40.5752,,
Galapagar--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127363000,0,0,0,0,,piece--0-3,Galapagar,0,-4.01612,40.5726,-4.01085,40.5674,-4.01348,40.57,,
Galapagar--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127377000,0,0,0,0,,piece--0-4,Galapagar,0,-4.01612,40.5674,-4.01085,40.5623,-4.01348,40.5649,,
Galapagar--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127391000,0,0,0,0,,piece--1-0,Galapagar,0,-4.01085,40.5881,-4.00559,40.583,-4.00822,40.5855,,
Galapagar--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127409000,0,0,6,2,,piece--1-1,Galapagar,0,-4.01085,40.583,-4.00559,40.5778,-4.00822,40.5804,,
Galapagar--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127430000,0,0,0,0,,piece--1-2,Galapagar,0,-4.01085,40.5778,-4.00559,40.5726,-4.00822,40.5752,,
Galapagar--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127446000,0,0,0,0,,piece--1-3,Galapagar,0,-4.01085,40.5726,-4.00559,40.5674,-4.00822,40.57,,
Galapagar--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127475000,0,0,0,1,,piece--1-4,Galapagar,0,-4.01085,40.5674,-4.00559,40.5623,-4.00822,40.5649,,
Galapagar--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127488000,0,0,0,0,,piece--2-0,Galapagar,0,-4.00559,40.5881,-4.00033,40.583,-4.00296,40.5855,,
Galapagar--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127517000,0,0,0,0,,piece--2-1,Galapagar,0,-4.00559,40.583,-4.00033,40.5778,-4.00296,40.5804,,
