piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Galapagar--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860482000,1051.25,3,0,0,,piece--0-0,Galapagar,1,-4.01612,40.5881,-4.01085,40.583,-4.01348,40.5855
Galapagar--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860488000,1765.07,3,0,0,,piece--0-1,Galapagar,1,-4.01612,40.583,-4.01085,40.5778,-4.01348,40.5804
Galapagar--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860500000,1531.96,7,0,0,,piece--0-2,Galapagar,1,-4.01612,40.5778,-4.01085,40.5726,-4.01348,40.5752
Galapagar--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860508000,0,0,0,0,,piece--0-3,Galapagar,1,-4.01612,40.5726,-4.01085,40.5674,-4.01348,40.57
Galapagar--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860513000,1.51777,1,0,0,,piece--0-4,Galapagar,1,-4.01612,40.5674,-4.01085,40.5623,-4.01348,40.5649
Galapagar--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860521000,0,0,9,1,,piece--1-0,Galapagar,1,-4.01085,40.5881,-4.00559,40.583,-4.00822,40.5855
Galapagar--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860530000,1734.64,18,0,0,,piece--1-1,Galapagar,1,-4.01085,40.583,-4.00559,40.5778,-4.00822,40.5804
Galapagar--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860541000,1565.81,30,9.54545,1,,piece--1-2,Galapagar,1,-4.01085,40.5778,-4.00559,40.5726,-4.00822,40.5752
Galapagar--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860546000,1571.67,4,0,0,,piece--1-3,Galapagar,1,-4.01085,40.5726,-4.00559,40.5674,-4.00822,40.57
Galapagar--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860552000,1543.33,3,0,0,,piece--1-4,Galapagar,1,-4.01085,40.5674,-4.00559,40.5623,-4.00822,40.5649
Galapagar--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860560000,0,0,0,0,,piece--2-0,Galapagar,1,-4.00559,40.5881,-4.00033,40.583,-4.00296,40.5855
Galapagar--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860567000,1611.02,30,10.5769,1,,piece--2-1,Galapagar,1,-4.00559,40.583,-4.00033,40.5778,-4.00296,40.5804
Galapagar--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860577000,1424.93,28,8.68327,10,,piece--2-2,Galapagar,1,-4.00559,40.5778,-4.00033,40.5726,-4.00296,40.5752
Galapagar--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860590000,1490.13,3,4.5,1,,piece--2-3,Galapagar,1,-4.00559,40.5726,-4.00033,40.5674,-4.00296,40.57
Galapagar--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860600000,1061.31,4,0,0,,piece--2-4,Galapagar,1,-4.00559,40.5674,-4.00033,40.5623,-4.00296,40.5649
Galapagar--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860615000,1333.33,1,0,0,,piece--3-0,Galapagar,1,-4.00033,40.5881,-3.99507,40.583,-3.9977,40.5855
Galapagar--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860623000,2171.43,1,0,0,,piece--3-1,Galapagar,1,-4.00033,40.583,-3.99507,40.5778,-3.9977,40.5804
Galapagar--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860632000,2031.24,9,24.8594,3,,piece--3-2,Galapagar,1,-4.00033,40.5778,-3.99507,40.5726,-3.9977,40.5752
Galapagar--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860638000,1663.27,5,0,0,,piece--3-3,Galapagar,1,-4.00033,40.5726,-3.99507,40.5674,-3.9977,40.57
Galapagar--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860643000,1730.47,4,0,0,,piece--3-4,Galapagar,1,-4.00033,40.5674,-3.99507,40.5623,-3.9977,40.5649
