piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Galapagar--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178978000,1051.25,3,0,0,,piece--0-0,Galapagar,1,-4.01612,40.5881,-4.01085,40.583,-4.01348,40.5855,,
Galapagar--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178984000,1617.18,5,0,0,,piece--0-1,Galapagar,1,-4.01612,40.583,-4.01085,40.5778,-4.01348,40.5804,,
Galapagar--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544178992000,1554.73,6,0,0,,piece--0-2,Galapagar,1,-4.01612,40.5778,-4.01085,40.5726,-4.01348,40.5752,,
Galapagar--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179000000,0,0,0,0,,piece--0-3,Galapagar,1,-4.01612,40.5726,-4.01085,40.5674,-4.01348,40.57,,
Galapagar--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179015000,1.51777,1,0,0,,piece--0-4,Galapagar,1,-4.01612,40.5674,-4.01085,40.5623,-4.01348,40.5649,,
Galapagar--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179025000,0,0,9,1,,piece--1-0,Galapagar,1,-4.01085,40.5881,-4.00559,40.583,-4.00822,40.5855,,
Galapagar--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179038000,1729.45,16,0,0,,piece--1-1,Galapagar,1,-4.01085,40.583,-4.00559,40.5778,-4.00822,40.5804,,
Galapagar--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179050000,1555.64,30,9.09091,1,,piece--1-2,Galapagar,1,-4.01085,40.5778,-4.00559,40.5726,-4.00822,40.5752,,
Galapagar--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179056000,1571.67,4,0,0,,piece--1-3,Galapagar,1,-4.01085,40.5726,-4.00559,40.5674,-4.00822,40.57,,
Galapagar--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179068000,1543.33,3,0,0,,piece--1-4,Galapagar,1,-4.01085,40.5674,-4.00559,40.5623,-4.00822,40.5649,,
