piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Getafe--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127859000,0,0,0,0,,piece--0-0,Getafe,0,-3.76126,40.33,-3.75589,40.325,-3.75857,40.3275,,
Getafe--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127882000,0,0,0,0,,piece--0-1,Getafe,0,-3.76126,40.325,-3.75589,40.32,-3.75857,40.3225,,
Getafe--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127905000,0,0,0,0,,piece--0-2,Getafe,0,-3.76126,40.32,-3.75589,40.315,-3.75857,40.3175,,
Getafe--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127925000,0,0,0,0,,piece--0-3,Getafe,0,-3.76126,40.315,-3.75589,40.31,-3.75857,40.3125,,
Getafe--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127944000,0,0,0,0,,piece--0-4,Getafe,0,-3.76126,40.31,-3.75589,40.305,-3.75857,40.3075,,
Getafe--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127968000,0,0,0,0,,piece--0-5,Getafe,0,-3.76126,40.305,-3.75589,40.2999,-3.75857,40.3025,,
Getafe--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544127986000,0,0,0,0,,piece--0-6,Getafe,0,-3.76126,40.2999,-3.75589,40.2949,-3.75857,40.2974,,
Getafe--piece--0-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128008000,0,0,0,0,,piece--0-7,Getafe,0,-3.76126,40.2949,-3.75589,40.2899,-3.75857,40.2924,,
Getafe--piece--0-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128030000,0,0,0,0,,piece--0-8,Getafe,0,-3.76126,40.2899,-3.75589,40.2849,-3.75857,40.2874,,
Getafe--piece--0-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128053000,0,0,0,0,,piece--0-9,Getafe,0,-3.76126,40.2849,-3.75589,40.2799,-3.75857,40.2824,,
Getafe--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128068000,0,0,1,1,,piece--1-0,Getafe,0,-3.75589,40.33,-3.75052,40.325,-3.7532,40.3275,,
Getafe--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128087000,0,0,1,1,,piece--1-1,Getafe,0,-3.75589,40.325,-3.75052,40.32,-3.7532,40.3225,,
Getafe--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128102000,0,0,0,0,,piece--1-2,Getafe,0,-3.75589,40.32,-3.75052,40.315,-3.7532,40.3175,,
Getafe--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128124000,0,0,0,0,,piece--1-3,Getafe,0,-3.75589,40.315,-3.75052,40.31,-3.7532,40.3125,,
Getafe--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128144000,0,0,0,0,,piece--1-4,Getafe,0,-3.75589,40.31,-3.75052,40.305,-3.7532,40.3075,,
Getafe--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128160000,0,0,0,1,,piece--1-5,Getafe,0,-3.75589,40.305,-3.75052,40.2999,-3.7532,40.3025,,
Getafe--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128188000,0,0,0,0,,piece--1-6,Getafe,0,-3.75589,40.2999,-3.75052,40.2949,-3.7532,40.2974,,
Getafe--piece--1-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128203000,0,0,0,0,,piece--1-7,Getafe,0,-3.75589,40.2949,-3.75052,40.2899,-3.7532,40.2924,,
Getafe--piece--1-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128227000,0,0,0,1,,piece--1-8,Getafe,0,-3.75589,40.2899,-3.75052,40.2849,-3.7532,40.2874,,
Getafe--piece--1-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128253000,0,0,0,0,,piece--1-9,Getafe,0,-3.75589,40.2849,-3.75052,40.2799,-3.7532,40.2824,,
Getafe--piece--2-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128278000,0,0,0,0,,piece--2-0,Getafe,0,-3.75052,40.33,-3.74514,40.325,-3.74783,40.3275,,
Getafe--piece--2-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128299000,0,0,0,0,,piece--2-1,Getafe,0,-3.75052,40.325,-3.74514,40.32,-3.74783,40.3225,,
Getafe--piece--2-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128320000,0,0,0,0,,piece--2-2,Getafe,0,-3.75052,40.32,-3.74514,40.315,-3.74783,40.3175,,
Getafe--piece--2-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128338000,0,0,0,0,,piece--2-3,Getafe,0,-3.75052,40.315,-3.74514,40.31,-3.74783,40.3125,,
Getafe--piece--2-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128357000,0,0,0,0,,piece--2-4,Getafe,0,-3.75052,40.31,-3.74514,40.305,-3.74783,40.3075,,
Getafe--piece--2-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128378000,0,0,0,0,,piece--2-5,Getafe,0,-3.75052,40.305,-3.74514,40.2999,-3.74783,40.3025,,
Getafe--piece--2-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128395000,0,0,0,0,,piece--2-6,Getafe,0,-3.75052,40.2999,-3.74514,40.2949,-3.74783,40.2974,,
Getafe--piece--2-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128417000,0,0,0,0,,piece--2-7,Getafe,0,-3.75052,40.2949,-3.74514,40.2899,-3.74783,40.2924,,
Getafe--piece--2-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128434000,0,0,0,0,,piece--2-8,Getafe,0,-3.75052,40.2899,-3.74514,40.2849,-3.74783,40.2874,,
Getafe--piece--2-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128462000,0,0,0,0,,piece--2-9,Getafe,0,-3.75052,40.2849,-3.74514,40.2799,-3.74783,40.2824,,
Getafe--piece--3-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128478000,0,0,0,0,,piece--3-0,Getafe,0,-3.74514,40.33,-3.73977,40.325,-3.74246,40.3275,,
Getafe--piece--3-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128501000,0,0,0,2,,piece--3-1,Getafe,0,-3.74514,40.325,-3.73977,40.32,-3.74246,40.3225,,
Getafe--piece--3-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128523000,0,0,0,0,,piece--3-2,Getafe,0,-3.74514,40.32,-3.73977,40.315,-3.74246,40.3175,,
Getafe--piece--3-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128542000,0,0,0,0,,piece--3-3,Getafe,0,-3.74514,40.315,-3.73977,40.31,-3.74246,40.3125,,
Getafe--piece--3-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128566000,0,0,0,0,,piece--3-4,Getafe,0,-3.74514,40.31,-3.73977,40.305,-3.74246,40.3075,,
Getafe--piece--3-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128586000,0,0,0,0,,piece--3-5,Getafe,0,-3.74514,40.305,-3.73977,40.2999,-3.74246,40.3025,,
Getafe--piece--3-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128608000,0,0,0,0,,piece--3-6,Getafe,0,-3.74514,40.2999,-3.73977,40.2949,-3.74246,40.2974,,
Getafe--piece--3-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128630000,0,0,0,0,,piece--3-7,Getafe,0,-3.74514,40.2949,-3.73977,40.2899,-3.74246,40.2924,,
Getafe--piece--3-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128654000,0,0,0,0,,piece--3-8,Getafe,0,-3.74514,40.2899,-3.73977,40.2849,-3.74246,40.2874,,
Getafe--piece--3-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128671000,0,0,0,0,,piece--3-9,Getafe,0,-3.74514,40.2849,-3.73977,40.2799,-3.74246,40.2824,,
Getafe--piece--4-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128688000,0,0,0,0,,piece--4-0,Getafe,0,-3.73977,40.33,-3.7344,40.325,-3.73709,40.3275,,
Getafe--piece--4-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128711000,0,0,0,0,,piece--4-1,Getafe,0,-3.73977,40.325,-3.7344,40.32,-3.73709,40.3225,,
Getafe--piece--4-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128731000,0,0,0,1,,piece--4-2,Getafe,0,-3.73977,40.32,-3.7344,40.315,-3.73709,40.3175,,
Getafe--piece--4-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128744000,0,0,0,0,,piece--4-3,Getafe,0,-3.73977,40.315,-3.7344,40.31,-3.73709,40.3125,,
Getafe--piece--4-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128763000,0,0,2,8,,piece--4-4,Getafe,0,-3.73977,40.31,-3.7344,40.305,-3.73709,40.3075,,
Getafe--piece--4-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128784000,0,0,1,1,,piece--4-5,Getafe,0,-3.73977,40.305,-3.7344,40.2999,-3.73709,40.3025,,
Getafe--piece--4-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128804000,0,0,0,0,,piece--4-6,Getafe,0,-3.73977,40.2999,-3.7344,40.2949,-3.73709,40.2974,,
Getafe--piece--4-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128821000,0,0,0,0,,piece--4-7,Getafe,0,-3.73977,40.2949,-3.7344,40.2899,-3.73709,40.2924,,
Getafe--piece--4-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128835000,0,0,0,0,,piece--4-8,Getafe,0,-3.73977,40.2899,-3.7344,40.2849,-3.73709,40.2874,,
Getafe--piece--4-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128847000,0,0,0,0,,piece--4-9,Getafe,0,-3.73977,40.2849,-3.7344,40.2799,-3.73709,40.2824,,
Getafe--piece--5-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128866000,0,0,0,0,,piece--5-0,Getafe,0,-3.7344,40.33,-3.72903,40.325,-3.73172,40.3275,,
Getafe--piece--5-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128886000,0,0,0,0,,piece--5-1,Getafe,0,-3.7344,40.325,-3.72903,40.32,-3.73172,40.3225,,
Getafe--piece--5-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128900000,0,0,0,2,,piece--5-2,Getafe,0,-3.7344,40.32,-3.72903,40.315,-3.73172,40.3175,,
Getafe--piece--5-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128914000,0,0,0,1,,piece--5-3,Getafe,0,-3.7344,40.315,-3.72903,40.31,-3.73172,40.3125,,
Getafe--piece--5-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128935000,0,0,2,1,,piece--5-4,Getafe,0,-3.7344,40.31,-3.72903,40.305,-3.73172,40.3075,,
Getafe--piece--5-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128951000,0,0,1,5,,piece--5-5,Getafe,0,-3.7344,40.305,-3.72903,40.2999,-3.73172,40.3025,,
Getafe--piece--5-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128969000,0,0,0,0,,piece--5-6,Getafe,0,-3.7344,40.2999,-3.72903,40.2949,-3.73172,40.2974,,
Getafe--piece--5-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544128990000,0,0,0,0,,piece--5-7,Getafe,0,-3.7344,40.2949,-3.72903,40.2899,-3.73172,40.2924,,
Getafe--piece--5-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129016000,0,0,0,0,,piece--5-8,Getafe,0,-3.7344,40.2899,-3.72903,40.2849,-3.73172,40.2874,,
Getafe--piece--5-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129031000,0,0,0,0,,piece--5-9,Getafe,0,-3.7344,40.2849,-3.72903,40.2799,-3.73172,40.2824,,
Getafe--piece--6-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129049000,0,0,0,0,,piece--6-0,Getafe,0,-3.72903,40.33,-3.72366,40.325,-3.72634,40.3275,,
Getafe--piece--6-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129066000,0,0,0,0,,piece--6-1,Getafe,0,-3.72903,40.325,-3.72366,40.32,-3.72634,40.3225,,
Getafe--piece--6-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129083000,0,0,2,3,,piece--6-2,Getafe,0,-3.72903,40.32,-3.72366,40.315,-3.72634,40.3175,,
Getafe--piece--6-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129102000,0,0,0,9,,piece--6-3,Getafe,0,-3.72903,40.315,-3.72366,40.31,-3.72634,40.3125,,
Getafe--piece--6-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129124000,0,0,2,6,,piece--6-4,Getafe,0,-3.72903,40.31,-3.72366,40.305,-3.72634,40.3075,,
Getafe--piece--6-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129146000,0,0,2,1,,piece--6-5,Getafe,0,-3.72903,40.305,-3.72366,40.2999,-3.72634,40.3025,,
Getafe--piece--6-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129168000,0,0,0,0,,piece--6-6,Getafe,0,-3.72903,40.2999,-3.72366,40.2949,-3.72634,40.2974,,
Getafe--piece--6-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129186000,0,0,0,0,,piece--6-7,Getafe,0,-3.72903,40.2949,-3.72366,40.2899,-3.72634,40.2924,,
Getafe--piece--6-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129201000,0,0,0,0,,piece--6-8,Getafe,0,-3.72903,40.2899,-3.72366,40.2849,-3.72634,40.2874,,
Getafe--piece--6-9--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129222000,0,0,0,0,,piece--6-9,Getafe,0,-3.72903,40.2849,-3.72366,40.2799,-3.72634,40.2824,,
Getafe--piece--7-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129241000,0,0,0,0,,piece--7-0,Getafe,0,-3.72366,40.33,-3.71829,40.325,-3.72097,40.3275,,
Getafe--piece--7-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129257000,0,0,0,3,,piece--7-1,Getafe,0,-3.72366,40.325,-3.71829,40.32,-3.72097,40.3225,,
Getafe--piece--7-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129277000,0,0,0,4,,piece--7-2,Getafe,0,-3.72366,40.32,-3.71829,40.315,-3.72097,40.3175,,
Getafe--piece--7-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129310000,0,0,1,6,,piece--7-3,Getafe,0,-3.72366,40.315,-3.71829,40.31,-3.72097,40.3125,,
Getafe--piece--7-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129324000,0,0,0,1,,piece--7-4,Getafe,0,-3.72366,40.31,-3.71829,40.305,-3.72097,40.3075,,
Getafe--piece--7-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129344000,0,0,0,0,,piece--7-5,Getafe,0,-3.72366,40.305,-3.71829,40.2999,-3.72097,40.3025,,
Getafe--piece--7-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129375000,0,0,0,0,,piece--7-6,Getafe,0,-3.72366,40.2999,-3.71829,40.2949,-3.72097,40.2974,,
Getafe--piece--7-7--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129404000,0,0,0,0,,piece--7-7,Getafe,0,-3.72366,40.2949,-3.71829,40.2899,-3.72097,40.2924,,
Getafe--piece--7-8--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129422000,0,0,0,0,,piece--7-8,Getafe,0,-3.72366,40.2899,-3.71829,40.2849,-3.72097,40.2874,,
