piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Getafe--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860751000,1775.92,23,9.58974,2,,piece--0-0,Getafe,1,-3.76126,40.33,-3.75589,40.325,-3.75857,40.3275
Getafe--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860758000,2779.87,4,0,0,,piece--0-1,Getafe,1,-3.76126,40.325,-3.75589,40.32,-3.75857,40.3225
Getafe--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860769000,2050.2,5,9.72222,1,,piece--0-2,Getafe,1,-3.76126,40.32,-3.75589,40.315,-3.75857,40.3175
Getafe--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860779000,1319.62,1,0,0,,piece--0-3,Getafe,1,-3.76126,40.315,-3.75589,40.31,-3.75857,40.3125
Getafe--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860787000,0,0,0,0,,piece--0-4,Getafe,1,-3.76126,40.31,-3.75589,40.305,-3.75857,40.3075
Getafe--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860803000,0,0,0,0,,piece--0-5,Getafe,1,-3.76126,40.305,-3.75589,40.2999,-3.75857,40.3025
Getafe--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860812000,1940.39,5,0,0,,piece--0-6,Getafe,1,-3.76126,40.2999,-3.75589,40.2949,-3.75857,40.2974
Getafe--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860818000,1770.79,6,0,0,,piece--0-7,Getafe,1,-3.76126,40.2949,-3.75589,40.2899,-3.75857,40.2924
Getafe--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860823000,2076.19,3,0,0,,piece--0-8,Getafe,1,-3.76126,40.2899,-3.75589,40.2849,-3.75857,40.2874
Getafe--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860829000,0,0,0,0,,piece--0-9,Getafe,1,-3.76126,40.2849,-3.75589,40.2799,-3.75857,40.2824
Getafe--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860834000,1970.97,10,9.85714,1,,piece--1-0,Getafe,1,-3.75589,40.33,-3.75052,40.325,-3.7532,40.3275
Getafe--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860840000,2703.28,7,0,0,,piece--1-1,Getafe,1,-3.75589,40.325,-3.75052,40.32,-3.7532,40.3225
Getafe--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860846000,2183.8,12,0,0,,piece--1-2,Getafe,1,-3.75589,40.32,-3.75052,40.315,-3.7532,40.3175
Getafe--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860867000,0,0,0,0,,piece--1-3,Getafe,1,-3.75589,40.315,-3.75052,40.31,-3.7532,40.3125
Getafe--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860899000,0,0,0,0,,piece--1-4,Getafe,1,-3.75589,40.31,-3.75052,40.305,-3.7532,40.3075
Getafe--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860913000,1809.78,2,10.7143,1,,piece--1-5,Getafe,1,-3.75589,40.305,-3.75052,40.2999,-3.7532,40.3025
Getafe--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860922000,2313.22,7,0,0,,piece--1-6,Getafe,1,-3.75589,40.2999,-3.75052,40.2949,-3.7532,40.2974
Getafe--piece--1-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860927000,0,0,0,0,,piece--1-7,Getafe,1,-3.75589,40.2949,-3.75052,40.2899,-3.7532,40.2924
Getafe--piece--1-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860940000,1513.14,8,0,0,,piece--1-8,Getafe,1,-3.75589,40.2899,-3.75052,40.2849,-3.7532,40.2874
Getafe--piece--1-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860946000,1763.06,10,6.04167,1,,piece--1-9,Getafe,1,-3.75589,40.2849,-3.75052,40.2799,-3.7532,40.2824
Getafe--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860951000,0,0,0,0,,piece--2-0,Getafe,1,-3.75052,40.33,-3.74514,40.325,-3.74783,40.3275
Getafe--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860960000,0,0,0,0,,piece--2-1,Getafe,1,-3.75052,40.325,-3.74514,40.32,-3.74783,40.3225
Getafe--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860968000,0,0,0,0,,piece--2-2,Getafe,1,-3.75052,40.32,-3.74514,40.315,-3.74783,40.3175
Getafe--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860973000,0,0,0,0,,piece--2-3,Getafe,1,-3.75052,40.315,-3.74514,40.31,-3.74783,40.3125
Getafe--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543860979000,0,0,9.86667,1,,piece--2-4,Getafe,1,-3.75052,40.31,-3.74514,40.305,-3.74783,40.3075
Getafe--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861000000,0,0,9.0098,2,,piece--2-5,Getafe,1,-3.75052,40.305,-3.74514,40.2999,-3.74783,40.3025
Getafe--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861033000,1236.4,2,0,0,,piece--2-6,Getafe,1,-3.75052,40.2999,-3.74514,40.2949,-3.74783,40.2974
Getafe--piece--2-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861041000,0,0,7.05882,1,,piece--2-7,Getafe,1,-3.75052,40.2949,-3.74514,40.2899,-3.74783,40.2924
Getafe--piece--2-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861051000,1871.2,2,0,0,,piece--2-8,Getafe,1,-3.75052,40.2899,-3.74514,40.2849,-3.74783,40.2874
Getafe--piece--2-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861059000,1713.28,5,4.10959,1,,piece--2-9,Getafe,1,-3.75052,40.2849,-3.74514,40.2799,-3.74783,40.2824
Getafe--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861067000,0,0,0,0,,piece--3-0,Getafe,1,-3.74514,40.33,-3.73977,40.325,-3.74246,40.3275
Getafe--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861075000,2016.38,2,0,0,,piece--3-1,Getafe,1,-3.74514,40.325,-3.73977,40.32,-3.74246,40.3225
Getafe--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861084000,1597.7,12,0,0,,piece--3-2,Getafe,1,-3.74514,40.32,-3.73977,40.315,-3.74246,40.3175
Getafe--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861091000,0,0,0,0,,piece--3-3,Getafe,1,-3.74514,40.315,-3.73977,40.31,-3.74246,40.3125
Getafe--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861104000,2250.44,2,0,0,,piece--3-4,Getafe,1,-3.74514,40.31,-3.73977,40.305,-3.74246,40.3075
Getafe--piece--3-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861109000,1250,1,0,0,,piece--3-5,Getafe,1,-3.74514,40.305,-3.73977,40.2999,-3.74246,40.3025
Getafe--piece--3-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861129000,1577.65,6,0,0,,piece--3-6,Getafe,1,-3.74514,40.2999,-3.73977,40.2949,-3.74246,40.2974
Getafe--piece--3-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861146000,1815.74,6,0,0,,piece--3-7,Getafe,1,-3.74514,40.2949,-3.73977,40.2899,-3.74246,40.2924
Getafe--piece--3-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861151000,1713.66,4,6.66667,1,,piece--3-8,Getafe,1,-3.74514,40.2899,-3.73977,40.2849,-3.74246,40.2874
Getafe--piece--3-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861162000,0,0,0,0,,piece--3-9,Getafe,1,-3.74514,40.2849,-3.73977,40.2799,-3.74246,40.2824
Getafe--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861167000,1770.91,1,0,0,,piece--4-0,Getafe,1,-3.73977,40.33,-3.7344,40.325,-3.73709,40.3275
