piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Getafe--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179244000,1792.08,26,9.58974,2,,piece--0-0,Getafe,1,-3.76126,40.33,-3.75589,40.325,-3.75857,40.3275,,
Getafe--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179256000,1975.78,2,0,0,,piece--0-1,Getafe,1,-3.76126,40.325,-3.75589,40.32,-3.75857,40.3225,,
Getafe--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179270000,2025,6,9.72222,1,,piece--0-2,Getafe,1,-3.76126,40.32,-3.75589,40.315,-3.75857,40.3175,,
Getafe--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179277000,1319.62,1,0,0,,piece--0-3,Getafe,1,-3.76126,40.315,-3.75589,40.31,-3.75857,40.3125,,
Getafe--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179282000,0,0,0,0,,piece--0-4,Getafe,1,-3.76126,40.31,-3.75589,40.305,-3.75857,40.3075,,
Getafe--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179292000,0,0,0,0,,piece--0-5,Getafe,1,-3.76126,40.305,-3.75589,40.2999,-3.75857,40.3025,,
Getafe--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179300000,2440.7,1,0,0,,piece--0-6,Getafe,1,-3.76126,40.2999,-3.75589,40.2949,-3.75857,40.2974,,
Getafe--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179306000,1753.79,6,0,0,,piece--0-7,Getafe,1,-3.76126,40.2949,-3.75589,40.2899,-3.75857,40.2924,,
Getafe--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179314000,2076.19,3,0,0,,piece--0-8,Getafe,1,-3.76126,40.2899,-3.75589,40.2849,-3.75857,40.2874,,
Getafe--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179323000,0,0,0,0,,piece--0-9,Getafe,1,-3.76126,40.2849,-3.75589,40.2799,-3.75857,40.2824,,
Getafe--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179331000,1969.45,11,15,1,,piece--1-0,Getafe,1,-3.75589,40.33,-3.75052,40.325,-3.7532,40.3275,,
Getafe--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179340000,2799.51,5,7.77778,1,,piece--1-1,Getafe,1,-3.75589,40.325,-3.75052,40.32,-3.7532,40.3225,,
Getafe--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179349000,2425.31,17,0,0,,piece--1-2,Getafe,1,-3.75589,40.32,-3.75052,40.315,-3.7532,40.3175,,
Getafe--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179355000,0,0,0,0,,piece--1-3,Getafe,1,-3.75589,40.315,-3.75052,40.31,-3.7532,40.3125,,
Getafe--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179363000,0,0,0,0,,piece--1-4,Getafe,1,-3.75589,40.31,-3.75052,40.305,-3.7532,40.3075,,
Getafe--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179369000,2123,1,10.7143,1,,piece--1-5,Getafe,1,-3.75589,40.305,-3.75052,40.2999,-3.7532,40.3025,,
Getafe--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179377000,2423.51,7,0,0,,piece--1-6,Getafe,1,-3.75589,40.2999,-3.75052,40.2949,-3.7532,40.2974,,
Getafe--piece--1-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179385000,1972.48,1,0,0,,piece--1-7,Getafe,1,-3.75589,40.2949,-3.75052,40.2899,-3.7532,40.2924,,
Getafe--piece--1-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179394000,1513.14,8,0,0,,piece--1-8,Getafe,1,-3.75589,40.2899,-3.75052,40.2849,-3.7532,40.2874,,
Getafe--piece--1-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179403000,1790.56,10,6.04167,1,,piece--1-9,Getafe,1,-3.75589,40.2849,-3.75052,40.2799,-3.7532,40.2824,,
Getafe--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179408000,0,0,0,0,,piece--2-0,Getafe,1,-3.75052,40.33,-3.74514,40.325,-3.74783,40.3275,,
Getafe--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179419000,0,0,0,0,,piece--2-1,Getafe,1,-3.75052,40.325,-3.74514,40.32,-3.74783,40.3225,,
Getafe--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179425000,0,0,0,0,,piece--2-2,Getafe,1,-3.75052,40.32,-3.74514,40.315,-3.74783,40.3175,,
Getafe--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179434000,0,0,0,0,,piece--2-3,Getafe,1,-3.75052,40.315,-3.74514,40.31,-3.74783,40.3125,,
Getafe--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179442000,0,0,9.86667,1,,piece--2-4,Getafe,1,-3.75052,40.31,-3.74514,40.305,-3.74783,40.3075,,
Getafe--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544179454000,0,0,7.95172,2,,piece--2-5,Getafe,1,-3.75052,40.305,-3.74514,40.2999,-3.74783,40.3025,,
