piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Las Rozas de Madrid--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129832000,0,0,0,0,,piece--0-0,Las Rozas de Madrid,0,-3.94882,40.5676,-3.94365,40.5623,-3.94624,40.565,,
Las Rozas de Madrid--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129850000,0,0,0,0,,piece--0-1,Las Rozas de Madrid,0,-3.94882,40.5623,-3.94365,40.5571,-3.94624,40.5597,,
Las Rozas de Madrid--piece--0-10--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129866000,0,0,0,0,,piece--0-10,Las Rozas de Madrid,0,-3.94882,40.5153,-3.94365,40.51,-3.94624,40.5126,,
Las Rozas de Madrid--piece--0-11--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129881000,0,0,0,0,,piece--0-11,Las Rozas de Madrid,0,-3.94882,40.51,-3.94365,40.5048,-3.94624,40.5074,,
Las Rozas de Madrid--piece--0-12--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129905000,0,0,0,0,,piece--0-12,Las Rozas de Madrid,0,-3.94882,40.5048,-3.94365,40.4996,-3.94624,40.5022,,
Las Rozas de Madrid--piece--0-13--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129932000,0,0,0,0,,piece--0-13,Las Rozas de Madrid,0,-3.94882,40.4996,-3.94365,40.4943,-3.94624,40.497,,
Las Rozas de Madrid--piece--0-14--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129953000,0,0,0,0,,piece--0-14,Las Rozas de Madrid,0,-3.94882,40.4943,-3.94365,40.4891,-3.94624,40.4917,,
Las Rozas de Madrid--piece--0-15--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544129980000,0,0,0,2,,piece--0-15,Las Rozas de Madrid,0,-3.94882,40.4891,-3.94365,40.4839,-3.94624,40.4865,,
Las Rozas de Madrid--piece--0-16--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544130000000,0,0,0,1,,piece--0-16,Las Rozas de Madrid,0,-3.94882,40.4839,-3.94365,40.4786,-3.94624,40.4813,,
Las Rozas de Madrid--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544130016000,0,0,0,0,,piece--0-2,Las Rozas de Madrid,0,-3.94882,40.5571,-3.94365,40.5519,-3.94624,40.5545,,
Las Rozas de Madrid--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544130037000,0,0,0,0,,piece--0-3,Las Rozas de Madrid,0,-3.94882,40.5519,-3.94365,40.5467,-3.94624,40.5493,,
Las Rozas de Madrid--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544130068000,0,0,0,0,,piece--0-4,Las Rozas de Madrid,0,-3.94882,40.5467,-3.94365,40.5414,-3.94624,40.544,,
