piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Las Rozas de Madrid--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861731000,2026.35,4,0,0,,piece--0-0,Las Rozas de Madrid,1,-3.94882,40.5676,-3.94365,40.5623,-3.94624,40.565
Las Rozas de Madrid--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861737000,0,0,0,0,,piece--0-1,Las Rozas de Madrid,1,-3.94882,40.5623,-3.94365,40.5571,-3.94624,40.5597
Las Rozas de Madrid--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861745000,0,0,0,0,,piece--0-10,Las Rozas de Madrid,1,-3.94882,40.5153,-3.94365,40.51,-3.94624,40.5126
Las Rozas de Madrid--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861759000,0,0,0,0,,piece--0-11,Las Rozas de Madrid,1,-3.94882,40.51,-3.94365,40.5048,-3.94624,40.5074
Las Rozas de Madrid--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861766000,0,0,0,0,,piece--0-12,Las Rozas de Madrid,1,-3.94882,40.5048,-3.94365,40.4996,-3.94624,40.5022
Las Rozas de Madrid--piece--0-13--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861776000,0,0,0,0,,piece--0-13,Las Rozas de Madrid,1,-3.94882,40.4996,-3.94365,40.4943,-3.94624,40.497
Las Rozas de Madrid--piece--0-14--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861782000,1083.03,1,0,0,,piece--0-14,Las Rozas de Madrid,1,-3.94882,40.4943,-3.94365,40.4891,-3.94624,40.4917
Las Rozas de Madrid--piece--0-15--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861787000,1868.31,5,0,0,,piece--0-15,Las Rozas de Madrid,1,-3.94882,40.4891,-3.94365,40.4839,-3.94624,40.4865
Las Rozas de Madrid--piece--0-16--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861793000,1451.19,8,0,0,,piece--0-16,Las Rozas de Madrid,1,-3.94882,40.4839,-3.94365,40.4786,-3.94624,40.4813
Las Rozas de Madrid--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861802000,0,0,0,0,,piece--0-2,Las Rozas de Madrid,1,-3.94882,40.5571,-3.94365,40.5519,-3.94624,40.5545
Las Rozas de Madrid--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861810000,0,0,0,0,,piece--0-3,Las Rozas de Madrid,1,-3.94882,40.5519,-3.94365,40.5467,-3.94624,40.5493
Las Rozas de Madrid--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861815000,0,0,0,0,,piece--0-4,Las Rozas de Madrid,1,-3.94882,40.5467,-3.94365,40.5414,-3.94624,40.544
Las Rozas de Madrid--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861827000,1079.39,3,7.69231,1,,piece--0-5,Las Rozas de Madrid,1,-3.94882,40.5414,-3.94365,40.5362,-3.94624,40.5388
Las Rozas de Madrid--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861833000,0,0,7.73237,3,,piece--0-6,Las Rozas de Madrid,1,-3.94882,40.5362,-3.94365,40.531,-3.94624,40.5336
Las Rozas de Madrid--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861838000,0,0,0,0,,piece--0-7,Las Rozas de Madrid,1,-3.94882,40.531,-3.94365,40.5257,-3.94624,40.5283
Las Rozas de Madrid--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861844000,0,0,0,0,,piece--0-8,Las Rozas de Madrid,1,-3.94882,40.5257,-3.94365,40.5205,-3.94624,40.5231
Las Rozas de Madrid--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861852000,0,0,0,0,,piece--0-9,Las Rozas de Madrid,1,-3.94882,40.5205,-3.94365,40.5153,-3.94624,40.5179
Las Rozas de Madrid--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861858000,1567.16,1,0,0,,piece--1-0,Las Rozas de Madrid,1,-3.94365,40.5676,-3.93847,40.5623,-3.94106,40.565
Las Rozas de Madrid--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861866000,0,0,0,0,,piece--1-1,Las Rozas de Madrid,1,-3.94365,40.5623,-3.93847,40.5571,-3.94106,40.5597
Las Rozas de Madrid--piece--1-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861874000,0,0,0,0,,piece--1-10,Las Rozas de Madrid,1,-3.94365,40.5153,-3.93847,40.51,-3.94106,40.5126
Las Rozas de Madrid--piece--1-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861880000,0,0,0,0,,piece--1-11,Las Rozas de Madrid,1,-3.94365,40.51,-3.93847,40.5048,-3.94106,40.5074
Las Rozas de Madrid--piece--1-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543861888000,0,0,0,0,,piece--1-12,Las Rozas de Madrid,1,-3.94365,40.5048,-3.93847,40.4996,-3.94106,40.5022
