piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Las Rozas de Madrid--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180048000,2026.35,4,0,0,,piece--0-0,Las Rozas de Madrid,1,-3.94882,40.5676,-3.94365,40.5623,-3.94624,40.565,,
Las Rozas de Madrid--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180057000,0,0,0,0,,piece--0-1,Las Rozas de Madrid,1,-3.94882,40.5623,-3.94365,40.5571,-3.94624,40.5597,,
Las Rozas de Madrid--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180068000,0,0,0,0,,piece--0-10,Las Rozas de Madrid,1,-3.94882,40.5153,-3.94365,40.51,-3.94624,40.5126,,
Las Rozas de Madrid--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180076000,0,0,0,0,,piece--0-11,Las Rozas de Madrid,1,-3.94882,40.51,-3.94365,40.5048,-3.94624,40.5074,,
Las Rozas de Madrid--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180081000,0,0,0,0,,piece--0-12,Las Rozas de Madrid,1,-3.94882,40.5048,-3.94365,40.4996,-3.94624,40.5022,,
Las Rozas de Madrid--piece--0-13--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180092000,0,0,0,0,,piece--0-13,Las Rozas de Madrid,1,-3.94882,40.4996,-3.94365,40.4943,-3.94624,40.497,,
Las Rozas de Madrid--piece--0-14--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180098000,1083.03,1,0,0,,piece--0-14,Las Rozas de Madrid,1,-3.94882,40.4943,-3.94365,40.4891,-3.94624,40.4917,,
Las Rozas de Madrid--piece--0-15--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180106000,1966.64,4,0,0,,piece--0-15,Las Rozas de Madrid,1,-3.94882,40.4891,-3.94365,40.4839,-3.94624,40.4865,,
Las Rozas de Madrid--piece--0-16--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180115000,1453.84,9,0,0,,piece--0-16,Las Rozas de Madrid,1,-3.94882,40.4839,-3.94365,40.4786,-3.94624,40.4813,,
Las Rozas de Madrid--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180120000,0,0,0,0,,piece--0-2,Las Rozas de Madrid,1,-3.94882,40.5571,-3.94365,40.5519,-3.94624,40.5545,,
Las Rozas de Madrid--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180125000,0,0,0,0,,piece--0-3,Las Rozas de Madrid,1,-3.94882,40.5519,-3.94365,40.5467,-3.94624,40.5493,,
Las Rozas de Madrid--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180137000,0,0,0,0,,piece--0-4,Las Rozas de Madrid,1,-3.94882,40.5467,-3.94365,40.5414,-3.94624,40.544,,
Las Rozas de Madrid--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180145000,1079.39,3,7.69231,1,,piece--0-5,Las Rozas de Madrid,1,-3.94882,40.5414,-3.94365,40.5362,-3.94624,40.5388,,
Las Rozas de Madrid--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180154000,0,0,7.73237,3,,piece--0-6,Las Rozas de Madrid,1,-3.94882,40.5362,-3.94365,40.531,-3.94624,40.5336,,
Las Rozas de Madrid--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180159000,0,0,0,0,,piece--0-7,Las Rozas de Madrid,1,-3.94882,40.531,-3.94365,40.5257,-3.94624,40.5283,,
Las Rozas de Madrid--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180165000,0,0,0,0,,piece--0-8,Las Rozas de Madrid,1,-3.94882,40.5257,-3.94365,40.5205,-3.94624,40.5231,,
Las Rozas de Madrid--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_7_2018,_7_11_51_AM",fotocasa,gCloud,1544180173000,0,0,0,0,,piece--0-9,Las Rozas de Madrid,1,-3.94882,40.5205,-3.94365,40.5153,-3.94624,40.5179,,
