piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y,geojson_coordinates,method
Leganés--piece--0-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135426000,0,0,0,0,,piece--0-0,Leganés,0,-3.79549,40.3472,-3.79016,40.3417,-3.79282,40.3444,,
Leganés--piece--0-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135442000,0,0,0,0,,piece--0-1,Leganés,0,-3.79549,40.3417,-3.79016,40.3363,-3.79282,40.339,,
Leganés--piece--0-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135454000,0,0,0,0,,piece--0-2,Leganés,0,-3.79549,40.3363,-3.79016,40.3308,-3.79282,40.3335,,
Leganés--piece--0-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135468000,0,0,0,0,,piece--0-3,Leganés,0,-3.79549,40.3308,-3.79016,40.3254,-3.79282,40.3281,,
Leganés--piece--0-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135487000,0,0,0,0,,piece--0-4,Leganés,0,-3.79549,40.3254,-3.79016,40.3199,-3.79282,40.3226,,
Leganés--piece--0-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135510000,0,0,0,0,,piece--0-5,Leganés,0,-3.79549,40.3199,-3.79016,40.3145,-3.79282,40.3172,,
Leganés--piece--0-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135528000,0,0,0,0,,piece--0-6,Leganés,0,-3.79549,40.3145,-3.79016,40.309,-3.79282,40.3117,,
Leganés--piece--1-0--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135540000,0,0,0,0,,piece--1-0,Leganés,0,-3.79016,40.3472,-3.78484,40.3417,-3.7875,40.3444,,
Leganés--piece--1-1--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135553000,0,0,0,0,,piece--1-1,Leganés,0,-3.79016,40.3417,-3.78484,40.3363,-3.7875,40.339,,
Leganés--piece--1-2--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135581000,0,0,0,0,,piece--1-2,Leganés,0,-3.79016,40.3363,-3.78484,40.3308,-3.7875,40.3335,,
Leganés--piece--1-3--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135609000,0,0,0,0,,piece--1-3,Leganés,0,-3.79016,40.3308,-3.78484,40.3254,-3.7875,40.3281,,
Leganés--piece--1-4--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135622000,0,0,0,0,,piece--1-4,Leganés,0,-3.79016,40.3254,-3.78484,40.3199,-3.7875,40.3226,,
Leganés--piece--1-5--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135635000,0,0,0,0,,piece--1-5,Leganés,0,-3.79016,40.3199,-3.78484,40.3145,-3.7875,40.3172,,
Leganés--piece--1-6--raspberry3bp,scraping-airbnb-raspberry3bp--2018-11-29_14_04_43,airbnb,raspberry3bp,1544135650000,0,0,0,0,,piece--1-6,Leganés,0,-3.79016,40.3145,-3.78484,40.309,-3.7875,40.3117,,
