piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Leganés--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866396000,0,0,0,0,,piece--0-0,Leganés,1,-3.79549,40.3472,-3.79016,40.3417,-3.79282,40.3444
Leganés--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866402000,0,0,0,0,,piece--0-1,Leganés,1,-3.79549,40.3417,-3.79016,40.3363,-3.79282,40.339
Leganés--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866410000,0,0,0,0,,piece--0-2,Leganés,1,-3.79549,40.3363,-3.79016,40.3308,-3.79282,40.3335
Leganés--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866421000,0,0,0,0,,piece--0-3,Leganés,1,-3.79549,40.3308,-3.79016,40.3254,-3.79282,40.3281
Leganés--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866433000,0,0,0,0,,piece--0-4,Leganés,1,-3.79549,40.3254,-3.79016,40.3199,-3.79282,40.3226
Leganés--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866450000,0,0,0,0,,piece--0-5,Leganés,1,-3.79549,40.3199,-3.79016,40.3145,-3.79282,40.3172
Leganés--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866457000,1742.92,6,0,0,,piece--0-6,Leganés,1,-3.79549,40.3145,-3.79016,40.309,-3.79282,40.3117
Leganés--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866462000,0,0,0,0,,piece--1-0,Leganés,1,-3.79016,40.3472,-3.78484,40.3417,-3.7875,40.3444
Leganés--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866468000,0,0,0,0,,piece--1-1,Leganés,1,-3.79016,40.3417,-3.78484,40.3363,-3.7875,40.339
Leganés--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866476000,0,0,0,0,,piece--1-2,Leganés,1,-3.79016,40.3363,-3.78484,40.3308,-3.7875,40.3335
Leganés--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866489000,0,0,0,0,,piece--1-3,Leganés,1,-3.79016,40.3308,-3.78484,40.3254,-3.7875,40.3281
Leganés--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866502000,2128.57,2,0,0,,piece--1-4,Leganés,1,-3.79016,40.3254,-3.78484,40.3199,-3.7875,40.3226
Leganés--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866516000,1664.52,8,8.94737,1,,piece--1-5,Leganés,1,-3.79016,40.3199,-3.78484,40.3145,-3.7875,40.3172
Leganés--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866533000,2307,2,0,0,,piece--1-6,Leganés,1,-3.79016,40.3145,-3.78484,40.309,-3.7875,40.3117
Leganés--piece--10-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866549000,1806.51,2,0,0,,piece--10-0,Leganés,1,-3.74224,40.3472,-3.73691,40.3417,-3.73957,40.3444
Leganés--piece--10-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866558000,2282.16,7,0,0,,piece--10-1,Leganés,1,-3.74224,40.3417,-3.73691,40.3363,-3.73957,40.339
Leganés--piece--10-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866570000,2314.12,9,6.81818,1,,piece--10-2,Leganés,1,-3.74224,40.3363,-3.73691,40.3308,-3.73957,40.3335
Leganés--piece--10-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866576000,0,0,0,0,,piece--10-3,Leganés,1,-3.74224,40.3308,-3.73691,40.3254,-3.73957,40.3281
Leganés--piece--10-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866587000,2009.31,5,11.4286,2,,piece--10-4,Leganés,1,-3.74224,40.3254,-3.73691,40.3199,-3.73957,40.3226
Leganés--piece--10-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866596000,2285.57,5,0,0,,piece--10-5,Leganés,1,-3.74224,40.3199,-3.73691,40.3145,-3.73957,40.3172
Leganés--piece--10-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866606000,1925.21,8,10.2632,1,,piece--10-6,Leganés,1,-3.74224,40.3145,-3.73691,40.309,-3.73957,40.3117
Leganés--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866615000,1701.15,10,9.52381,1,,piece--2-0,Leganés,1,-3.78484,40.3472,-3.77951,40.3417,-3.78217,40.3444
Leganés--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866623000,1903.85,1,0,0,,piece--2-1,Leganés,1,-3.78484,40.3417,-3.77951,40.3363,-3.78217,40.339
Leganés--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866631000,0,0,0,0,,piece--2-2,Leganés,1,-3.78484,40.3363,-3.77951,40.3308,-3.78217,40.3335
Leganés--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866636000,0,0,0,0,,piece--2-3,Leganés,1,-3.78484,40.3308,-3.77951,40.3254,-3.78217,40.3281
Leganés--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866642000,1618.81,5,5.33178,3,,piece--2-4,Leganés,1,-3.78484,40.3254,-3.77951,40.3199,-3.78217,40.3226
Leganés--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866647000,1834.74,6,5.64513,3,,piece--2-5,Leganés,1,-3.78484,40.3199,-3.77951,40.3145,-3.78217,40.3172
Leganés--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866656000,1803.63,2,0,0,,piece--2-6,Leganés,1,-3.78484,40.3145,-3.77951,40.309,-3.78217,40.3117
Leganés--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866662000,1455.92,4,7.43243,1,,piece--3-0,Leganés,1,-3.77951,40.3472,-3.77419,40.3417,-3.77685,40.3444
Leganés--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866680000,1739.13,1,0,0,,piece--3-1,Leganés,1,-3.77951,40.3417,-3.77419,40.3363,-3.77685,40.339
Leganés--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866693000,1983.44,11,8.82353,1,,piece--3-2,Leganés,1,-3.77951,40.3363,-3.77419,40.3308,-3.77685,40.3335
Leganés--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866698000,0,0,0,0,,piece--3-3,Leganés,1,-3.77951,40.3308,-3.77419,40.3254,-3.77685,40.3281
Leganés--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543866704000,1282.47,4,0,0,,piece--3-4,Leganés,1,-3.77951,40.3254,-3.77419,40.3199,-3.77685,40.3226
