piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Madrid--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867142000,0,0,0,0,,piece--0-0,Madrid,1,-3.83416,40.5638,-3.82909,40.5588,-3.83163,40.5613
Madrid--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867153000,0,0,0,0,,piece--0-1,Madrid,1,-3.83416,40.5588,-3.82909,40.5538,-3.83163,40.5563
Madrid--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867161000,0,0,0,0,,piece--0-10,Madrid,1,-3.83416,40.5135,-3.82909,40.5085,-3.83163,40.511
Madrid--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867166000,0,0,0,0,,piece--0-11,Madrid,1,-3.83416,40.5085,-3.82909,40.5034,-3.83163,40.5059
Madrid--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867171000,0,0,0,0,,piece--0-12,Madrid,1,-3.83416,40.5034,-3.82909,40.4984,-3.83163,40.5009
Madrid--piece--0-13--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867180000,0,0,0,0,,piece--0-13,Madrid,1,-3.83416,40.4984,-3.82909,40.4933,-3.83163,40.4959
Madrid--piece--0-14--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867189000,0,0,0,0,,piece--0-14,Madrid,1,-3.83416,40.4933,-3.82909,40.4883,-3.83163,40.4908
Madrid--piece--0-15--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867197000,0,0,0,0,,piece--0-15,Madrid,1,-3.83416,40.4883,-3.82909,40.4833,-3.83163,40.4858
Madrid--piece--0-16--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867209000,0,0,0,0,,piece--0-16,Madrid,1,-3.83416,40.4833,-3.82909,40.4782,-3.83163,40.4808
Madrid--piece--0-17--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867218000,1049.23,13,17.734,1,,piece--0-17,Madrid,1,-3.83416,40.4782,-3.82909,40.4732,-3.83163,40.4757
Madrid--piece--0-18--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867230000,1882.7,10,0,0,,piece--0-18,Madrid,1,-3.83416,40.4732,-3.82909,40.4682,-3.83163,40.4707
Madrid--piece--0-19--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867236000,0,0,0,0,,piece--0-19,Madrid,1,-3.83416,40.4682,-3.82909,40.4631,-3.83163,40.4656
Madrid--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543867241000,0,0,0,0,,piece--0-2,Madrid,1,-3.83416,40.5538,-3.82909,40.5487,-3.83163,40.5513
