piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Majadahonda--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893288000,0,0,0,0,,piece--0-0,Majadahonda,1,-3.88806,40.4837,-3.88253,40.4781,-3.88529,40.4809
Majadahonda--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893297000,3592.59,1,0,0,,piece--0-1,Majadahonda,1,-3.88806,40.4781,-3.88253,40.4724,-3.88529,40.4752
Majadahonda--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893303000,0,0,14.4444,1,,piece--0-2,Majadahonda,1,-3.88806,40.4724,-3.88253,40.4667,-3.88529,40.4696
Majadahonda--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893311000,0,0,0,0,,piece--0-3,Majadahonda,1,-3.88806,40.4667,-3.88253,40.4611,-3.88529,40.4639
Majadahonda--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893318000,0,0,0,0,,piece--0-4,Majadahonda,1,-3.88806,40.4611,-3.88253,40.4554,-3.88529,40.4583
Majadahonda--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893323000,0,0,9.37057,2,,piece--0-5,Majadahonda,1,-3.88806,40.4554,-3.88253,40.4498,-3.88529,40.4526
Majadahonda--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893329000,2320.55,1,0,0,,piece--0-6,Majadahonda,1,-3.88806,40.4498,-3.88253,40.4441,-3.88529,40.4469
Majadahonda--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893337000,0,0,0,0,,piece--1-0,Majadahonda,1,-3.88253,40.4837,-3.877,40.4781,-3.87976,40.4809
Majadahonda--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893347000,2528.84,16,11.1143,2,,piece--1-1,Majadahonda,1,-3.88253,40.4781,-3.877,40.4724,-3.87976,40.4752
Majadahonda--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893357000,3177.48,2,10.4167,1,,piece--1-2,Majadahonda,1,-3.88253,40.4724,-3.877,40.4667,-3.87976,40.4696
Majadahonda--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893365000,0,0,0,0,,piece--1-3,Majadahonda,1,-3.88253,40.4667,-3.877,40.4611,-3.87976,40.4639
Majadahonda--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893371000,3502.31,6,6.61765,1,,piece--1-4,Majadahonda,1,-3.88253,40.4611,-3.877,40.4554,-3.87976,40.4583
Majadahonda--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893376000,3851.85,1,0,0,,piece--1-5,Majadahonda,1,-3.88253,40.4554,-3.877,40.4498,-3.87976,40.4526
Majadahonda--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893385000,3793.1,1,0,0,,piece--1-6,Majadahonda,1,-3.88253,40.4498,-3.877,40.4441,-3.87976,40.4469
Majadahonda--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893391000,3002.34,7,9.90262,8,,piece--2-0,Majadahonda,1,-3.877,40.4837,-3.87147,40.4781,-3.87423,40.4809
Majadahonda--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893396000,2802.05,11,11.3846,2,,piece--2-1,Majadahonda,1,-3.877,40.4781,-3.87147,40.4724,-3.87423,40.4752
Majadahonda--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893407000,3215.76,27,12.7389,6,,piece--2-2,Majadahonda,1,-3.877,40.4724,-3.87147,40.4667,-3.87423,40.4696
Majadahonda--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893416000,3127.57,6,0,0,,piece--2-3,Majadahonda,1,-3.877,40.4667,-3.87147,40.4611,-3.87423,40.4639
Majadahonda--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893426000,3970.52,5,7.86802,1,,piece--2-4,Majadahonda,1,-3.877,40.4611,-3.87147,40.4554,-3.87423,40.4583
Majadahonda--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893431000,3333.23,4,15,1,,piece--2-5,Majadahonda,1,-3.877,40.4554,-3.87147,40.4498,-3.87423,40.4526
Majadahonda--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893437000,0,0,0,0,,piece--2-6,Majadahonda,1,-3.877,40.4498,-3.87147,40.4441,-3.87423,40.4469
Majadahonda--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893443000,2376.34,17,11.7241,2,,piece--3-0,Majadahonda,1,-3.87147,40.4837,-3.86594,40.4781,-3.8687,40.4809
Majadahonda--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893453000,2869.96,19,12.0151,6,,piece--3-1,Majadahonda,1,-3.87147,40.4781,-3.86594,40.4724,-3.8687,40.4752
Majadahonda--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893459000,3216.14,15,13.2,1,,piece--3-2,Majadahonda,1,-3.87147,40.4724,-3.86594,40.4667,-3.8687,40.4696
Majadahonda--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893464000,3471.24,6,14.4244,2,,piece--3-3,Majadahonda,1,-3.87147,40.4667,-3.86594,40.4611,-3.8687,40.4639
Majadahonda--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893470000,3050.28,4,10.8182,4,,piece--3-4,Majadahonda,1,-3.87147,40.4611,-3.86594,40.4554,-3.8687,40.4583
Majadahonda--piece--3-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893479000,2275.62,11,11.9599,12,,piece--3-5,Majadahonda,1,-3.87147,40.4554,-3.86594,40.4498,-3.8687,40.4526
Majadahonda--piece--3-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893485000,3662.26,6,12.7423,4,,piece--3-6,Majadahonda,1,-3.87147,40.4498,-3.86594,40.4441,-3.8687,40.4469
Majadahonda--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893491000,2277.13,12,10.9094,3,,piece--4-0,Majadahonda,1,-3.86594,40.4837,-3.86041,40.4781,-3.86317,40.4809
Majadahonda--piece--4-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893497000,2135.25,7,12.9688,2,,piece--4-1,Majadahonda,1,-3.86594,40.4781,-3.86041,40.4724,-3.86317,40.4752
Majadahonda--piece--4-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893503000,2230.31,9,7.50853,1,,piece--4-2,Majadahonda,1,-3.86594,40.4724,-3.86041,40.4667,-3.86317,40.4696
Majadahonda--piece--4-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893512000,1430.43,12,11.1497,4,,piece--4-3,Majadahonda,1,-3.86594,40.4667,-3.86041,40.4611,-3.86317,40.4639
Majadahonda--piece--4-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893518000,3808.14,15,12.5844,11,,piece--4-4,Majadahonda,1,-3.86594,40.4611,-3.86041,40.4554,-3.86317,40.4583
Majadahonda--piece--4-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893523000,3521.97,5,12.3825,4,,piece--4-5,Majadahonda,1,-3.86594,40.4554,-3.86041,40.4498,-3.86317,40.4526
Majadahonda--piece--4-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893529000,3695.38,10,10.3166,7,,piece--4-6,Majadahonda,1,-3.86594,40.4498,-3.86041,40.4441,-3.86317,40.4469
Majadahonda--piece--5-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893535000,1504.75,9,7.98583,9,,piece--5-0,Majadahonda,1,-3.86041,40.4837,-3.85488,40.4781,-3.85765,40.4809
Majadahonda--piece--5-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893544000,1772.91,13,7.17953,3,,piece--5-1,Majadahonda,1,-3.86041,40.4781,-3.85488,40.4724,-3.85765,40.4752
Majadahonda--piece--5-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893552000,2126.45,16,13.5846,2,,piece--5-2,Majadahonda,1,-3.86041,40.4724,-3.85488,40.4667,-3.85765,40.4696
Majadahonda--piece--5-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893559000,3637.02,13,14.1241,10,,piece--5-3,Majadahonda,1,-3.86041,40.4667,-3.85488,40.4611,-3.85765,40.4639
Majadahonda--piece--5-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893564000,3226.35,6,0,0,,piece--5-4,Majadahonda,1,-3.86041,40.4611,-3.85488,40.4554,-3.85765,40.4583
Majadahonda--piece--5-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893573000,2896.73,5,10.447,3,,piece--5-5,Majadahonda,1,-3.86041,40.4554,-3.85488,40.4498,-3.85765,40.4526
Majadahonda--piece--5-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893581000,3331.73,4,11.2782,1,,piece--5-6,Majadahonda,1,-3.86041,40.4498,-3.85488,40.4441,-3.85765,40.4469
