piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Mejorada del Campo--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893755000,0,0,0,0,,piece--0-0,Mejorada del Campo,1,-3.49584,40.4222,-3.49082,40.4166,-3.49333,40.4194
Mejorada del Campo--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893761000,0,0,0,0,,piece--0-1,Mejorada del Campo,1,-3.49584,40.4166,-3.49082,40.4111,-3.49333,40.4139
Mejorada del Campo--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893766000,0,0,0,0,,piece--0-2,Mejorada del Campo,1,-3.49584,40.4111,-3.49082,40.4056,-3.49333,40.4083
Mejorada del Campo--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893775000,0,0,0,0,,piece--0-3,Mejorada del Campo,1,-3.49584,40.4056,-3.49082,40.4,-3.49333,40.4028
Mejorada del Campo--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893781000,1485.73,28,0,0,,piece--0-4,Mejorada del Campo,1,-3.49584,40.4,-3.49082,40.3945,-3.49333,40.3973
Mejorada del Campo--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893787000,1681.29,16,0,0,,piece--0-5,Mejorada del Campo,1,-3.49584,40.3945,-3.49082,40.389,-3.49333,40.3918
Mejorada del Campo--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893796000,0,0,0,0,,piece--0-6,Mejorada del Campo,1,-3.49584,40.389,-3.49082,40.3835,-3.49333,40.3862
Mejorada del Campo--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893803000,0,0,0,0,,piece--1-0,Mejorada del Campo,1,-3.49082,40.4222,-3.4858,40.4166,-3.48831,40.4194
Mejorada del Campo--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893812000,0,0,0,0,,piece--1-1,Mejorada del Campo,1,-3.49082,40.4166,-3.4858,40.4111,-3.48831,40.4139
Mejorada del Campo--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893824000,0,0,0,0,,piece--1-2,Mejorada del Campo,1,-3.49082,40.4111,-3.4858,40.4056,-3.48831,40.4083
Mejorada del Campo--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893832000,0,0,0,0,,piece--1-3,Mejorada del Campo,1,-3.49082,40.4056,-3.4858,40.4,-3.48831,40.4028
Mejorada del Campo--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893844000,1640.77,30,7.32861,3,,piece--1-4,Mejorada del Campo,1,-3.49082,40.4,-3.4858,40.3945,-3.48831,40.3973
Mejorada del Campo--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893857000,1521.39,18,8.17935,2,,piece--1-5,Mejorada del Campo,1,-3.49082,40.3945,-3.4858,40.389,-3.48831,40.3918
Mejorada del Campo--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893873000,1375,2,0,0,,piece--1-6,Mejorada del Campo,1,-3.49082,40.389,-3.4858,40.3835,-3.48831,40.3862
Mejorada del Campo--piece--10-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893881000,0,0,0,0,,piece--10-0,Mejorada del Campo,1,-3.44563,40.4222,-3.44061,40.4166,-3.44312,40.4194
Mejorada del Campo--piece--10-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893891000,693.75,2,0,0,,piece--10-1,Mejorada del Campo,1,-3.44563,40.4166,-3.44061,40.4111,-3.44312,40.4139
Mejorada del Campo--piece--10-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893905000,0,0,0,0,,piece--10-2,Mejorada del Campo,1,-3.44563,40.4111,-3.44061,40.4056,-3.44312,40.4083
Mejorada del Campo--piece--10-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893914000,0,0,0,0,,piece--10-3,Mejorada del Campo,1,-3.44563,40.4056,-3.44061,40.4,-3.44312,40.4028
Mejorada del Campo--piece--10-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893924000,0,0,0,0,,piece--10-4,Mejorada del Campo,1,-3.44563,40.4,-3.44061,40.3945,-3.44312,40.3973
Mejorada del Campo--piece--10-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893933000,0,0,0,0,,piece--10-5,Mejorada del Campo,1,-3.44563,40.3945,-3.44061,40.389,-3.44312,40.3918
Mejorada del Campo--piece--10-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893944000,0,0,0,0,,piece--10-6,Mejorada del Campo,1,-3.44563,40.389,-3.44061,40.3835,-3.44312,40.3862
Mejorada del Campo--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893953000,0,0,0,0,,piece--2-0,Mejorada del Campo,1,-3.4858,40.4222,-3.48078,40.4166,-3.48329,40.4194
Mejorada del Campo--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893962000,0,0,0,0,,piece--2-1,Mejorada del Campo,1,-3.4858,40.4166,-3.48078,40.4111,-3.48329,40.4139
Mejorada del Campo--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893970000,0,0,0,0,,piece--2-2,Mejorada del Campo,1,-3.4858,40.4111,-3.48078,40.4056,-3.48329,40.4083
Mejorada del Campo--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893977000,1310.97,7,0,0,,piece--2-3,Mejorada del Campo,1,-3.4858,40.4056,-3.48078,40.4,-3.48329,40.4028
Mejorada del Campo--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893988000,1429.53,29,6.37186,3,,piece--2-4,Mejorada del Campo,1,-3.4858,40.4,-3.48078,40.3945,-3.48329,40.3973
Mejorada del Campo--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543893995000,1420.72,30,7.57353,2,,piece--2-5,Mejorada del Campo,1,-3.4858,40.3945,-3.48078,40.389,-3.48329,40.3918
Mejorada del Campo--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894000000,1696.68,3,0,0,,piece--2-6,Mejorada del Campo,1,-3.4858,40.389,-3.48078,40.3835,-3.48329,40.3862
Mejorada del Campo--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894006000,0,0,0,0,,piece--3-0,Mejorada del Campo,1,-3.48078,40.4222,-3.47576,40.4166,-3.47827,40.4194
Mejorada del Campo--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894021000,0,0,0,0,,piece--3-1,Mejorada del Campo,1,-3.48078,40.4166,-3.47576,40.4111,-3.47827,40.4139
Mejorada del Campo--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894026000,0,0,0,0,,piece--3-2,Mejorada del Campo,1,-3.48078,40.4111,-3.47576,40.4056,-3.47827,40.4083
Mejorada del Campo--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894032000,1452.26,2,0,0,,piece--3-3,Mejorada del Campo,1,-3.48078,40.4056,-3.47576,40.4,-3.47827,40.4028
Mejorada del Campo--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894043000,1401.88,16,8.18182,1,,piece--3-4,Mejorada del Campo,1,-3.48078,40.4,-3.47576,40.3945,-3.47827,40.3973
