piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Móstoles--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894365000,0,0,0,0,,piece--0-0,Móstoles,1,-3.89256,40.344,-3.88702,40.3388,-3.88979,40.3414
Móstoles--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894373000,0,0,0,0,,piece--0-1,Móstoles,1,-3.89256,40.3388,-3.88702,40.3336,-3.88979,40.3362
Móstoles--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894380000,1878.24,26,0,0,,piece--0-2,Móstoles,1,-3.89256,40.3336,-3.88702,40.3283,-3.88979,40.3309
Móstoles--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894392000,0,0,0,0,,piece--0-3,Móstoles,1,-3.89256,40.3283,-3.88702,40.3231,-3.88979,40.3257
Móstoles--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894397000,0,0,0,0,,piece--0-4,Móstoles,1,-3.89256,40.3231,-3.88702,40.3179,-3.88979,40.3205
Móstoles--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894405000,0,0,0,0,,piece--0-5,Móstoles,1,-3.89256,40.3179,-3.88702,40.3127,-3.88979,40.3153
Móstoles--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894411000,0,0,0,0,,piece--0-6,Móstoles,1,-3.89256,40.3127,-3.88702,40.3075,-3.88979,40.3101
Móstoles--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894416000,0,0,0,0,,piece--0-7,Móstoles,1,-3.89256,40.3075,-3.88702,40.3023,-3.88979,40.3049
Móstoles--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894421000,0,0,0,0,,piece--1-0,Móstoles,1,-3.88702,40.344,-3.88148,40.3388,-3.88425,40.3414
Móstoles--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894430000,1914.29,1,0,0,,piece--1-1,Móstoles,1,-3.88702,40.3388,-3.88148,40.3336,-3.88425,40.3362
