piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Navalcarnero--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894988000,0,0,0,0,,piece--0-0,Navalcarnero,1,-4.08791,40.3394,-4.08288,40.3342,-4.08539,40.3368
Navalcarnero--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894993000,0,0,0,0,,piece--0-1,Navalcarnero,1,-4.08791,40.3342,-4.08288,40.329,-4.08539,40.3316
Navalcarnero--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543894999000,0,0,0,0,,piece--0-10,Navalcarnero,1,-4.08791,40.2872,-4.08288,40.282,-4.08539,40.2846
Navalcarnero--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895006000,0,0,0,0,,piece--0-11,Navalcarnero,1,-4.08791,40.282,-4.08288,40.2768,-4.08539,40.2794
Navalcarnero--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895018000,0,0,0,0,,piece--0-12,Navalcarnero,1,-4.08791,40.2768,-4.08288,40.2716,-4.08539,40.2742
Navalcarnero--piece--0-13--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895034000,0,0,0,0,,piece--0-13,Navalcarnero,1,-4.08791,40.2716,-4.08288,40.2663,-4.08539,40.2689
Navalcarnero--piece--0-14--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895042000,0,0,0,0,,piece--0-14,Navalcarnero,1,-4.08791,40.2663,-4.08288,40.2611,-4.08539,40.2637
Navalcarnero--piece--0-15--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895053000,0,0,0,0,,piece--0-15,Navalcarnero,1,-4.08791,40.2611,-4.08288,40.2559,-4.08539,40.2585
Navalcarnero--piece--0-16--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895064000,0,0,0,0,,piece--0-16,Navalcarnero,1,-4.08791,40.2559,-4.08288,40.2507,-4.08539,40.2533
Navalcarnero--piece--0-17--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895074000,0,0,0,0,,piece--0-17,Navalcarnero,1,-4.08791,40.2507,-4.08288,40.2455,-4.08539,40.2481
Navalcarnero--piece--0-18--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895082000,0,0,0,0,,piece--0-18,Navalcarnero,1,-4.08791,40.2455,-4.08288,40.2402,-4.08539,40.2429
Navalcarnero--piece--0-19--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895088000,0,0,0,0,,piece--0-19,Navalcarnero,1,-4.08791,40.2402,-4.08288,40.235,-4.08539,40.2376
Navalcarnero--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895093000,0,0,0,0,,piece--0-2,Navalcarnero,1,-4.08791,40.329,-4.08288,40.3237,-4.08539,40.3263
Navalcarnero--piece--0-20--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895107000,0,0,0,0,,piece--0-20,Navalcarnero,1,-4.08791,40.235,-4.08288,40.2298,-4.08539,40.2324
Navalcarnero--piece--0-21--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895112000,0,0,0,0,,piece--0-21,Navalcarnero,1,-4.08791,40.2298,-4.08288,40.2246,-4.08539,40.2272
Navalcarnero--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895118000,0,0,0,0,,piece--0-3,Navalcarnero,1,-4.08791,40.3237,-4.08288,40.3185,-4.08539,40.3211
Navalcarnero--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895124000,0,0,0,0,,piece--0-4,Navalcarnero,1,-4.08791,40.3185,-4.08288,40.3133,-4.08539,40.3159
Navalcarnero--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895133000,0,0,0,0,,piece--0-5,Navalcarnero,1,-4.08791,40.3133,-4.08288,40.3081,-4.08539,40.3107
Navalcarnero--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895138000,0,0,0,0,,piece--0-6,Navalcarnero,1,-4.08791,40.3081,-4.08288,40.3029,-4.08539,40.3055
Navalcarnero--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895147000,0,0,0,0,,piece--0-7,Navalcarnero,1,-4.08791,40.3029,-4.08288,40.2976,-4.08539,40.3003
Navalcarnero--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895155000,0,0,0,0,,piece--0-8,Navalcarnero,1,-4.08791,40.2976,-4.08288,40.2924,-4.08539,40.295
Navalcarnero--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895164000,0,0,0,0,,piece--0-9,Navalcarnero,1,-4.08791,40.2924,-4.08288,40.2872,-4.08539,40.2898
Navalcarnero--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895172000,0,0,0,0,,piece--1-0,Navalcarnero,1,-4.08288,40.3394,-4.07784,40.3342,-4.08036,40.3368
Navalcarnero--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895181000,0,0,0,0,,piece--1-1,Navalcarnero,1,-4.08288,40.3342,-4.07784,40.329,-4.08036,40.3316
Navalcarnero--piece--1-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895190000,0,0,0,0,,piece--1-10,Navalcarnero,1,-4.08288,40.2872,-4.07784,40.282,-4.08036,40.2846
Navalcarnero--piece--1-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895198000,0,0,0,0,,piece--1-11,Navalcarnero,1,-4.08288,40.282,-4.07784,40.2768,-4.08036,40.2794
Navalcarnero--piece--1-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895206000,0,0,0,0,,piece--1-12,Navalcarnero,1,-4.08288,40.2768,-4.07784,40.2716,-4.08036,40.2742
Navalcarnero--piece--1-13--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895215000,0,0,0,0,,piece--1-13,Navalcarnero,1,-4.08288,40.2716,-4.07784,40.2663,-4.08036,40.2689
Navalcarnero--piece--1-14--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895223000,0,0,0,0,,piece--1-14,Navalcarnero,1,-4.08288,40.2663,-4.07784,40.2611,-4.08036,40.2637
Navalcarnero--piece--1-15--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895231000,0,0,0,0,,piece--1-15,Navalcarnero,1,-4.08288,40.2611,-4.07784,40.2559,-4.08036,40.2585
Navalcarnero--piece--1-16--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895237000,0,0,0,0,,piece--1-16,Navalcarnero,1,-4.08288,40.2559,-4.07784,40.2507,-4.08036,40.2533
Navalcarnero--piece--1-17--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895252000,0,0,0,0,,piece--1-17,Navalcarnero,1,-4.08288,40.2507,-4.07784,40.2455,-4.08036,40.2481
Navalcarnero--piece--1-18--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895261000,0,0,0,0,,piece--1-18,Navalcarnero,1,-4.08288,40.2455,-4.07784,40.2402,-4.08036,40.2429
Navalcarnero--piece--1-19--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895267000,0,0,0,0,,piece--1-19,Navalcarnero,1,-4.08288,40.2402,-4.07784,40.235,-4.08036,40.2376
Navalcarnero--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895273000,0,0,0,0,,piece--1-2,Navalcarnero,1,-4.08288,40.329,-4.07784,40.3237,-4.08036,40.3263
Navalcarnero--piece--1-20--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895278000,0,0,0,0,,piece--1-20,Navalcarnero,1,-4.08288,40.235,-4.07784,40.2298,-4.08036,40.2324
Navalcarnero--piece--1-21--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895287000,0,0,0,0,,piece--1-21,Navalcarnero,1,-4.08288,40.2298,-4.07784,40.2246,-4.08036,40.2272
Navalcarnero--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895295000,0,0,0,0,,piece--1-3,Navalcarnero,1,-4.08288,40.3237,-4.07784,40.3185,-4.08036,40.3211
Navalcarnero--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895300000,0,0,0,0,,piece--1-4,Navalcarnero,1,-4.08288,40.3185,-4.07784,40.3133,-4.08036,40.3159
Navalcarnero--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895306000,0,0,0,0,,piece--1-5,Navalcarnero,1,-4.08288,40.3133,-4.07784,40.3081,-4.08036,40.3107
Navalcarnero--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895311000,0,0,0,0,,piece--1-6,Navalcarnero,1,-4.08288,40.3081,-4.07784,40.3029,-4.08036,40.3055
Navalcarnero--piece--1-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895316000,0,0,0,0,,piece--1-7,Navalcarnero,1,-4.08288,40.3029,-4.07784,40.2976,-4.08036,40.3003
Navalcarnero--piece--1-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543895322000,0,0,0,0,,piece--1-8,Navalcarnero,1,-4.08288,40.2976,-4.07784,40.2924,-4.08036,40.295
