piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Paracuellos de Jarama--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900815000,0,0,0,0,,piece--0-0,Paracuellos de Jarama,1,-3.55441,40.5305,-3.54931,40.5249,-3.55186,40.5277
Paracuellos de Jarama--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900823000,0,0,0,0,,piece--0-1,Paracuellos de Jarama,1,-3.55441,40.5249,-3.54931,40.5194,-3.55186,40.5221
Paracuellos de Jarama--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900829000,0,0,0,0,,piece--0-2,Paracuellos de Jarama,1,-3.55441,40.5194,-3.54931,40.5138,-3.55186,40.5166
Paracuellos de Jarama--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900834000,0,0,0,0,,piece--0-3,Paracuellos de Jarama,1,-3.55441,40.5138,-3.54931,40.5083,-3.55186,40.5111
Paracuellos de Jarama--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900845000,0,0,0,0,,piece--0-4,Paracuellos de Jarama,1,-3.55441,40.5083,-3.54931,40.5028,-3.55186,40.5055
Paracuellos de Jarama--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900851000,0,0,0,0,,piece--0-5,Paracuellos de Jarama,1,-3.55441,40.5028,-3.54931,40.4972,-3.55186,40.5
Paracuellos de Jarama--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900856000,0,0,0,0,,piece--0-6,Paracuellos de Jarama,1,-3.55441,40.4972,-3.54931,40.4917,-3.55186,40.4944
Paracuellos de Jarama--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900865000,0,0,0,0,,piece--1-0,Paracuellos de Jarama,1,-3.54931,40.5305,-3.54422,40.5249,-3.54677,40.5277
Paracuellos de Jarama--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900873000,0,0,0,0,,piece--1-1,Paracuellos de Jarama,1,-3.54931,40.5249,-3.54422,40.5194,-3.54677,40.5221
Paracuellos de Jarama--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900881000,0,0,0,0,,piece--1-2,Paracuellos de Jarama,1,-3.54931,40.5194,-3.54422,40.5138,-3.54677,40.5166
Paracuellos de Jarama--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900887000,0,0,0,0,,piece--1-3,Paracuellos de Jarama,1,-3.54931,40.5138,-3.54422,40.5083,-3.54677,40.5111
Paracuellos de Jarama--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900898000,0,0,0,0,,piece--1-4,Paracuellos de Jarama,1,-3.54931,40.5083,-3.54422,40.5028,-3.54677,40.5055
Paracuellos de Jarama--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900909000,2301.86,4,7.52212,1,,piece--1-5,Paracuellos de Jarama,1,-3.54931,40.5028,-3.54422,40.4972,-3.54677,40.5
Paracuellos de Jarama--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900917000,0,0,0,0,,piece--1-6,Paracuellos de Jarama,1,-3.54931,40.4972,-3.54422,40.4917,-3.54677,40.4944
Paracuellos de Jarama--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900925000,1352.01,6,0,0,,piece--2-0,Paracuellos de Jarama,1,-3.54422,40.5305,-3.53912,40.5249,-3.54167,40.5277
Paracuellos de Jarama--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900937000,1713.79,3,0,0,,piece--2-1,Paracuellos de Jarama,1,-3.54422,40.5249,-3.53912,40.5194,-3.54167,40.5221
Paracuellos de Jarama--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900945000,1431.36,3,0,0,,piece--2-2,Paracuellos de Jarama,1,-3.54422,40.5194,-3.53912,40.5138,-3.54167,40.5166
Paracuellos de Jarama--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900954000,0,0,0,0,,piece--2-3,Paracuellos de Jarama,1,-3.54422,40.5138,-3.53912,40.5083,-3.54167,40.5111
Paracuellos de Jarama--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900962000,0,0,0,0,,piece--2-4,Paracuellos de Jarama,1,-3.54422,40.5083,-3.53912,40.5028,-3.54167,40.5055
Paracuellos de Jarama--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900968000,0,0,0,0,,piece--2-5,Paracuellos de Jarama,1,-3.54422,40.5028,-3.53912,40.4972,-3.54167,40.5
Paracuellos de Jarama--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900978000,0,0,0,0,,piece--2-6,Paracuellos de Jarama,1,-3.54422,40.4972,-3.53912,40.4917,-3.54167,40.4944
Paracuellos de Jarama--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900983000,1044.08,3,0,0,,piece--3-0,Paracuellos de Jarama,1,-3.53912,40.5305,-3.53402,40.5249,-3.53657,40.5277
Paracuellos de Jarama--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900992000,1445.61,1,0,0,,piece--3-1,Paracuellos de Jarama,1,-3.53912,40.5249,-3.53402,40.5194,-3.53657,40.5221
Paracuellos de Jarama--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543900998000,1545.35,3,2.66667,1,,piece--3-2,Paracuellos de Jarama,1,-3.53912,40.5194,-3.53402,40.5138,-3.53657,40.5166
Paracuellos de Jarama--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901003000,2700,1,0,0,,piece--3-3,Paracuellos de Jarama,1,-3.53912,40.5138,-3.53402,40.5083,-3.53657,40.5111
Paracuellos de Jarama--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901011000,1091.05,1,11.5625,1,,piece--3-4,Paracuellos de Jarama,1,-3.53912,40.5083,-3.53402,40.5028,-3.53657,40.5055
Paracuellos de Jarama--piece--3-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901022000,0,0,0,0,,piece--3-5,Paracuellos de Jarama,1,-3.53912,40.5028,-3.53402,40.4972,-3.53657,40.5
Paracuellos de Jarama--piece--3-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901033000,0,0,0,0,,piece--3-6,Paracuellos de Jarama,1,-3.53912,40.4972,-3.53402,40.4917,-3.53657,40.4944
Paracuellos de Jarama--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901038000,666.667,1,0,0,,piece--4-0,Paracuellos de Jarama,1,-3.53402,40.5305,-3.52892,40.5249,-3.53147,40.5277
Paracuellos de Jarama--piece--4-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901044000,0,0,0,0,,piece--4-1,Paracuellos de Jarama,1,-3.53402,40.5249,-3.52892,40.5194,-3.53147,40.5221
