piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Pozuelo de Alarcón--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901371000,2771.07,13,13.8966,5,,piece--0-0,Pozuelo de Alarcón,1,-3.86313,40.4664,-3.858,40.461,-3.86057,40.4637
Pozuelo de Alarcón--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901378000,3599.91,18,12.8452,9,,piece--0-1,Pozuelo de Alarcón,1,-3.86313,40.461,-3.858,40.4557,-3.86057,40.4584
Pozuelo de Alarcón--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901386000,0,0,0,0,,piece--0-10,Pozuelo de Alarcón,1,-3.86313,40.4133,-3.858,40.408,-3.86057,40.4106
Pozuelo de Alarcón--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901391000,0,0,0,0,,piece--0-11,Pozuelo de Alarcón,1,-3.86313,40.408,-3.858,40.4026,-3.86057,40.4053
Pozuelo de Alarcón--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901397000,0,0,0,0,,piece--0-12,Pozuelo de Alarcón,1,-3.86313,40.4026,-3.858,40.3973,-3.86057,40.4
Pozuelo de Alarcón--piece--0-13--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901402000,0,0,0,0,,piece--0-13,Pozuelo de Alarcón,1,-3.86313,40.3973,-3.858,40.392,-3.86057,40.3947
Pozuelo de Alarcón--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901419000,3343.18,2,10.359,2,,piece--0-2,Pozuelo de Alarcón,1,-3.86313,40.4557,-3.858,40.4504,-3.86057,40.4531
Pozuelo de Alarcón--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901425000,3320.03,8,10.4798,8,,piece--0-3,Pozuelo de Alarcón,1,-3.86313,40.4504,-3.858,40.4451,-3.86057,40.4478
Pozuelo de Alarcón--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901434000,954.695,5,8.93227,4,,piece--0-4,Pozuelo de Alarcón,1,-3.86313,40.4451,-3.858,40.4398,-3.86057,40.4425
Pozuelo de Alarcón--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901439000,2.50838,5,9.67767,5,,piece--0-5,Pozuelo de Alarcón,1,-3.86313,40.4398,-3.858,40.4345,-3.86057,40.4372
Pozuelo de Alarcón--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901448000,0,0,0,0,,piece--0-6,Pozuelo de Alarcón,1,-3.86313,40.4345,-3.858,40.4292,-3.86057,40.4318
Pozuelo de Alarcón--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901457000,0,0,0,0,,piece--0-7,Pozuelo de Alarcón,1,-3.86313,40.4292,-3.858,40.4239,-3.86057,40.4265
Pozuelo de Alarcón--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543901468000,0,0,0,0,,piece--0-8,Pozuelo de Alarcón,1,-3.86313,40.4239,-3.858,40.4186,-3.86057,40.4212
