piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
San Fernando de Henares--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904318000,0,0,0,0,,piece--0-0,San Fernando de Henares,1,-3.538,40.4729,-3.53291,40.4678,-3.53546,40.4703
San Fernando de Henares--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904323000,0,0,0,0,,piece--0-1,San Fernando de Henares,1,-3.538,40.4678,-3.53291,40.4627,-3.53546,40.4652
San Fernando de Henares--piece--0-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904332000,1920.28,4,0,0,,piece--0-10,San Fernando de Henares,1,-3.538,40.4218,-3.53291,40.4167,-3.53546,40.4193
San Fernando de Henares--piece--0-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904344000,0,0,0,0,,piece--0-11,San Fernando de Henares,1,-3.538,40.4167,-3.53291,40.4116,-3.53546,40.4142
San Fernando de Henares--piece--0-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904352000,0,0,0,0,,piece--0-12,San Fernando de Henares,1,-3.538,40.4116,-3.53291,40.4065,-3.53546,40.4091
San Fernando de Henares--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904363000,0,0,0,0,,piece--0-2,San Fernando de Henares,1,-3.538,40.4627,-3.53291,40.4576,-3.53546,40.4601
San Fernando de Henares--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904368000,0,0,0,0,,piece--0-3,San Fernando de Henares,1,-3.538,40.4576,-3.53291,40.4525,-3.53546,40.455
San Fernando de Henares--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904374000,0,0,0,0,,piece--0-4,San Fernando de Henares,1,-3.538,40.4525,-3.53291,40.4474,-3.53546,40.4499
San Fernando de Henares--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904379000,0,0,0,0,,piece--0-5,San Fernando de Henares,1,-3.538,40.4474,-3.53291,40.4423,-3.53546,40.4448
San Fernando de Henares--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904390000,1627.76,3,0,0,,piece--0-6,San Fernando de Henares,1,-3.538,40.4423,-3.53291,40.4372,-3.53546,40.4397
San Fernando de Henares--piece--0-7--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904396000,1662.77,3,0,0,,piece--0-7,San Fernando de Henares,1,-3.538,40.4372,-3.53291,40.4321,-3.53546,40.4346
San Fernando de Henares--piece--0-8--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904401000,1977.28,5,0,0,,piece--0-8,San Fernando de Henares,1,-3.538,40.4321,-3.53291,40.427,-3.53546,40.4295
San Fernando de Henares--piece--0-9--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904408000,1925.25,28,12.2807,1,,piece--0-9,San Fernando de Henares,1,-3.538,40.427,-3.53291,40.4218,-3.53546,40.4244
San Fernando de Henares--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904416000,0,0,0,0,,piece--1-0,San Fernando de Henares,1,-3.53291,40.4729,-3.52781,40.4678,-3.53036,40.4703
San Fernando de Henares--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904425000,0,0,0,0,,piece--1-1,San Fernando de Henares,1,-3.53291,40.4678,-3.52781,40.4627,-3.53036,40.4652
San Fernando de Henares--piece--1-10--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904436000,1964.71,1,0,0,,piece--1-10,San Fernando de Henares,1,-3.53291,40.4218,-3.52781,40.4167,-3.53036,40.4193
San Fernando de Henares--piece--1-11--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904445000,0,0,0,0,,piece--1-11,San Fernando de Henares,1,-3.53291,40.4167,-3.52781,40.4116,-3.53036,40.4142
San Fernando de Henares--piece--1-12--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543904450000,0,0,0,0,,piece--1-12,San Fernando de Henares,1,-3.53291,40.4116,-3.52781,40.4065,-3.53036,40.4091
