cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
2800601001,Alcobendas--2800601001--,2130.58,6,12.9545,2,
2800601002,Alcobendas--2800601002--,2050.08,11,11.9062,2,
2800601003,Alcobendas--2800601003--,2322.53,18,0,0,
2800601004,Alcobendas--2800601004--,2241,10,0,0,
2800601005,Alcobendas--2800601005--,2078.15,8,8.57143,1,
2800601006,Alcobendas--2800601006--,1982.85,6,9.28571,2,
2800601007,Alcobendas--2800601007--,2378.01,2,10,1,
2800601008,Alcobendas--2800601008--,2045.46,2,0,0,
2800601009,Alcobendas--2800601009--,2320.08,12,10.625,2,
2800601011,Alcobendas--2800601011--,2800,1,0,0,
2800601012,Alcobendas--2800601012--,1715.18,2,0,0,
2800601013,Alcobendas--2800601013--,2800,1,0,0,
2800601014,Alcobendas--2800601014--,2119.44,3,13.8462,1,
2800601015,Alcobendas--2800601015--,2820.34,3,0,0,
2800601016,Alcobendas--2800601016--,2405.21,10,11.25,1,
2800601017,Alcobendas--2800601017--,2235.02,11,12.9945,2,
2800601018,Alcobendas--2800601018--,2167.7,11,11.2015,3,
2800601019,Alcobendas--2800601019--,1886.36,5,10.7308,2,
2800601020,Alcobendas--2800601020--,2121.91,3,10.7308,2,
2800601021,Alcobendas--2800601021--,2779.19,4,13.5714,1,
2800601022,Alcobendas--2800601022--,2319.63,5,11.0938,1,
2800601023,Alcobendas--2800601023--,2114.54,3,0,0,
2800601024,Alcobendas--2800601024--,1721.28,6,0,0,
2800601025,Alcobendas--2800601025--,2073.2,14,11.8056,1,
2800601026,Alcobendas--2800601026--,2625,1,11.4497,2,
2800601027,Alcobendas--2800601027--,2413.33,3,0,0,
2800601028,Alcobendas--2800601028--,2368.42,1,10.625,1,
2800601029,Alcobendas--2800601029--,0,0,0,0,
2800601030,Alcobendas--2800601030--,2417.24,17,11.43,7,
2800601031,Alcobendas--2800601031--,2721.34,10,12.5036,4,
2800601032,Alcobendas--2800601032--,2300.32,14,12.6271,1,
2800601033,Alcobendas--2800601033--,1361.51,30,13.4445,26,
2800601034,Alcobendas--2800601034--,1744.19,30,13.0694,19,
2800601035,Alcobendas--2800601035--,814.088,30,13.4994,30,
2800601036,Alcobendas--2800601036--,4.39037,30,14.4255,30,
2800601037,Alcobendas--2800601037--,1242.37,30,13.4344,29,
2800601038,Alcobendas--2800601038--,3065.96,6,9.9,1,
2800601039,Alcobendas--2800601039--,2581.08,22,13.8011,7,
2800601040,Alcobendas--2800601040--,324.068,30,14.6438,8,
2800601041,Alcobendas--2800601041--,1805.4,29,13.6661,12,
2800601042,Alcobendas--2800601042--,2172.37,7,8.57143,1,
2800601043,Alcobendas--2800601043--,2212.54,8,12.9945,2,
2800601044,Alcobendas--2800601044--,3246.39,8,0,0,
2800601045,Alcobendas--2800601045--,2446.08,7,0,0,
2800601046,Alcobendas--2800601046--,2343.43,18,10,1,
2800601047,Alcobendas--2800601047--,2798.43,4,12.6885,2,
2800601048,Alcobendas--2800601048--,1587.06,30,13.7068,19,
2800601049,Alcobendas--2800601049--,2917.23,3,0,0,
2800601050,Alcobendas--2800601050--,0,0,0,0,
2800601051,Alcobendas--2800601051--,3361.16,6,12.1638,2,
2800601052,Alcobendas--2800601052--,3133.1,14,8.93333,3,
