cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Alcobendas--piece--0-0--,0,0,0,0,
piece,Alcobendas--piece--0-1--,0,0,0,0,
piece,Alcobendas--piece--0-2--,0,0,0,0,
piece,Alcobendas--piece--0-3--,0,0,0,0,
piece,Alcobendas--piece--0-4--,0,0,0,0,
piece,Alcobendas--piece--0-5--,0,0,0,0,
piece,Alcobendas--piece--0-6--,0,0,0,0,
piece,Alcobendas--piece--0-7--,0,0,0,0,
piece,Alcobendas--piece--1-0--,0,0,28,2,
piece,Alcobendas--piece--1-1--,0,0,0,0,
piece,Alcobendas--piece--1-2--,0,0,0,0,
piece,Alcobendas--piece--1-3--,0,0,0,0,
piece,Alcobendas--piece--1-4--,0,0,0,0,
piece,Alcobendas--piece--1-5--,0,0,0,0,
piece,Alcobendas--piece--1-6--,0,0,0,0,
piece,Alcobendas--piece--1-7--,0,0,0,0,
piece,Alcobendas--piece--2-0--,0,0,22,5,
piece,Alcobendas--piece--2-1--,0,0,0,0,
piece,Alcobendas--piece--2-2--,0,0,0,0,
piece,Alcobendas--piece--2-3--,0,0,0,0,
piece,Alcobendas--piece--2-4--,0,0,0,0,
piece,Alcobendas--piece--2-5--,0,0,0,0,
piece,Alcobendas--piece--2-6--,0,0,0,0,
piece,Alcobendas--piece--2-7--,0,0,0,0,
piece,Alcobendas--piece--3-0--,0,0,0,0,
piece,Alcobendas--piece--3-1--,0,0,0,0,
piece,Alcobendas--piece--3-2--,0,0,64,2,
piece,Alcobendas--piece--3-3--,0,0,21,2,
piece,Alcobendas--piece--3-4--,0,0,0,0,
piece,Alcobendas--piece--3-5--,0,0,0,0,
piece,Alcobendas--piece--3-6--,0,0,159,1,
piece,Alcobendas--piece--3-7--,0,0,0,0,
piece,Alcobendas--piece--4-0--,0,0,0,0,
piece,Alcobendas--piece--4-1--,0,0,24,2,
piece,Alcobendas--piece--4-2--,0,0,31,6,
piece,Alcobendas--piece--4-3--,0,0,0,0,
piece,Alcobendas--piece--4-4--,0,0,77,2,
piece,Alcobendas--piece--4-5--,0,0,0,0,
piece,Alcobendas--piece--4-6--,0,0,229,1,
piece,Alcobendas--piece--4-7--,0,0,159,4,
piece,Alcobendas--piece--5-0--,0,0,53,4,
piece,Alcobendas--piece--5-1--,0,0,0,0,
piece,Alcobendas--piece--5-2--,0,0,29,6,
piece,Alcobendas--piece--5-3--,0,0,0,0,
piece,Alcobendas--piece--5-4--,0,0,0,0,
piece,Alcobendas--piece--5-5--,0,0,19,1,
piece,Alcobendas--piece--5-6--,0,0,0,0,
piece,Alcobendas--piece--5-7--,0,0,0,0,
piece,Alcobendas--piece--6-0--,0,0,27,4,
piece,Alcobendas--piece--6-1--,0,0,61,3,
piece,Alcobendas--piece--6-2--,0,0,20,5,
piece,Alcobendas--piece--6-3--,0,0,19,1,
piece,Alcobendas--piece--6-4--,0,0,0,0,
piece,Alcobendas--piece--6-5--,0,0,0,0,
piece,Alcobendas--piece--6-6--,0,0,0,0,
piece,Alcobendas--piece--6-7--,0,0,0,0,
piece,Alcobendas--piece--7-0--,0,0,79,1,
piece,Alcobendas--piece--7-1--,0,0,30,2,
piece,Alcobendas--piece--7-2--,0,0,58,6,
piece,Alcobendas--piece--7-3--,0,0,120,1,
piece,Alcobendas--piece--7-4--,0,0,0,0,
piece,Alcobendas--piece--7-5--,0,0,0,0,
piece,Alcobendas--piece--7-6--,0,0,0,0,
piece,Alcobendas--piece--7-7--,0,0,0,0,
