cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Alcorcón--piece--0-0--,0,0,0,0,
piece,Alcorcón--piece--0-1--,0,0,0,0,
piece,Alcorcón--piece--0-2--,0,0,0,0,
piece,Alcorcón--piece--0-3--,0,0,0,0,
piece,Alcorcón--piece--0-4--,0,0,0,0,
piece,Alcorcón--piece--0-5--,0,0,24,1,
piece,Alcorcón--piece--0-6--,0,0,0,0,
piece,Alcorcón--piece--0-7--,0,0,34,4,
piece,Alcorcón--piece--1-0--,0,0,0,0,
piece,Alcorcón--piece--1-1--,0,0,0,0,
piece,Alcorcón--piece--1-2--,0,0,0,0,
piece,Alcorcón--piece--1-3--,0,0,0,0,
piece,Alcorcón--piece--1-4--,0,0,0,0,
piece,Alcorcón--piece--1-5--,0,0,0,0,
piece,Alcorcón--piece--1-6--,0,0,0,0,
piece,Alcorcón--piece--1-7--,0,0,0,0,
piece,Alcorcón--piece--10-0--,0,0,0,0,
piece,Alcorcón--piece--10-1--,0,0,0,0,
piece,Alcorcón--piece--10-2--,0,0,0,0,
piece,Alcorcón--piece--10-3--,0,0,0,0,
piece,Alcorcón--piece--10-4--,0,0,0,0,
piece,Alcorcón--piece--10-5--,0,0,0,0,
piece,Alcorcón--piece--10-6--,0,0,0,0,
piece,Alcorcón--piece--10-7--,0,0,0,0,
piece,Alcorcón--piece--11-0--,0,0,0,0,
piece,Alcorcón--piece--11-1--,0,0,0,0,
piece,Alcorcón--piece--11-2--,0,0,24,3,
piece,Alcorcón--piece--11-3--,0,0,0,0,
piece,Alcorcón--piece--11-4--,0,0,0,0,
piece,Alcorcón--piece--11-5--,0,0,0,0,
piece,Alcorcón--piece--11-6--,0,0,0,0,
piece,Alcorcón--piece--11-7--,0,0,0,0,
piece,Alcorcón--piece--2-0--,0,0,0,0,
piece,Alcorcón--piece--2-1--,0,0,0,0,
piece,Alcorcón--piece--2-2--,0,0,0,0,
piece,Alcorcón--piece--2-3--,0,0,0,0,
piece,Alcorcón--piece--2-4--,0,0,0,0,
piece,Alcorcón--piece--2-5--,0,0,0,0,
piece,Alcorcón--piece--2-6--,0,0,0,0,
piece,Alcorcón--piece--2-7--,0,0,0,0,
piece,Alcorcón--piece--3-0--,0,0,0,0,
piece,Alcorcón--piece--3-1--,0,0,0,0,
piece,Alcorcón--piece--3-2--,0,0,0,0,
piece,Alcorcón--piece--3-3--,0,0,0,0,
piece,Alcorcón--piece--3-4--,0,0,33,1,
piece,Alcorcón--piece--3-5--,0,0,0,0,
piece,Alcorcón--piece--3-6--,0,0,50,1,
piece,Alcorcón--piece--3-7--,0,0,0,0,
piece,Alcorcón--piece--4-0--,0,0,0,0,
piece,Alcorcón--piece--4-1--,0,0,0,0,
piece,Alcorcón--piece--4-2--,0,0,0,0,
piece,Alcorcón--piece--4-3--,0,0,0,0,
piece,Alcorcón--piece--4-4--,0,0,0,0,
piece,Alcorcón--piece--4-5--,0,0,29,1,
piece,Alcorcón--piece--4-6--,0,0,21,2,
piece,Alcorcón--piece--4-7--,0,0,0,0,
piece,Alcorcón--piece--5-0--,0,0,0,0,
piece,Alcorcón--piece--5-1--,0,0,0,0,
piece,Alcorcón--piece--5-2--,0,0,0,0,
piece,Alcorcón--piece--5-3--,0,0,31,5,
piece,Alcorcón--piece--5-4--,0,0,21,1,
piece,Alcorcón--piece--5-5--,0,0,0,0,
piece,Alcorcón--piece--5-6--,0,0,0,0,
piece,Alcorcón--piece--5-7--,0,0,0,0,
piece,Alcorcón--piece--6-0--,0,0,0,0,
piece,Alcorcón--piece--6-1--,0,0,0,0,
piece,Alcorcón--piece--6-2--,0,0,0,0,
piece,Alcorcón--piece--6-3--,0,0,17,2,
piece,Alcorcón--piece--6-4--,0,0,36,3,
piece,Alcorcón--piece--6-5--,0,0,0,0,
piece,Alcorcón--piece--6-6--,0,0,21,1,
piece,Alcorcón--piece--6-7--,0,0,42,1,
piece,Alcorcón--piece--7-0--,0,0,0,0,
piece,Alcorcón--piece--7-1--,0,0,0,0,
piece,Alcorcón--piece--7-2--,0,0,0,0,
piece,Alcorcón--piece--7-3--,0,0,46,3,
piece,Alcorcón--piece--7-4--,0,0,0,0,
piece,Alcorcón--piece--7-5--,0,0,0,0,
piece,Alcorcón--piece--7-6--,0,0,0,0,
piece,Alcorcón--piece--7-7--,0,0,0,0,
piece,Alcorcón--piece--8-0--,0,0,0,0,
piece,Alcorcón--piece--8-1--,0,0,0,0,
piece,Alcorcón--piece--8-2--,0,0,21,1,
piece,Alcorcón--piece--8-3--,0,0,150,2,
piece,Alcorcón--piece--8-4--,0,0,33,1,
piece,Alcorcón--piece--8-5--,0,0,0,0,
piece,Alcorcón--piece--8-6--,0,0,0,0,
piece,Alcorcón--piece--8-7--,0,0,0,0,
piece,Alcorcón--piece--9-0--,0,0,0,0,
piece,Alcorcón--piece--9-1--,0,0,0,0,
piece,Alcorcón--piece--9-2--,0,0,14,3,
piece,Alcorcón--piece--9-3--,0,0,0,0,
piece,Alcorcón--piece--9-4--,0,0,0,0,
piece,Alcorcón--piece--9-5--,0,0,0,0,
piece,Alcorcón--piece--9-6--,0,0,0,0,
piece,Alcorcón--piece--9-7--,0,0,0,0,
