cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Aranjuez--piece--0-0--,0,0,0,0,
piece,Aranjuez--piece--0-1--,0,0,0,0,
piece,Aranjuez--piece--0-2--,0,0,0,0,
piece,Aranjuez--piece--0-3--,0,0,0,0,
piece,Aranjuez--piece--0-4--,0,0,0,0,
piece,Aranjuez--piece--1-0--,0,0,0,0,
piece,Aranjuez--piece--1-1--,0,0,0,0,
piece,Aranjuez--piece--1-2--,0,0,0,0,
piece,Aranjuez--piece--1-3--,0,0,0,0,
piece,Aranjuez--piece--1-4--,0,0,0,0,
piece,Aranjuez--piece--10-0--,0,0,0,0,
piece,Aranjuez--piece--10-1--,0,0,0,0,
piece,Aranjuez--piece--10-2--,0,0,0,0,
piece,Aranjuez--piece--10-3--,0,0,0,0,
piece,Aranjuez--piece--10-4--,0,0,0,0,
piece,Aranjuez--piece--11-0--,0,0,0,0,
piece,Aranjuez--piece--11-1--,0,0,0,0,
piece,Aranjuez--piece--11-2--,0,0,0,0,
piece,Aranjuez--piece--11-3--,0,0,0,0,
piece,Aranjuez--piece--11-4--,0,0,0,0,
piece,Aranjuez--piece--12-0--,0,0,0,0,
piece,Aranjuez--piece--12-1--,0,0,0,0,
piece,Aranjuez--piece--12-2--,0,0,0,0,
piece,Aranjuez--piece--12-3--,0,0,0,0,
piece,Aranjuez--piece--12-4--,0,0,0,0,
piece,Aranjuez--piece--13-0--,0,0,0,0,
piece,Aranjuez--piece--13-1--,0,0,0,0,
piece,Aranjuez--piece--13-2--,0,0,0,0,
piece,Aranjuez--piece--13-3--,0,0,0,0,
piece,Aranjuez--piece--13-4--,0,0,0,0,
piece,Aranjuez--piece--2-0--,0,0,0,0,
piece,Aranjuez--piece--2-1--,0,0,0,0,
piece,Aranjuez--piece--2-2--,0,0,0,0,
piece,Aranjuez--piece--2-3--,0,0,0,0,
piece,Aranjuez--piece--2-4--,0,0,0,0,
piece,Aranjuez--piece--3-0--,0,0,0,0,
piece,Aranjuez--piece--3-1--,0,0,0,0,
piece,Aranjuez--piece--3-2--,0,0,0,0,
piece,Aranjuez--piece--3-3--,0,0,0,0,
piece,Aranjuez--piece--3-4--,0,0,0,0,
piece,Aranjuez--piece--4-0--,0,0,0,0,
piece,Aranjuez--piece--4-1--,0,0,0,0,
piece,Aranjuez--piece--4-2--,0,0,0,0,
piece,Aranjuez--piece--4-3--,0,0,0,0,
piece,Aranjuez--piece--4-4--,0,0,0,0,
piece,Aranjuez--piece--5-0--,0,0,0,0,
piece,Aranjuez--piece--5-1--,0,0,0,0,
piece,Aranjuez--piece--5-2--,0,0,29,1,
piece,Aranjuez--piece--5-3--,0,0,14,1,
piece,Aranjuez--piece--5-4--,0,0,0,0,
piece,Aranjuez--piece--6-0--,0,0,0,0,
piece,Aranjuez--piece--6-1--,0,0,0,0,
piece,Aranjuez--piece--6-2--,0,0,0,0,
piece,Aranjuez--piece--6-3--,0,0,33,6,
piece,Aranjuez--piece--6-4--,0,0,0,0,
piece,Aranjuez--piece--7-0--,0,0,0,0,
piece,Aranjuez--piece--7-1--,0,0,0,0,
piece,Aranjuez--piece--7-2--,0,0,44,1,
piece,Aranjuez--piece--7-3--,0,0,28,1,
piece,Aranjuez--piece--7-4--,0,0,0,0,
piece,Aranjuez--piece--8-0--,0,0,0,0,
piece,Aranjuez--piece--8-1--,0,0,46,3,
piece,Aranjuez--piece--8-2--,0,0,48,3,
piece,Aranjuez--piece--8-3--,0,0,20,2,
piece,Aranjuez--piece--8-4--,0,0,0,0,
piece,Aranjuez--piece--9-0--,0,0,0,0,
piece,Aranjuez--piece--9-1--,0,0,0,0,
piece,Aranjuez--piece--9-2--,0,0,34,1,
piece,Aranjuez--piece--9-3--,0,0,0,0,
piece,Aranjuez--piece--9-4--,0,0,0,0,
