cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Algete--piece--0-0--,0,0,0,0,
piece,Algete--piece--0-1--,0,0,0,0,
piece,Algete--piece--0-2--,0,0,0,0,
piece,Algete--piece--0-3--,0,0,0,0,
piece,Algete--piece--1-0--,0,0,0,0,
piece,Algete--piece--1-1--,0,0,0,1,
piece,Algete--piece--1-2--,0,0,0,0,
piece,Algete--piece--1-3--,0,0,0,0,
piece,Algete--piece--2-0--,0,0,0,0,
piece,Algete--piece--2-1--,0,0,0,0,
piece,Algete--piece--2-2--,0,0,0,0,
piece,Algete--piece--2-3--,0,0,0,1,
piece,Algete--piece--3-0--,0,0,0,1,
piece,Algete--piece--3-1--,0,0,0,1,
piece,Algete--piece--3-2--,0,0,0,0,
piece,Algete--piece--3-3--,0,0,0,0,
