cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Ciempozuelos--piece--0-0--,0,0,0,0,
piece,Ciempozuelos--piece--0-1--,0,0,0,0,
piece,Ciempozuelos--piece--0-2--,0,0,0,0,
piece,Ciempozuelos--piece--0-3--,0,0,0,0,
piece,Ciempozuelos--piece--1-0--,0,0,0,0,
piece,Ciempozuelos--piece--1-1--,0,0,2,1,
piece,Ciempozuelos--piece--1-2--,0,0,0,0,
piece,Ciempozuelos--piece--1-3--,0,0,1,1,
piece,Ciempozuelos--piece--2-0--,0,0,0,1,
piece,Ciempozuelos--piece--2-1--,0,0,0,3,
piece,Ciempozuelos--piece--2-2--,0,0,0,2,
piece,Ciempozuelos--piece--2-3--,0,0,0,1,
piece,Ciempozuelos--piece--3-0--,0,0,0,0,
piece,Ciempozuelos--piece--3-1--,0,0,0,3,
piece,Ciempozuelos--piece--3-2--,0,0,2,2,
piece,Ciempozuelos--piece--3-3--,0,0,0,0,
piece,Ciempozuelos--piece--4-0--,0,0,0,0,
piece,Ciempozuelos--piece--4-1--,0,0,0,0,
piece,Ciempozuelos--piece--4-2--,0,0,0,0,
piece,Ciempozuelos--piece--4-3--,0,0,0,0,
piece,Ciempozuelos--piece--5-0--,0,0,0,0,
piece,Ciempozuelos--piece--5-1--,0,0,0,0,
piece,Ciempozuelos--piece--5-2--,0,0,0,0,
piece,Ciempozuelos--piece--5-3--,0,0,0,0,
