cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Arroyomolinos--piece--0-0--,0,0,0,0,
piece,Arroyomolinos--piece--0-1--,0,0,0,0,
piece,Arroyomolinos--piece--0-2--,1405.13,2,0,0,
piece,Arroyomolinos--piece--0-3--,1832.17,10,4.64286,2,
piece,Arroyomolinos--piece--0-4--,1615.38,1,0,0,
piece,Arroyomolinos--piece--0-5--,0,0,0,0,
piece,Arroyomolinos--piece--0-6--,0,0,0,0,
piece,Arroyomolinos--piece--1-0--,0,0,0,0,
piece,Arroyomolinos--piece--1-1--,0,0,0,0,
piece,Arroyomolinos--piece--1-2--,1457.84,8,0,0,
piece,Arroyomolinos--piece--1-3--,1639.24,12,8.98876,1,
piece,Arroyomolinos--piece--1-4--,1415.28,20,5.20783,5,
piece,Arroyomolinos--piece--1-5--,1319.21,6,0,0,
piece,Arroyomolinos--piece--1-6--,1116.2,13,0,0,
piece,Arroyomolinos--piece--2-0--,0,0,0,0,
piece,Arroyomolinos--piece--2-1--,1546.11,2,0,0,
piece,Arroyomolinos--piece--2-2--,2099.46,20,5.38462,1,
piece,Arroyomolinos--piece--2-3--,1894.14,15,11.4215,2,
piece,Arroyomolinos--piece--2-4--,1651.37,25,8.53878,4,
piece,Arroyomolinos--piece--2-5--,1511.69,29,10.7486,3,
piece,Arroyomolinos--piece--2-6--,1418.86,6,0,0,
piece,Arroyomolinos--piece--3-0--,1485.71,17,0,0,
piece,Arroyomolinos--piece--3-1--,1315.8,16,0,0,
piece,Arroyomolinos--piece--3-2--,1605.56,10,6.81818,1,
piece,Arroyomolinos--piece--3-3--,1530.03,13,3.81526,1,
piece,Arroyomolinos--piece--3-4--,1680.74,8,10.8611,2,
piece,Arroyomolinos--piece--3-5--,1153.95,10,3.62998,1,
piece,Arroyomolinos--piece--3-6--,1296.1,26,5.15873,1,
piece,Arroyomolinos--piece--4-0--,0,0,0,0,
piece,Arroyomolinos--piece--4-1--,0,0,0,0,
piece,Arroyomolinos--piece--4-2--,0,0,0,0,
piece,Arroyomolinos--piece--4-3--,0,0,0,0,
piece,Arroyomolinos--piece--4-4--,1559.98,8,0,0,
piece,Arroyomolinos--piece--4-5--,1286.52,7,0,0,
piece,Arroyomolinos--piece--4-6--,1900,2,0,0,
piece,Arroyomolinos--piece--5-0--,0,0,0,0,
piece,Arroyomolinos--piece--5-1--,0,0,0,0,
piece,Arroyomolinos--piece--5-2--,0,0,0,0,
piece,Arroyomolinos--piece--5-3--,0,0,0,0,
piece,Arroyomolinos--piece--5-4--,1276.59,11,0,0,
piece,Arroyomolinos--piece--5-5--,1441.67,6,0,0,
piece,Arroyomolinos--piece--5-6--,0,0,0,0,
