cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Las Rozas de Madrid--piece--0-0--,3458.18,12,11.4286,5,
piece,Las Rozas de Madrid--piece--0-1--,3555.16,20,12.3734,6,
piece,Las Rozas de Madrid--piece--0-2--,3864.45,6,0,0,
piece,Las Rozas de Madrid--piece--0-3--,0,0,0,0,
piece,Las Rozas de Madrid--piece--0-4--,0,0,0,0,
piece,Las Rozas de Madrid--piece--0-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--1-2--,1559.29,6,7,1,
piece,Las Rozas de Madrid--piece--1-3--,3219.11,2,5.59441,1,
piece,Las Rozas de Madrid--piece--1-4--,2601.39,9,8.33333,1,
piece,Las Rozas de Madrid--piece--1-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--2-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--2-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--2-2--,3061.73,10,9.78098,3,
piece,Las Rozas de Madrid--piece--2-3--,2400.28,5,14.6154,1,
piece,Las Rozas de Madrid--piece--2-4--,2187.07,12,11.648,3,
piece,Las Rozas de Madrid--piece--2-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--3-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--3-1--,3318.69,9,12.5329,6,
piece,Las Rozas de Madrid--piece--3-2--,2655.76,16,8.13492,7,
piece,Las Rozas de Madrid--piece--3-3--,2667.62,27,10.4943,8,
piece,Las Rozas de Madrid--piece--3-4--,1759.97,6,11.1782,8,
piece,Las Rozas de Madrid--piece--3-5--,0,0,0,0,
piece,Las Rozas de Madrid--piece--4-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--4-1--,2.4024,1,0,0,
piece,Las Rozas de Madrid--piece--4-2--,1664.96,15,5.14286,1,
piece,Las Rozas de Madrid--piece--4-3--,2959.94,27,10.8313,8,
piece,Las Rozas de Madrid--piece--4-4--,3062.87,11,11.6379,1,
piece,Las Rozas de Madrid--piece--4-5--,2563.55,9,10.8748,4,
piece,Las Rozas de Madrid--piece--5-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--5-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--5-2--,2373.12,2,0,0,
piece,Las Rozas de Madrid--piece--5-3--,3367.77,30,13.8876,12,
piece,Las Rozas de Madrid--piece--5-4--,2391.69,7,11.5883,3,
piece,Las Rozas de Madrid--piece--5-5--,1835.44,5,9.65517,1,
piece,Las Rozas de Madrid--piece--6-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--6-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--6-2--,2018.32,5,12.5,1,
piece,Las Rozas de Madrid--piece--6-3--,2396.83,10,9.45213,2,
piece,Las Rozas de Madrid--piece--6-4--,2433.55,20,9.20763,3,
piece,Las Rozas de Madrid--piece--6-5--,2499.15,9,11.5771,2,
piece,Las Rozas de Madrid--piece--7-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--7-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--7-2--,0,0,0,0,
piece,Las Rozas de Madrid--piece--7-3--,2980.77,15,0,0,
piece,Las Rozas de Madrid--piece--7-4--,1430,1,6.62857,1,
piece,Las Rozas de Madrid--piece--7-5--,1559.19,15,7.91035,7,
piece,Las Rozas de Madrid--piece--8-0--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-1--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-2--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-3--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-4--,0,0,0,0,
piece,Las Rozas de Madrid--piece--8-5--,2424.06,3,8.25,1,
