cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Madrid--piece--0-0--,0,0,0,0,
piece,Madrid--piece--0-1--,0,0,0,0,
piece,Madrid--piece--0-10--,4574.9,9,0,0,
piece,Madrid--piece--0-11--,1309.63,8,15.7239,7,
piece,Madrid--piece--0-12--,1399.37,9,17.4713,2,
piece,Madrid--piece--0-13--,2507.89,24,9.22053,3,
piece,Madrid--piece--0-14--,2859.31,15,9.50936,3,
piece,Madrid--piece--0-15--,3389.09,3,7.14286,1,
piece,Madrid--piece--0-16--,3962.32,23,12.5684,15,
piece,Madrid--piece--0-17--,0,0,13.2193,1,
piece,Madrid--piece--0-18--,2.77944,5,10.625,1,
piece,Madrid--piece--0-19--,1379.61,7,0,0,
piece,Madrid--piece--0-2--,0,0,0,0,
piece,Madrid--piece--0-20--,3.58889,3,12.0833,1,
piece,Madrid--piece--0-21--,2353.65,18,11.0193,3,
piece,Madrid--piece--0-22--,3550.2,10,10.5963,3,
piece,Madrid--piece--0-23--,0,0,0,0,
piece,Madrid--piece--0-24--,0,0,8.55556,1,
piece,Madrid--piece--0-25--,0,0,0,0,
piece,Madrid--piece--0-26--,0,0,0,0,
piece,Madrid--piece--0-27--,2568.18,1,0,0,
piece,Madrid--piece--0-28--,0,0,0,0,
piece,Madrid--piece--0-29--,0,0,0,0,
piece,Madrid--piece--0-3--,0,0,0,0,
piece,Madrid--piece--0-30--,0,0,0,0,
piece,Madrid--piece--0-31--,0,0,0,0,
piece,Madrid--piece--0-32--,0,0,0,0,
piece,Madrid--piece--0-33--,0,0,0,0,
piece,Madrid--piece--0-34--,0,0,0,0,
piece,Madrid--piece--0-35--,0,0,0,0,
piece,Madrid--piece--0-36--,0,0,0,0,
piece,Madrid--piece--0-37--,0,0,0,0,
piece,Madrid--piece--0-4--,0,0,0,0,
piece,Madrid--piece--0-5--,0,0,0,0,
piece,Madrid--piece--0-6--,0,0,0,0,
piece,Madrid--piece--0-7--,0,0,0,0,
piece,Madrid--piece--0-8--,0,0,0,0,
piece,Madrid--piece--0-9--,0,0,0,0,
piece,Madrid--piece--1-0--,0,0,0,0,
piece,Madrid--piece--1-1--,0,0,0,0,
piece,Madrid--piece--1-10--,3791.06,21,12.9995,4,
piece,Madrid--piece--1-11--,5.00567,3,12.3309,6,
piece,Madrid--piece--1-12--,2294.4,17,8.86306,6,
piece,Madrid--piece--1-13--,1250.96,11,10.0457,1,
piece,Madrid--piece--1-14--,2520.22,16,13.9039,2,
piece,Madrid--piece--1-15--,2380.76,11,13.0562,13,
piece,Madrid--piece--1-16--,0,0,13.3333,1,
piece,Madrid--piece--1-17--,0,0,0,0,
piece,Madrid--piece--1-18--,2.53635,5,0,0,
piece,Madrid--piece--1-19--,2.40551,8,7.75893,4,
piece,Madrid--piece--1-2--,0,0,0,0,
piece,Madrid--piece--1-20--,814.973,4,7.80719,2,
piece,Madrid--piece--1-21--,3070.86,8,9.03968,2,
piece,Madrid--piece--1-22--,3532.8,16,10.8106,3,
piece,Madrid--piece--1-23--,4486.88,3,7.77778,1,
piece,Madrid--piece--1-24--,0,0,0,0,
piece,Madrid--piece--1-25--,0,0,0,0,
piece,Madrid--piece--1-26--,0,0,0,0,
piece,Madrid--piece--1-27--,2384.62,1,7.54945,2,
piece,Madrid--piece--1-28--,0,0,0,0,
piece,Madrid--piece--1-29--,0,0,0,0,
piece,Madrid--piece--1-3--,0,0,0,0,
piece,Madrid--piece--1-30--,0,0,0,0,
piece,Madrid--piece--1-31--,0,0,0,0,
piece,Madrid--piece--1-32--,0,0,0,0,
piece,Madrid--piece--1-33--,0,0,0,0,
